,id,honor_id,to_check_only,honor_year,honor_pos,honor_org,honor_name
47,13642,13421,Meeples' Choice Award,2005,Award,Meeples' Choice, 
461,1382,13417,Meeples' Choice Award,2001,Award,Meeples' Choice, 
570,21882,13422,Meeples' Choice Award,2006,Award,Meeples' Choice, 
699,67327,21250,NZGA Teacher’s Choice Award,2010,Award,NZGA, Teacher’s Choice 
713,25613,64035,Gra Roku Player's Award,2010,Award,Gra Roku, Player's 
988,67492,18776,JoTa Best 2-Player Board Game Audience Award,2011,Award,JoTa Best, 2-Player Board Game Audience 
989,67492,18775,JoTa Best 2-Player Board Game Critic Award,2011,Award,JoTa Best, 2-Player Board Game Critic 
991,67492,18785,JoTa Best Wargame Audience Award,2011,Award,JoTa Best, Wargame Audience 
992,67492,18784,JoTa Best Wargame Critic Award,2011,Award,JoTa Best, Wargame Critic 
1403,3076,13418,Meeples' Choice Award,2002,Award,Meeples' Choice, 
1416,3076,64031,Gra Roku Player's Award,2008,Award,Gra Roku, Player's 
1452,77130,18794,JoTa Best Heavy Board Game Audience Award,2011,Award,JoTa Best, Heavy Board Game Audience 
1910,43015,21415,Meeples' Choice Award,2009,Award,Meeples' Choice, 
2288,30549,21416,Meeples' Choice Award,2008,Award,Meeples' Choice, 
2504,1041,13417,Meeples' Choice Award,2001,Award,Meeples' Choice, 
2643,22345,13422,Meeples' Choice Award,2006,Award,Meeples' Choice, 
2732,822,13416,Meeples' Choice Award,2000,Award,Meeples' Choice, 
2770,878,13417,Meeples' Choice Award,2001,Award,Meeples' Choice, 
3164,98197,18763,Gra Roku Player's Award,2012,Award,Gra Roku, Player's 
3302,3201,13418,Meeples' Choice Award,2002,Award,Meeples' Choice, 
3422,35677,21416,Meeples' Choice Award,2008,Award,Meeples' Choice, 
3431,35677,18868,JoTa Best Heavy Board Game Audience Award,2009,Award,JoTa Best, Heavy Board Game Audience 
3432,35677,18867,JoTa Best Heavy Board Game Critic Award,2009,Award,JoTa Best, Heavy Board Game Critic 
3645,38453,18883,JoTa Highlights of the Year Critic Award,2009,Award,JoTa, Highlights of the Year Critic 
3657,38545,18873,JoTa Best 2-Player Board Game Audience Award,2009,Award,JoTa Best, 2-Player Board Game Audience 
