"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"158","Three games designed by Phil Walker-Harding for kids and adults to play together.","34","Tabletop Games","games/tabletop games","12555","AU","Australia","1652063068","Mon, 09 May 2022 02:24:28 +0000","https://ksr-ugc.imgix.net/assets/037/239/487/6f6a99c49bbfa2f790b820c0020d3966_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1655274994&auto=format&frame=1&q=92&s=4c399413f23d52c1e5a555c812bbc829","581620656","Joey Games","https://www.kickstarter.com/profile/joeygamesau","AUD","$","true","USD","1657674006","Three games designed by Phil Walker-Harding for kids and adults to play together.","false","0.69032217","50000","594919529","true","1655946006","Thu, 23 Jun 2022 01:00:06 +0000","https://www.kickstarter.com/projects/joeygamesau/joey-games-a-new-australian-board-game-publisher?ref=discovery_newest","1105779","Sydney, AU","Joey Games - A new Australian board game publisher",,"18187.32","Thu, 23 Jun 2022 01:00:06 +0000","joey-games-a-new-australian-board-game-publisher","false","true","live","1655946012","0.69248673","Joey Games - A new Australian board game publisher","https://www.kickstarter.com/projects/joeygamesau/joey-games-a-new-australian-board-game-publisher?ref=discovery_newest","0.69032217","12594.4777542636","international"
"4073","Take control of ruthless gangs vying for dominance over the criminal underworld in the glittering hellhole that is Night City.","34","Tabletop Games","games/tabletop games","307181","US","the United States","1652717588","Mon, 16 May 2022 16:13:08 +0000","https://ksr-ugc.imgix.net/assets/006/470/572/890f84acadd13167f932e00571d57683_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1484066534&auto=format&frame=1&q=92&s=1e4bbdafa91dc24e3a1db0bcd627c340","1134494596","CMON","https://www.kickstarter.com/profile/cmon","USD","$","true","USD","1657155600","Take control of ruthless gangs vying for dominance over the criminal underworld in the glittering hellhole that is Night City.","false","1","100000","320434029","true","1655838007","Tue, 21 Jun 2022 19:00:07 +0000","https://www.kickstarter.com/projects/cmon/cyberpunk-2077-gangs-of-night-city?ref=discovery_newest","2357024","Atlanta, GA","Cyberpunk 2077: Gangs of Night City - The Board Game",,"307181.25","Tue, 21 Jun 2022 19:00:07 +0000","cyberpunk-2077-gangs-of-night-city","false","true","live","1655838013","1","Cyberpunk 2077: Gangs of Night City - The Board Game","https://www.kickstarter.com/projects/cmon/cyberpunk-2077-gangs-of-night-city?ref=discovery_newest","1","307181.25","international"
"157","Resource and dice management board game with high strategy about making the best coffee of the galaxy","34","Tabletop Games","games/tabletop games","4903","HK","Hong Kong","1650252169","Mon, 18 Apr 2022 03:22:49 +0000","https://ksr-ugc.imgix.net/assets/020/952/323/ab7140ac7ffeb632f797b7bda93ca125_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1526314234&auto=format&frame=1&q=92&s=003ddd93cf139d20e8c3c7bda1a66d52","1885215630","Low B Game","https://www.kickstarter.com/profile/lowbgamehk","HKD","$","true","USD","1658408555","Resource and dice management board game with high strategy about making the best coffee of the galaxy","false","0.12740071","58000","1921483770","true","1655816555","Tue, 21 Jun 2022 13:02:35 +0000","https://www.kickstarter.com/projects/lowbgamehk/stardust-coffee?ref=discovery_newest","2165352","Hong Kong, Hong Kong","Stardust Coffee",,"38490","Tue, 21 Jun 2022 13:02:35 +0000","stardust-coffee","false","false","live","1655816559","0.12738772","Stardust Coffee","https://www.kickstarter.com/projects/lowbgamehk/stardust-coffee?ref=discovery_newest","0.12740071","4903.1533428","international"
"160","Explore cottage country by lake & land with many adventures en route in this fun, family-friendly game by local studio Canazee Games","34","Tabletop Games","games/tabletop games","7996","CA","Canada","1648645500","Wed, 30 Mar 2022 13:05:00 +0000","https://ksr-ugc.imgix.net/assets/036/825/569/68782f4de9aead699749deefa1fc75f4_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1654564473&auto=format&frame=1&q=92&s=eecfd126080fb71883b9538bd75d0185","108358251","Canazee Games","https://www.kickstarter.com/profile/canazeegames","CAD","$","true","USD","1659267386","Explore cottage country by lake & land with many adventures en route in this fun, family-friendly game by local studio Canazee Games","false","0.77011937","5000","614226472","true","1655811386","Tue, 21 Jun 2022 11:36:26 +0000","https://www.kickstarter.com/projects/canazeegames/muskoka-the-board-game?ref=discovery_newest","23398882","Muskoka, Canada","Muskoka: The Board Game",,"10383.29","Tue, 21 Jun 2022 11:36:26 +0000","muskoka-the-board-game","false","true","live","1655811392","0.76903319","Muskoka: The Board Game","https://www.kickstarter.com/projects/canazeegames/muskoka-the-board-game?ref=discovery_newest","0.77011937","7985.0946313951","international"
"3","2-8 players draft a hero to fight free for all or in teams to dominate the Battle Arena for RPG Champion Supremecy. 45 -120 minute","34","Tabletop Games","games/tabletop games","208","AU","Australia","1655442502","Fri, 17 Jun 2022 05:08:22 +0000","https://ksr-ugc.imgix.net/assets/037/678/074/8636b8ad398b972819b5367f2d76c6c4_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1655472100&auto=format&frame=1&q=92&s=5d8bcb5b66f41333736203d4540addd5","1800835387","Justin Emerson Fisher","https://www.kickstarter.com/profile/wobbzilla","AUD","$","true","USD","1658371361","2-8 players draft a hero to fight free for all or in teams to dominate the Battle Arena for RPG Champion Supremecy. 45 -120 minute","false","0.69032217","50000","561965460","true","1655779361","Tue, 21 Jun 2022 02:42:41 +0000","https://www.kickstarter.com/projects/wobbzilla/fantasy-rumbletm-a-true-arena-pvp-and-moba-board-game?ref=discovery_newest","1098081","Perth, AU","Fantasy Rumble™ ""A true Arena, PvP, TCG Board Game.""",,"302.32","Tue, 21 Jun 2022 02:42:41 +0000","fantasy-rumbletm-a-true-arena-pvp-and-moba-board-game","false","false","live","1655779364","0.69310012","Fantasy Rumble™ ""A true Arena, PvP, TCG Board Game.""","https://www.kickstarter.com/projects/wobbzilla/fantasy-rumbletm-a-true-arena-pvp-and-moba-board-game?ref=discovery_newest","0.69032217","209.5380282784","international"
"6","Each player will explore the Village and will try to defeat the others. 
Players: 3 - 5, Time: 5 - 15 min,  Print and play board game.","34","Tabletop Games","games/tabletop games","41","PL","Poland","1655722121","Mon, 20 Jun 2022 10:48:41 +0000","https://ksr-ugc.imgix.net/assets/037/087/384/b2fe5ff0d92aec4a3a49934add13e5a7_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1650874303&auto=format&frame=1&q=92&s=ebf8dff517651cac02db4dd74b67b3d2","72147196","Kielan xD","https://www.kickstarter.com/profile/72147196","EUR","€","false","USD","1658167666","Each player will explore the Village and will try to defeat the others. 
Players: 3 - 5, Time: 5 - 15 min,  Print and play board game.","false","1.05327907","150","206698159","true","1655748466","Mon, 20 Jun 2022 18:07:46 +0000","https://www.kickstarter.com/projects/72147196/village-pnp-party-board-game?ref=discovery_newest","498842","Katowice, Poland","Village - pnp Party Board Game",,"39","Mon, 20 Jun 2022 18:07:46 +0000","village-pnp-party-board-game","false","false","live","1655748469","1.04959989","Village - pnp Party Board Game","https://www.kickstarter.com/projects/72147196/village-pnp-party-board-game?ref=discovery_newest","1.05327907","40.93439571","international"
"29","A disc sport in your living room but without breaking any lamps.","34","Tabletop Games","games/tabletop games","1902","SG","Singapore","1636532472","Wed, 10 Nov 2021 08:21:12 +0000","https://ksr-ugc.imgix.net/assets/035/532/459/0397ef4e42290d068f0541d235d9baf3_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1636541488&auto=format&frame=1&q=92&s=05b39b3ea2b114adc3d8e1495149a947","1986115536","The Ultimate Board Game","https://www.kickstarter.com/profile/tubg","SGD","$","true","USD","1660614782","A disc sport in your living room but without breaking any lamps.","false","0.72014772","20000","662493813","true","1655430782","Fri, 17 Jun 2022 01:53:02 +0000","https://www.kickstarter.com/projects/tubg/the-ultimate-board-game?ref=discovery_newest","1062617","Singapore, Singapore","The Ultimate Board Game",,"2642","Fri, 17 Jun 2022 01:53:02 +0000","the-ultimate-board-game","false","false","live","1655430785","0.72047251","The Ultimate Board Game","https://www.kickstarter.com/projects/tubg/the-ultimate-board-game?ref=discovery_newest","0.72014772","1903.48837142","international"
"209","A story-based crime investigation board game aboard a cruise ship! 1-5 players, for ages 14+. English or French. Launch: June 15th 2022","34","Tabletop Games","games/tabletop games","13814","FR","France","1651839011","Fri, 06 May 2022 12:10:11 +0000","https://ksr-ugc.imgix.net/assets/015/448/481/7d491ae4af007509a74b3a03c19f1200_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1486644544&auto=format&frame=1&q=92&s=3c94136520488e0dea1fd194ab207e6a","1335435315","Multifaces Editions","https://www.kickstarter.com/profile/multifaceseditions","EUR","€","false","USD","1657033200","A story-based crime investigation board game aboard a cruise ship! 1-5 players, for ages 14+. English or French. Launch: June 15th 2022","false","1.05327907","36000","1808980911","true","1655305132","Wed, 15 Jun 2022 14:58:52 +0000","https://www.kickstarter.com/projects/multifaceseditions/midnight-murder-mysteries-2nd-edition-all-in?ref=discovery_newest","627791","Strasbourg, France","Midnight Murder Mysteries: 2nd Edition (All-In)",,"13115.34","Wed, 15 Jun 2022 14:58:52 +0000","midnight-murder-mysteries-2nd-edition-all-in","false","false","live","1655305139","1.04272895","Midnight Murder Mysteries: 2nd Edition (All-In)","https://www.kickstarter.com/projects/multifaceseditions/midnight-murder-mysteries-2nd-edition-all-in?ref=discovery_newest","1.05327907","13675.744707093","international"
"5","this band of beastmen are a great group of dynamic and detailed miniatures, they are the creatures you were missing","34","Tabletop Games","games/tabletop games","90","IT","Italy","1651157338","Thu, 28 Apr 2022 14:48:58 +0000","https://ksr-ugc.imgix.net/assets/037/125/294/896d0a3d550cfde8a56cd8409b2598eb_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1651136624&auto=format&frame=1&q=92&s=c79dfa5520d12c30309dbf3027a39ecb","1552690658","Cesky","https://www.kickstarter.com/profile/cesky","EUR","€","false","USD","1657887551","this band of beastmen are a great group of dynamic and detailed miniatures, they are the creatures you were missing","false","1.05327907","500","1065673130","true","1655295551","Wed, 15 Jun 2022 12:19:11 +0000","https://www.kickstarter.com/projects/cesky/beastmen-28mm-scale-stl-models-for-board-games?ref=discovery_newest","20150549","Italia, Italy","Beastmen: 28mm scale STL models for board games",,"86","Wed, 15 Jun 2022 12:19:11 +0000","beastmen-28mm-scale-stl-models-for-board-games","false","false","live","1655295554","1.04272895","Beastmen: 28mm scale STL models for board games","https://www.kickstarter.com/projects/cesky/beastmen-28mm-scale-stl-models-for-board-games?ref=discovery_newest","1.05327907","89.6746897","international"
"13","A board game that combines strategy and chance!","34","Tabletop Games","games/tabletop games","713","CA","Canada","1649173027","Tue, 05 Apr 2022 15:37:07 +0000","https://ksr-ugc.imgix.net/assets/027/835/845/eecf50470c784ce97beb01d71ef57d85_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1579743133&auto=format&frame=1&q=92&s=78fd4ea5975f1e6fff5b98f1693611d3","2132900266","Roger Meunier","https://www.kickstarter.com/profile/2132900266","CAD","$","true","USD","1657844711","A board game that combines strategy and chance!","false","0.77011937","2000","502140814","true","1655252711","Wed, 15 Jun 2022 00:25:11 +0000","https://www.kickstarter.com/projects/2132900266/land-of-the-quests?ref=discovery_newest","3547","Sherbrooke, Canada","Land of the Quests",,"926.29","Wed, 15 Jun 2022 00:25:11 +0000","land-of-the-quests","false","false","live","1655252714","0.78052253","Land of the Quests","https://www.kickstarter.com/projects/2132900266/land-of-the-quests?ref=discovery_newest","0.77011937","722.9902143137","international"
