"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"6","...the ideal game for ""strategic board game & lucky dice  (das ideale Spiel für ""strategische Brettspiel- & Glückswürfel Athleten)...","34","Tabletop Games","games/tabletop games","185","DE","Germany","1650371651","Tue, 19 Apr 2022 12:34:11 +0000","https://ksr-ugc.imgix.net/assets/037/032/654/52592592a6613b4ef024cb0dbb19eb5b_original.JPG?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1650469894&auto=format&frame=1&q=92&s=7fcc5a756d0db790f35622888eff51ff","198242296","Dirk Albrecht","https://www.kickstarter.com/profile/catchy-match","EUR","€","false","USD","1657007547","...the ideal game for ""strategic board game & lucky dice  (das ideale Spiel für ""strategische Brettspiel- & Glückswürfel Athleten)...","false","1.05562511","6000","1506703237","true","1651823547","Fri, 06 May 2022 07:52:27 +0000","https://www.kickstarter.com/projects/catchy-match/catchy-match?ref=discovery_location_newest","638242","Berlin, Germany","Catchy-Match",,"176","Fri, 06 May 2022 07:52:27 +0000","catchy-match","false","false","live","1651823550","1.06177514","Catchy-Match","https://www.kickstarter.com/projects/catchy-match/catchy-match?ref=discovery_location_newest","1.05562511","186.87242464","international"
"114","Board game tokens for game upgrades","34","Tabletop Games","games/tabletop games","5905","DE","Germany","1650366636","Tue, 19 Apr 2022 11:10:36 +0000","https://ksr-ugc.imgix.net/assets/032/040/906/d63ea3e5433b09531ea7d59419bd75c6_original.gif?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1613555998&auto=format&frame=1&q=92&s=90ea3fe149d440f6aa5e9d95c489b125","1504335138","spielmaterial.de","https://www.kickstarter.com/profile/spielmaterial-tokens","EUR","€","false","USD","1655461289","Board game tokens for game upgrades","false","1.05562511","5000","1732958162","false","1652869289","Wed, 18 May 2022 10:21:29 +0000","https://www.kickstarter.com/projects/spielmaterial-tokens/printed-wooden-tokens?ref=discovery_location_newest","20168736","Mönchengladbach-Rheindahlen, Germany","Printed wooden tokens",,"5613","Wed, 18 May 2022 10:21:29 +0000","printed-wooden-tokens","true","false","successful","1655461289","1.04405276","Printed wooden tokens","https://www.kickstarter.com/projects/spielmaterial-tokens/printed-wooden-tokens?ref=discovery_location_newest","1.05206568","5860.26814188","international"
"383","A strategical drag lip sync competition board game extravaganza!
Illustrations by Cheyne Gallarde!","34","Tabletop Games","games/tabletop games","24151","DE","Germany","1628847043","Fri, 13 Aug 2021 09:30:43 +0000","https://ksr-ugc.imgix.net/assets/006/001/392/ad5cc6e3a05965a3ff6f888d8624c5a1_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1628846894&auto=format&frame=1&q=92&s=6043abd201b2858447299b528b93464b","1473622107","Aaron Vanderbeek","https://www.kickstarter.com/profile/1473622107","EUR","€","false","USD","1652778241","A strategical drag lip sync competition board game extravaganza!
Illustrations by Cheyne Gallarde!","false","1.05562511","10000","619501650","false","1650963841","Tue, 26 Apr 2022 09:04:01 +0000","https://www.kickstarter.com/projects/1473622107/shablam-the-board-game?ref=discovery_location_newest","638242","Berlin, Germany","Extravaganza: the Board Game!",,"23132","Tue, 26 Apr 2022 09:04:01 +0000","shablam-the-board-game","true","true","successful","1652778241","1.07824966","Extravaganza: the Board Game!","https://www.kickstarter.com/projects/1473622107/shablam-the-board-game?ref=discovery_location_newest","1.04405276","24942.07113512","international"
"285","First part of a modular 3D printable gaming board for different scales and sizes.","34","Tabletop Games","games/tabletop games","37119","DE","Germany","1640787320","Wed, 29 Dec 2021 14:15:20 +0000","https://ksr-ugc.imgix.net/assets/035/226/631/c01025ac4ffc487b85818c645b2fb43e_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1634891199&auto=format&frame=1&q=92&s=e9d9ff80cf81966045a349a0532c6544","2126133371","Tabletop-Modellbau Jörg Cappel","https://www.kickstarter.com/profile/cappel","EUR","€","false","USD","1651131214","First part of a modular 3D printable gaming board for different scales and sizes.","false","1.05562511","2000","980909727","false","1647675214","Sat, 19 Mar 2022 07:33:34 +0000","https://www.kickstarter.com/projects/cappel/3d-stl-printable-modular-gaming-board-part-1?ref=discovery_location_newest","15002759","Rheinstetten, Germany","Tabletop 3D STL printable modular gaming board - part 1",,"35321","Sat, 19 Mar 2022 07:33:34 +0000","3d-stl-printable-modular-gaming-board-part-1","true","false","successful","1651131214","1.10839554","Tabletop 3D STL printable modular gaming board - part 1","https://www.kickstarter.com/projects/cappel/3d-stl-printable-modular-gaming-board-part-1?ref=discovery_location_newest","1.05092576","39149.63886834","international"
"296","More than 20544+ STLs to upgrade your board games, TTRPG, or other tabletop games.","34","Tabletop Games","games/tabletop games","9959","DE","Germany","1644328441","Tue, 08 Feb 2022 13:54:01 +0000","https://ksr-ugc.imgix.net/assets/034/268/314/c3954f0b39b8b19899580ba1ee4a973e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1626806347&auto=format&frame=1&q=92&s=b67022f795e1b043fd86b0f900aebd6d","249000245","Cryptogene","https://www.kickstarter.com/profile/cryptogene","EUR","€","false","USD","1649456404","More than 20544+ STLs to upgrade your board games, TTRPG, or other tabletop games.","false","1.05562511","400","215763321","false","1646868004","Wed, 09 Mar 2022 23:20:04 +0000","https://www.kickstarter.com/projects/cryptogene/board-game-meeple-and-tokens-9680-stls?ref=discovery_location_newest","651221","Fürth, Germany","Board Game Meeple, Bases, Coins, Dice & Tokens, 20544+ STLs",,"9167","Wed, 09 Mar 2022 23:20:04 +0000","board-game-meeple-and-tokens-9680-stls","true","false","successful","1649456404","1.08700969","Board Game Meeple, Bases, Coins, Dice & Tokens, 20544+ STLs","https://www.kickstarter.com/projects/cryptogene/board-game-meeple-and-tokens-9680-stls?ref=discovery_location_newest","1.08639915","9964.61782823","international"
"216","Ultimate skull dice tower.","34","Tabletop Games","games/tabletop games","18189","DE","Germany","1641320381","Tue, 04 Jan 2022 18:19:41 +0000","https://ksr-ugc.imgix.net/assets/034/801/290/7f522657a6cbd6aebfdff17f575eb3cb_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1641320176&auto=format&frame=1&q=92&s=bc7a19d85cba4c0be84bf6dda6ebf3e3","1579836214","Axis Prime","https://www.kickstarter.com/profile/axisprime","EUR","€","false","USD","1644766603","Ultimate skull dice tower.","false","1.05562511","2300","1400114309","false","1642606603","Wed, 19 Jan 2022 15:36:43 +0000","https://www.kickstarter.com/projects/axisprime/pirate-sam-board-game-dice-tower?ref=discovery_location_newest","638242","Berlin, Germany","Pirate Sam Board Game Dice Tower",,"16026","Wed, 19 Jan 2022 15:36:43 +0000","pirate-sam-board-game-dice-tower","true","false","successful","1644766604","1.14013515","Pirate Sam Board Game Dice Tower","https://www.kickstarter.com/projects/axisprime/pirate-sam-board-game-dice-tower?ref=discovery_location_newest","1.13502998","18271.8059139","international"
"325","Four viking heroes battle to win the favor of Thor's daughter when ancient forces reawaken / A strategy game, incl. 3-part introduction","34","Tabletop Games","games/tabletop games","58433","DE","Germany","1618135785","Sun, 11 Apr 2021 10:09:45 +0000","https://ksr-ugc.imgix.net/assets/033/079/601/2a32a1def76f3585988259f1a39e69c2_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1618139806&auto=format&frame=1&q=92&s=24b1c5359d1dcd6e8c5b54ed3d066ccd","2075157392","Timo Zett","https://www.kickstarter.com/profile/thorscliff","EUR","€","false","USD","1638344873","Four viking heroes battle to win the favor of Thor's daughter when ancient forces reawaken / A strategy game, incl. 3-part introduction","false","1.05562511","50000","534727725","false","1635749273","Mon, 01 Nov 2021 06:47:53 +0000","https://www.kickstarter.com/projects/thorscliff/the-battle-for-thors-cliff-board-game-thors-kliff?ref=discovery_location_newest","656958","Hamburg, Germany","THOR'S CLIFF a non-cooperative board game",,"51565","Mon, 01 Nov 2021 06:47:53 +0000","the-battle-for-thors-cliff-board-game-thors-kliff","true","false","successful","1638344873","1.15610946","THOR'S CLIFF a non-cooperative board game","https://www.kickstarter.com/projects/thorscliff/the-battle-for-thors-cliff-board-game-thors-kliff?ref=discovery_location_newest","1.13320226","59614.7843049","international"
"710","Seven times per year, the magazine delivers game reviews, news, fair reports and suggestions for & variations of already familiar games","34","Tabletop Games","games/tabletop games","51292","DE","Germany","1627469198","Wed, 28 Jul 2021 10:46:38 +0000","https://ksr-ugc.imgix.net/assets/026/383/328/42ca276c2c02283b0bb63979d18876c7_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1567770756&auto=format&frame=1&q=92&s=00bd2093a12d77e383191b524dfb6b13","13196064","spielbox","https://www.kickstarter.com/profile/spielbox","EUR","€","false","USD","1636898060","Seven times per year, the magazine delivers game reviews, news, fair reports and suggestions for & variations of already familiar games","false","1.05562511","15000","1620697694","false","1634302460","Fri, 15 Oct 2021 12:54:20 +0000","https://www.kickstarter.com/projects/spielbox/spielbox-2022-english-edition-board-game-magazine?ref=discovery_location_newest","674735","Memmelsdorf, Germany","spielbox 2022 (English Edition) - Board Game Magazine",,"44821","Fri, 15 Oct 2021 12:54:20 +0000","spielbox-2022-english-edition-board-game-magazine","true","false","successful","1636898061","1.15939878","spielbox 2022 (English Edition) - Board Game Magazine","https://www.kickstarter.com/projects/spielbox/spielbox-2022-english-edition-board-game-magazine?ref=discovery_location_newest","1.14438473","51965.41271838","international"
"242","Duelists is a two-player board game with deep strategic planning and skillful bluffing NOW LIVE!","34","Tabletop Games","games/tabletop games","12691","DE","Germany","1629486052","Fri, 20 Aug 2021 19:00:52 +0000","https://ksr-ugc.imgix.net/assets/006/223/423/1103c870a4bb8cc44483e34ea4182c25_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1629323647&auto=format&frame=1&q=92&s=0102c92248d08ec6911d98aff7bf47fa","2138211599","KnotHorn Studio","https://www.kickstarter.com/profile/knothorn","EUR","€","false","USD","1636304391","Duelists is a two-player board game with deep strategic planning and skillful bluffing NOW LIVE!","false","1.05562511","9000","1475094691","false","1633622391","Thu, 07 Oct 2021 15:59:51 +0000","https://www.kickstarter.com/projects/knothorn/duelists?ref=discovery_location_newest","708287","Wurzburg, Germany","Duelists",,"10987","Thu, 07 Oct 2021 15:59:51 +0000","duelists","true","false","successful","1636304392","1.15936518","Duelists","https://www.kickstarter.com/projects/knothorn/duelists?ref=discovery_location_newest","1.15515059","12737.94523266","international"
"4082","The filmmaking board game is back with a B-movie bang! Work together to shoot a genre-bending masterpiece or disastrous cult classic","34","Tabletop Games","games/tabletop games","223599","US","the United States","1626699323","Mon, 19 Jul 2021 12:55:23 +0000","https://ksr-ugc.imgix.net/assets/005/860/815/e456b984e2f79686c71626ae340e62d0_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1580487078&auto=format&frame=1&q=92&s=cef0c0c50771704051c0078aa049806c","1490444629","Malachi Ray Rempen","https://www.kickstarter.com/profile/malachi-rempen","USD","$","true","USD","1635483600","The filmmaking board game is back with a B-movie bang! Work together to shoot a genre-bending masterpiece or disastrous cult classic","false","1","10500","65266444","false","1633442113","Tue, 05 Oct 2021 13:55:13 +0000","https://www.kickstarter.com/projects/malachi-rempen/roll-camera-reprint-and-expansion?ref=discovery_location_newest","638242","Berlin, Germany","Roll Camera! Reprint & Expansion",,"223599","Tue, 05 Oct 2021 13:55:13 +0000","roll-camera-reprint-and-expansion","true","true","successful","1635483601","1","Roll Camera! Reprint & Expansion","https://www.kickstarter.com/projects/malachi-rempen/roll-camera-reprint-and-expansion?ref=discovery_location_newest","1","223599.0","international"
