"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"224","A story-based crime investigation board game aboard a cruise ship! 1-5 players, for ages 14+. English or French. Launch: June 15th 2022","34","Tabletop Games","games/tabletop games","14984","FR","France","1651839011","Fri, 06 May 2022 12:10:11 +0000","https://ksr-ugc.imgix.net/assets/015/448/481/7d491ae4af007509a74b3a03c19f1200_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1486644544&auto=format&frame=1&q=92&s=3c94136520488e0dea1fd194ab207e6a","1335435315","Multifaces Editions","https://www.kickstarter.com/profile/multifaceseditions","EUR","€","false","USD","1657033200","A story-based crime investigation board game aboard a cruise ship! 1-5 players, for ages 14+. English or French. Launch: June 15th 2022","false","1.05562511","36000","1808980911","true","1655305132","Wed, 15 Jun 2022 14:58:52 +0000","https://www.kickstarter.com/projects/multifaceseditions/midnight-murder-mysteries-2nd-edition-all-in?ref=discovery_location_newest","627791","Strasbourg, France","Midnight Murder Mysteries: 2nd Edition (All-In)",,"14195.34","Wed, 15 Jun 2022 14:58:52 +0000","midnight-murder-mysteries-2nd-edition-all-in","false","false","live","1655305139","1.04272895","Midnight Murder Mysteries: 2nd Edition (All-In)","https://www.kickstarter.com/projects/multifaceseditions/midnight-murder-mysteries-2nd-edition-all-in?ref=discovery_location_newest","1.05562511","14801.891973093","domestic"
"10376","Take to the streets of Gotham City, as Hero or Villain, in our officially licensed role playing and miniatures board games.","34","Tabletop Games","games/tabletop games","1534002","FR","France","1645797002","Fri, 25 Feb 2022 13:50:02 +0000","https://ksr-ugc.imgix.net/assets/008/632/466/057e886ef6934ef076d10bdd233763a9_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1577642329&auto=format&frame=1&q=92&s=88005f22bf85fed85ad8fb7df76bea94","806316071","Monolith Board Games LLC","https://www.kickstarter.com/profile/806316071","EUR","€","false","USD","1654898340","Take to the streets of Gotham City, as Hero or Villain, in our officially licensed role playing and miniatures board games.","false","1.05562511","200000","2063996898","false","1653412243","Tue, 24 May 2022 17:10:43 +0000","https://www.kickstarter.com/projects/806316071/batmantm-gotham-city-chronicles-season-3-and-rpg?ref=discovery_location_newest","615702","Paris, France","Batman™ : Gotham City Chronicles - Season 3 and RPG",,"1442512.84","Tue, 24 May 2022 17:10:43 +0000","batmantm-gotham-city-chronicles-season-3-and-rpg","true","true","successful","1654898340","1.05926144","Batman™ : Gotham City Chronicles - Season 3 and RPG","https://www.kickstarter.com/projects/806316071/batmantm-gotham-city-chronicles-season-3-and-rpg?ref=discovery_location_newest","1.06342365","1527998.2281168896","domestic"
"647","Flip, roll, write, take off ! 
A unique plane boarding roll&write game.","34","Tabletop Games","games/tabletop games","3449","FR","France","1649582976","Sun, 10 Apr 2022 09:29:36 +0000","https://ksr-ugc.imgix.net/assets/036/951/564/d96b512917275c9e56d23fdddfb0f80a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1649778489&auto=format&frame=1&q=92&s=62c3d350ba001f75c5e880e4c8629045","1477350615","Baraka","https://www.kickstarter.com/profile/barakagames","EUR","€","false","USD","1651934965","Flip, roll, write, take off ! 
A unique plane boarding roll&write game.","false","1.05562511","100","509248863","false","1650638965","Fri, 22 Apr 2022 14:49:25 +0000","https://www.kickstarter.com/projects/barakagames/airflip?ref=discovery_location_newest","615702","Paris, France","AIRFLIP",,"3270.51","Fri, 22 Apr 2022 14:49:25 +0000","airflip","true","false","successful","1651934965","1.083054","AIRFLIP","https://www.kickstarter.com/projects/barakagames/airflip?ref=discovery_location_newest","1.05483007","3542.13893754","domestic"
"176","Don't wait to liven up your board games and get decos, figures and wall sets. Don't limit yourself and let your imagination run","270","Gaming Hardware","games/gaming hardware","4267","FR","France","1636966439","Mon, 15 Nov 2021 08:53:59 +0000","https://ksr-ugc.imgix.net/assets/035/585/512/e26d21957931ba828d6d47cd8c272a82_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1636966315&auto=format&frame=1&q=92&s=21283f34a6ae6715390f3b318bcbdc4a","368175198","Spaceimal","https://www.kickstarter.com/profile/spaceimal","EUR","€","false","USD","1640280624","Don't wait to liven up your board games and get decos, figures and wall sets. Don't limit yourself and let your imagination run","false","1.05562511","500","828836702","false","1637688624","Tue, 23 Nov 2021 17:30:24 +0000","https://www.kickstarter.com/projects/spaceimal/complete-sci-fi-library-for-wargames-and-boardgames-stl?ref=discovery_location_newest","615702","Paris, France","Complete Sci-Fi library for wargames and boardgames (STL)",,"3763","Tue, 23 Nov 2021 17:30:24 +0000","complete-sci-fi-library-for-wargames-and-boardgames-stl","true","false","successful","1640280625","1.12785601","Complete Sci-Fi library for wargames and boardgames (STL)","https://www.kickstarter.com/projects/spaceimal/complete-sci-fi-library-for-wargames-and-boardgames-stl?ref=discovery_location_newest","1.13398742","4244.12216563","domestic"
"81","Tabletop games,board games and wargames. Fantasy & Scifi, STL files,dungeon crawler, DnD, 5e, dungeon","270","Gaming Hardware","games/gaming hardware","2173","FR","France","1631602097","Tue, 14 Sep 2021 06:48:17 +0000","https://ksr-ugc.imgix.net/assets/033/324/810/d4ee3c1f33acfc8f8e43b3b01beb9732_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1619687295&auto=format&frame=1&q=92&s=5201e9671deb42e5902980508b85e65b","1267162870","Flame of Udun Studio","https://www.kickstarter.com/profile/flameofudunstudio","EUR","€","false","USD","1637402400","Tabletop games,board games and wargames. Fantasy & Scifi, STL files,dungeon crawler, DnD, 5e, dungeon","false","1.05562511","400","576292362","false","1635156616","Mon, 25 Oct 2021 10:10:16 +0000","https://www.kickstarter.com/projects/flameofudunstudio/flat-dungeon-printable-and-modular-system?ref=discovery_location_newest","577715","Azay-le-Rideau, France","Flat Dungeon : Printable & Modular System",,"1926","Mon, 25 Oct 2021 10:10:16 +0000","flat-dungeon-printable-and-modular-system","true","false","successful","1637402400","1.16419992","Flat Dungeon : Printable & Modular System","https://www.kickstarter.com/projects/flameofudunstudio/flat-dungeon-printable-and-modular-system?ref=discovery_location_newest","1.12871021","2242.24904592","domestic"
"206","Discover the new board game robot! With OLEM, play augmented board games while keeping social bonding and physical interactions intact.","34","Tabletop Games","games/tabletop games","62096","FR","France","1605876864","Fri, 20 Nov 2020 12:54:24 +0000","https://ksr-ugc.imgix.net/assets/034/814/461/47e08305ecb3719ca09114d0fcc60a0b_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1631188877&auto=format&frame=1&q=92&s=2c764c7d257da49c5c47f9109e6af185","294325855","LudoTech","https://www.kickstarter.com/profile/ludotech","EUR","€","false","USD","1635947812","Discover the new board game robot! With OLEM, play augmented board games while keeping social bonding and physical interactions intact.","false","1.05562511","50000","869528130","false","1634047012","Tue, 12 Oct 2021 13:56:52 +0000","https://www.kickstarter.com/projects/ludotech/olem-the-boardgame-robot?ref=discovery_location_newest","615702","Paris, France","OLEM, the boardgame robot by LudoTech",,"53610","Tue, 12 Oct 2021 13:56:52 +0000","olem-the-boardgame-robot","true","false","successful","1635947812","1.15722257","OLEM, the boardgame robot by LudoTech","https://www.kickstarter.com/projects/ludotech/olem-the-boardgame-robot?ref=discovery_location_newest","1.15830026","62038.7019777","domestic"
"275","3D models (STL) for 3D Printing. Miniatures for RPG, Wargames and Board Games. Compatible with Warhammer Reforged, The Ninth Age, etc.","34","Tabletop Games","games/tabletop games","10808","FR","France","1621885205","Mon, 24 May 2021 19:40:05 +0000","https://ksr-ugc.imgix.net/assets/030/067/447/93ad76d5efe69afab75e9f07cc224696_original.gif?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1624135032&auto=format&frame=1&q=92&s=2aad0370e08f79600cd932e7f6a736ae","1919614409","BERTRAND romain","https://www.kickstarter.com/profile/1919614409","EUR","€","false","USD","1625681115","3D models (STL) for 3D Printing. Miniatures for RPG, Wargames and Board Games. Compatible with Warhammer Reforged, The Ninth Age, etc.","false","1.05562511","400","1911606893","false","1623953115","Thu, 17 Jun 2021 18:05:15 +0000","https://www.kickstarter.com/projects/1919614409/crazy-mushrooms-v-20?ref=discovery_location_newest","616352","Peypin, France","CRAZY MUSHROOMS V 2.0",,"9140","Thu, 17 Jun 2021 18:05:15 +0000","crazy-mushrooms-v-20","true","false","successful","1625681115","1.21227991","CRAZY MUSHROOMS V 2.0","https://www.kickstarter.com/projects/1919614409/crazy-mushrooms-v-20?ref=discovery_location_newest","1.18249995","11080.2383774","domestic"
"13316","Ragnarök is here! Decide the fate of the Nine Worlds by leading gods, heroes and monsters in this 2-4 player skirmish adventure game!","34","Tabletop Games","games/tabletop games","2434164","US","the United States","1615921500","Tue, 16 Mar 2021 19:05:00 +0000","https://ksr-ugc.imgix.net/assets/008/632/466/057e886ef6934ef076d10bdd233763a9_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1577642329&auto=format&frame=1&q=92&s=88005f22bf85fed85ad8fb7df76bea94","806316071","Monolith Board Games LLC","https://www.kickstarter.com/profile/806316071","USD","$","true","USD","1618869540","Ragnarök is here! Decide the fate of the Nine Worlds by leading gods, heroes and monsters in this 2-4 player skirmish adventure game!","false","1","250000","1212478241","false","1617649075","Mon, 05 Apr 2021 18:57:55 +0000","https://www.kickstarter.com/projects/806316071/mythic-battles-ragnarok?ref=discovery_location_newest","615702","Paris, France","Mythic Battles : Ragnarök",,"2434164.02","Mon, 05 Apr 2021 18:57:55 +0000","mythic-battles-ragnarok","true","true","successful","1618869540","1","Mythic Battles : Ragnarök","https://www.kickstarter.com/projects/806316071/mythic-battles-ragnarok?ref=discovery_location_newest","1","2434164.02","domestic"
"2648","Big Red One Edition is Heroes of Normandie updated to 2.0 level, 100% compatible with the full original range!","34","Tabletop Games","games/tabletop games","232619","FR","France","1613478565","Tue, 16 Feb 2021 12:29:25 +0000","https://ksr-ugc.imgix.net/assets/007/249/315/89ae215e15dd33455701535808546ac7_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1653040937&auto=format&frame=1&q=92&s=1e6c6b1d7c5205bb0ff33731db4252a2","1538673930","Devil Pig Games","https://www.kickstarter.com/profile/hon-br1","EUR","€","false","USD","1617163140","Big Red One Edition is Heroes of Normandie updated to 2.0 level, 100% compatible with the full original range!","false","1.05562511","50000","1875341995","false","1615305648","Tue, 09 Mar 2021 16:00:48 +0000","https://www.kickstarter.com/projects/hon-br1/heroes-of-normandie-big-red-one-edition?ref=discovery_location_newest","580778","Bordeaux, France","Heroes of Normandie - Big Red One Edition",,"197687.85","Tue, 09 Mar 2021 16:00:48 +0000","heroes-of-normandie-big-red-one-edition","true","false","successful","1617163140","1.19058391","Heroes of Normandie - Big Red One Edition","https://www.kickstarter.com/projects/hon-br1/heroes-of-normandie-big-red-one-edition?ref=discovery_location_newest","1.17669901","235363.9734124935","domestic"
"61","Deviendrez-vous le brasseur le plus puissant du monde ?","34","Tabletop Games","games/tabletop games","3443","FR","France","1602517220","Mon, 12 Oct 2020 15:40:20 +0000","https://ksr-ugc.imgix.net/assets/032/460/681/af295d88fd2f4bfd3e6a1c62d313ce55_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1614018093&auto=format&frame=1&q=92&s=7f2b040f081ade5cdcbc44f70fe0eb4a","616702045","Magic Paulo","https://www.kickstarter.com/profile/peseux-creation","EUR","€","false","USD","1617341608","Deviendrez-vous le brasseur le plus puissant du monde ?","false","1.05562511","800","1133992706","false","1614753208","Wed, 03 Mar 2021 06:33:28 +0000","https://www.kickstarter.com/projects/peseux-creation/stockout?ref=discovery_location_newest","615702","Paris, France","StockOut!",,"2923","Wed, 03 Mar 2021 06:33:28 +0000","stockout","true","false","successful","1617341609","1.20210368","StockOut!","https://www.kickstarter.com/projects/peseux-creation/stockout?ref=discovery_location_newest","1.17792845","3513.74905664","domestic"
