"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"171","Resource and dice management board game with high strategy about making the best coffee of the galaxy","34","Tabletop Games","games/tabletop games","5324","HK","Hong Kong","1650252169","Mon, 18 Apr 2022 03:22:49 +0000","https://ksr-ugc.imgix.net/assets/020/952/323/ab7140ac7ffeb632f797b7bda93ca125_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1526314234&auto=format&frame=1&q=92&s=003ddd93cf139d20e8c3c7bda1a66d52","1885215630","Low B Game","https://www.kickstarter.com/profile/lowbgamehk","HKD","$","true","USD","1658408555","Resource and dice management board game with high strategy about making the best coffee of the galaxy","false","0.12740996","58000","1921483770","true","1655816555","Tue, 21 Jun 2022 13:02:35 +0000","https://www.kickstarter.com/projects/lowbgamehk/stardust-coffee?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Stardust Coffee",,"41787","Tue, 21 Jun 2022 13:02:35 +0000","stardust-coffee","false","false","live","1655816559","0.12738772","Stardust Coffee","https://www.kickstarter.com/projects/lowbgamehk/stardust-coffee?ref=discovery_location_newest","0.12740996","5323.15065564","domestic"
"6","Board Game - design for more people(3 to 12 player) to play together this board game.  With a little strategy and bother Other players.","34","Tabletop Games","games/tabletop games","127","HK","Hong Kong","1642349544","Sun, 16 Jan 2022 16:12:24 +0000","https://ksr-ugc.imgix.net/assets/036/089/115/fad68586a0b7e2cf50adc4bc461a09dc_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1642426348&auto=format&frame=1&q=92&s=9c2f8b62b383500146f348db0c7f1965","235095871","Miracle Tse","https://www.kickstarter.com/profile/mttco","HKD","$","true","USD","1656929903","Board Game - design for more people(3 to 12 player) to play together this board game.  With a little strategy and bother Other players.","false","0.12740996","130000","1406591547","true","1655115503","Mon, 13 Jun 2022 10:18:23 +0000","https://www.kickstarter.com/projects/mttco/meowracle-marshmallow?ref=discovery_location_newest","2165353","Kowloon, Hong Kong","Meowracle Marshmallow",,"1002","Mon, 13 Jun 2022 10:18:23 +0000","meowracle-marshmallow","false","false","live","1655115507","0.12739178","Meowracle Marshmallow","https://www.kickstarter.com/projects/mttco/meowracle-marshmallow?ref=discovery_location_newest","0.12740996","127.64656356","domestic"
"702","1 Dollar Roll""n""Write, print at home board game for 1-99 players.","34","Tabletop Games","games/tabletop games","3292","HK","Hong Kong","1647615346","Fri, 18 Mar 2022 14:55:46 +0000","https://ksr-ugc.imgix.net/assets/036/701/646/bc8410dad91f011eaf9a64a6845b56ff_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1647617509&auto=format&frame=1&q=92&s=b94fb8528c1a07db6a8f7dbb13f96e16","1009420962","Uneven Seven","https://www.kickstarter.com/profile/1009420962","HKD","$","true","USD","1650634285","1 Dollar Roll""n""Write, print at home board game for 1-99 players.","false","0.12740996","2000","1482276144","false","1648042285","Wed, 23 Mar 2022 13:31:25 +0000","https://www.kickstarter.com/projects/1009420962/paper-railroad?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Paper Railroad",,"25832","Wed, 23 Mar 2022 13:31:25 +0000","paper-railroad","true","false","successful","1650634286","0.12773237","Paper Railroad","https://www.kickstarter.com/projects/1009420962/paper-railroad?ref=discovery_location_newest","0.1274727","3299.58258184","domestic"
"450","A board game that allows you to arrange different people from seven counties to over the devastating destiny. 2 - 6 Players","34","Tabletop Games","games/tabletop games","13974","HK","Hong Kong","1626882676","Wed, 21 Jul 2021 15:51:16 +0000","https://ksr-ugc.imgix.net/assets/022/563/344/64a8a1463c830de4d6169e8018fd3a39_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1626890068&auto=format&frame=1&q=92&s=9cc3afbe3f48e253dceb4a1527db41b1","1984279110","Net:D Studio","https://www.kickstarter.com/profile/netd","HKD","$","true","USD","1629126000","A board game that allows you to arrange different people from seven counties to over the devastating destiny. 2 - 6 Players","false","0.12740996","50000","1332113618","false","1627689619","Sat, 31 Jul 2021 00:00:19 +0000","https://www.kickstarter.com/projects/netd/crossing-fates?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Crossing Fates",,"108763","Sat, 31 Jul 2021 00:00:19 +0000","crossing-fates","true","false","successful","1629126000","0.12859834","Crossing Fates","https://www.kickstarter.com/projects/netd/crossing-fates?ref=discovery_location_newest","0.12848945","13986.74125342","domestic"
"167","Explore dungeons and defend your kingdom. A fluent witty card game played under 30 minutes. Prepare for lots of incredible combos!","34","Tabletop Games","games/tabletop games","4069","HK","Hong Kong","1613554525","Wed, 17 Feb 2021 09:35:25 +0000","https://ksr-ugc.imgix.net/assets/010/738/847/cdd7a18204360fdcebb85f4df585b9b3_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1513522493&auto=format&frame=1&q=92&s=4aac8ab3bca8c79995e9dd3a59845b83","1928897770","Asteria Board Game Creation","https://www.kickstarter.com/profile/asteriagames","HKD","$","true","USD","1626336000","Explore dungeons and defend your kingdom. A fluent witty card game played under 30 minutes. Prepare for lots of incredible combos!","false","0.12740996","20000","1350857294","false","1624383790","Tue, 22 Jun 2021 17:43:10 +0000","https://www.kickstarter.com/projects/asteriagames/dungeon-and-kingdom?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Dungeon & Kingdom",,"31605","Tue, 22 Jun 2021 17:43:10 +0000","dungeon-and-kingdom","true","false","successful","1626336001","0.12879169","Dungeon & Kingdom","https://www.kickstarter.com/projects/asteriagames/dungeon-and-kingdom?ref=discovery_location_newest","0.12874984","4070.46136245","domestic"
"710","Work, Buy, Consume, Die... Can you break this LOOP? | A boardgame about Consumption, Environment, & Happiness.","34","Tabletop Games","games/tabletop games","41030","HK","Hong Kong","1566805625","Mon, 26 Aug 2019 07:47:05 +0000","https://ksr-ugc.imgix.net/assets/026/256/365/5afc0388277d484194a9f15e2c1067a1_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1639818396&auto=format&frame=1&q=92&s=44f75679e8c9d2c0eb72b42f7cd8ece0","573147739","Blackbody Lab","https://www.kickstarter.com/profile/blackbody","HKD","$","true","USD","1621263623","Work, Buy, Consume, Die... Can you break this LOOP? | A boardgame about Consumption, Environment, & Happiness.","false","0.12740996","38800","625842970","false","1617375623","Fri, 02 Apr 2021 15:00:23 +0000","https://www.kickstarter.com/projects/blackbody/breaktheloop?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","LOOP - Life Of Ordinary People",,"318691","Fri, 02 Apr 2021 15:00:23 +0000","breaktheloop","true","false","successful","1621263624","0.12863143","LOOP - Life Of Ordinary People","https://www.kickstarter.com/projects/blackbody/breaktheloop?ref=discovery_location_newest","0.12874694","40993.67905813","domestic"
"4393","Play as the heir of the covenant to put a stop to this endless cycle of destruction.","34","Tabletop Games","games/tabletop games","572329","HK","Hong Kong","1607847672","Sun, 13 Dec 2020 08:21:12 +0000","https://ksr-ugc.imgix.net/assets/031/729/507/65ca6c502ab0ad54bcedf34537dfd1cb_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1608700959&auto=format&frame=1&q=92&s=ccdafb76b17777e781b33cfd7422249f","1696744477","Farside Games","https://www.kickstarter.com/profile/farsidegames","HKD","$","true","USD","1612191600","Play as the heir of the covenant to put a stop to this endless cycle of destruction.","false","0.12740996","400000","175150190","false","1610467213","Tue, 12 Jan 2021 16:00:13 +0000","https://www.kickstarter.com/projects/farsidegames/epic-seven-arise-the-board-game?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Epic Seven Arise: The Board Game",,"4437288.01","Tue, 12 Jan 2021 16:00:13 +0000","epic-seven-arise-the-board-game","true","false","successful","1612191600","0.12895836","Epic Seven Arise: The Board Game","https://www.kickstarter.com/projects/farsidegames/epic-seven-arise-the-board-game?ref=discovery_location_newest","0.12898188","572225.3846172636","domestic"
"412","A dice strategy, team skirmish, miniatures tabletop game with background of future machine for 2-4 players.","34","Tabletop Games","games/tabletop games","60254","HK","Hong Kong","1580806221","Tue, 04 Feb 2020 08:50:21 +0000","https://ksr-ugc.imgix.net/assets/028/329/437/31bcd0ecdfcf2217a29d588bbb798e90_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1583399633&auto=format&frame=1&q=92&s=a3dbc1a279d2033e35fb517074031642","1461382954","Boar Studio","https://www.kickstarter.com/profile/boarstudio","HKD","$","true","USD","1598281425","A dice strategy, team skirmish, miniatures tabletop game with background of future machine for 2-4 players.","false","0.12740996","431200","29187027","false","1595689425","Sat, 25 Jul 2020 15:03:45 +0000","https://www.kickstarter.com/projects/boarstudio/core-clash?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Core Clash",,"466987","Sat, 25 Jul 2020 15:03:45 +0000","core-clash","true","false","successful","1598281425","0.1290016","Core Clash","https://www.kickstarter.com/projects/boarstudio/core-clash?ref=discovery_location_newest","0.1290281","60242.0701792","domestic"
"4","A SWEET board game that makes you SMART & brings you SMILE! After all, who can resist the temptation of candies? For 2 or 4 players","34","Tabletop Games","games/tabletop games","200","HK","Hong Kong","1571722912","Tue, 22 Oct 2019 05:41:52 +0000","https://ksr-ugc.imgix.net/assets/023/746/945/e0e6ad1b39cf020004874713f018ef71_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1547101226&auto=format&frame=1&q=92&s=cb4104f16d19e83c95ff10106ff00eb9","208119545","Coelacanths Limited","https://www.kickstarter.com/profile/208119545","HKD","$","true","USD","1574057133","A SWEET board game that makes you SMART & brings you SMILE! After all, who can resist the temptation of candies? For 2 or 4 players","false","0.12740996","1500","848095058","false","1571893533","Thu, 24 Oct 2019 05:05:33 +0000","https://www.kickstarter.com/projects/208119545/candy-candy-a-sweet-and-wonderful-board-game-for-girls-and-boys?ref=discovery_location_newest","2165352","Hong Kong, Hong Kong","Candy Candy: a Sweet & Wonderful Board Game for Girls & Boys",,"1567","Thu, 24 Oct 2019 05:05:33 +0000","candy-candy-a-sweet-and-wonderful-board-game-for-girls-and-boys","true","false","successful","1574057133","0.12751182","Candy Candy: a Sweet & Wonderful Board Game for Girls & Boys","https://www.kickstarter.com/projects/208119545/candy-candy-a-sweet-and-wonderful-board-game-for-girls-and-boys?ref=discovery_location_newest","0.12771188","199.81102194","domestic"
"90","Night Parade of 100 Demons is a fast-paced, innovative, board game which centers around mystical beings appeared in Ancient folklore.","34","Tabletop Games","games/tabletop games","6814","HK","Hong Kong","1569486195","Thu, 26 Sep 2019 08:23:15 +0000","https://ksr-ugc.imgix.net/assets/034/672/174/b235d52694ef4f4b31ea235e9f896806_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1630452361&auto=format&frame=1&q=92&s=ed5cec8cc211f239930f7f78771e130d","1104496776","Philip Sin","https://www.kickstarter.com/profile/zwk","HKD","$","true","USD","1572083956","Night Parade of 100 Demons is a fast-paced, innovative, board game which centers around mystical beings appeared in Ancient folklore.","false","0.12740996","48000","570716639","false","1569491956","Thu, 26 Sep 2019 09:59:16 +0000","https://www.kickstarter.com/projects/zwk/night-parade-of-100-demons-the-board-game?ref=discovery_location_newest","2164293","Cheung Chau, Hong Kong","Night Parade of 100 Demons: the Board Game (English)",,"53416","Thu, 26 Sep 2019 09:59:16 +0000","night-parade-of-100-demons-the-board-game","true","false","successful","1572083956","0.12756632","Night Parade of 100 Demons: the Board Game (English)","https://www.kickstarter.com/projects/zwk/night-parade-of-100-demons-the-board-game?ref=discovery_location_newest","0.1275795","6814.08254912","domestic"
