"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"34","A disc sport in your living room but without breaking any lamps.","34","Tabletop Games","games/tabletop games","2206","SG","Singapore","1636532472","Wed, 10 Nov 2021 08:21:12 +0000","https://ksr-ugc.imgix.net/assets/035/532/459/0397ef4e42290d068f0541d235d9baf3_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1636541488&auto=format&frame=1&q=92&s=05b39b3ea2b114adc3d8e1495149a947","1986115536","The Ultimate Board Game","https://www.kickstarter.com/profile/tubg","SGD","$","true","USD","1660614782","A disc sport in your living room but without breaking any lamps.","false","0.72167828","20000","662493813","true","1655430782","Fri, 17 Jun 2022 01:53:02 +0000","https://www.kickstarter.com/projects/tubg/the-ultimate-board-game?ref=discovery_location_newest","1062617","Singapore, Singapore","The Ultimate Board Game",,"3058","Fri, 17 Jun 2022 01:53:02 +0000","the-ultimate-board-game","false","false","live","1655430785","0.71850178","The Ultimate Board Game","https://www.kickstarter.com/projects/tubg/the-ultimate-board-game?ref=discovery_location_newest","0.72167828","2197.17844324","domestic"
"2","A collaborative card game that challenges the players to make decisions in the midst of uncertainties and volatile situations.","34","Tabletop Games","games/tabletop games","2","SG","Singapore","1621604836","Fri, 21 May 2021 13:47:16 +0000","https://ksr-ugc.imgix.net/assets/033/602/740/89108b0a1ef9bf1dabc6c5f4142c3df1_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1621607753&auto=format&frame=1&q=92&s=a110c231220d5d13d842f687036f3e94","713102439","Koh Tiong Wei Judah","https://www.kickstarter.com/profile/whereishometruly","SGD","$","true","USD","1629302987","A collaborative card game that challenges the players to make decisions in the midst of uncertainties and volatile situations.","false","0.72167828","2","401945035","false","1624118987","Sat, 19 Jun 2021 16:09:47 +0000","https://www.kickstarter.com/projects/whereishometruly/where-is-home-truly-board-game?ref=discovery_location_newest","1062617","Singapore, Singapore","Where is Home, Truly Board Game",,"4","Sat, 19 Jun 2021 16:09:47 +0000","where-is-home-truly-board-game","true","false","successful","1629302989","0.7459124","Where is Home, Truly Board Game","https://www.kickstarter.com/projects/whereishometruly/where-is-home-truly-board-game?ref=discovery_location_newest","0.73512493","2.9836496","domestic"
"295","A dungeon crawler RPG card/board game that fits into the palms of your hand!","34","Tabletop Games","games/tabletop games","14160","SG","Singapore","1592571392","Fri, 19 Jun 2020 12:56:32 +0000","https://ksr-ugc.imgix.net/assets/028/685/324/5f864be853ca6285788dbcc8a990816d_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1586519616&auto=format&frame=1&q=92&s=4f95f8d0b9a6f8de1ccf510790ec0dbc","20457459","Aden Ng","https://www.kickstarter.com/profile/boxdungeon","SGD","$","true","USD","1614009603","A dungeon crawler RPG card/board game that fits into the palms of your hand!","false","0.72167828","15000","662283977","false","1612713603","Sun, 07 Feb 2021 16:00:03 +0000","https://www.kickstarter.com/projects/boxdungeon/box-dungeon-a-minimalist-dungeon-crawler?ref=discovery_location_newest","1062617","Singapore, Singapore","BOX DUNGEON - A MINIMALIST DUNGEON CRAWLER RPG GAME",,"18736","Sun, 07 Feb 2021 16:00:03 +0000","box-dungeon-a-minimalist-dungeon-crawler","true","false","successful","1614009603","0.74972635","BOX DUNGEON - A MINIMALIST DUNGEON CRAWLER RPG GAME","https://www.kickstarter.com/projects/boxdungeon/box-dungeon-a-minimalist-dungeon-crawler?ref=discovery_location_newest","0.75577221","14046.8728936","domestic"
"493","You are invincible, but your power is fading as time passes. Solidify your authority among the Gods of China before you grow too weak.","34","Tabletop Games","games/tabletop games","13259","SG","Singapore","1594282153","Thu, 09 Jul 2020 08:09:13 +0000","https://ksr-ugc.imgix.net/assets/009/270/421/025af27bcbb701950e326fc0553fdcdc_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1572770681&auto=format&frame=1&q=92&s=7cf5350b4f260f16fe0ab73f65083373","1898315323","Medieval Lords","https://www.kickstarter.com/profile/1898315323","SGD","$","true","USD","1602046800","You are invincible, but your power is fading as time passes. Solidify your authority among the Gods of China before you grow too weak.","false","0.72167828","9000","1279987093","false","1600790428","Tue, 22 Sep 2020 16:00:28 +0000","https://www.kickstarter.com/projects/1898315323/ten-suns-dawn-of-china?ref=discovery_location_newest","1062617","Singapore, Singapore","Ten Suns: Dawn of China",,"18059","Tue, 22 Sep 2020 16:00:28 +0000","ten-suns-dawn-of-china","true","false","successful","1602046801","0.73810271","Ten Suns: Dawn of China","https://www.kickstarter.com/projects/1898315323/ten-suns-dawn-of-china?ref=discovery_location_newest","0.73423595","13329.39683989","domestic"
"7","A Tabletop game that (almost) anyone can play, anywhere, even during lockdown.","34","Tabletop Games","games/tabletop games","127","SG","Singapore","1589826735","Mon, 18 May 2020 18:32:15 +0000","https://ksr-ugc.imgix.net/assets/027/140/414/1ee64c7d089d8328ca42cc3713e70963_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1573187663&auto=format&frame=1&q=92&s=2d87ca8d0d27fdf5e56adfa2467fccc7","1619714430","Henry","https://www.kickstarter.com/profile/blursotongball","SGD","$","true","USD","1593690442","A Tabletop game that (almost) anyone can play, anywhere, even during lockdown.","false","0.72167828","100","550227406","false","1591098442","Tue, 02 Jun 2020 11:47:22 +0000","https://www.kickstarter.com/projects/blursotongball/stickman-journey?ref=discovery_location_newest","1062617","Singapore, Singapore","Stickman Journey",,"177","Tue, 02 Jun 2020 11:47:22 +0000","stickman-journey","true","false","successful","1593690442","0.71002203","Stickman Journey","https://www.kickstarter.com/projects/blursotongball/stickman-journey?ref=discovery_location_newest","0.71760876","125.67389931","domestic"
"2938","A standalone board game on cybersecurity and computer networking","34","Tabletop Games","games/tabletop games","193587","SG","Singapore","1570432403","Mon, 07 Oct 2019 07:13:23 +0000","https://ksr-ugc.imgix.net/assets/014/742/633/a4438f4ae7930279dee1f81d69d352b4_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1480653581&auto=format&frame=1&q=92&s=932e5225105b951fbfa46eef62fe35b0","27385815","Codomo","https://www.kickstarter.com/profile/codomo","SGD","$","true","USD","1581854480","A standalone board game on cybersecurity and computer networking","false","0.72167828","15000","490782925","false","1579003280","Tue, 14 Jan 2020 12:01:20 +0000","https://www.kickstarter.com/projects/codomo/potato-pirates-2-enter-the-spudnet?ref=discovery_location_newest","1062617","Singapore, Singapore","Potato Pirates 2: Enter The Spudnet",,"269423.88","Tue, 14 Jan 2020 12:01:20 +0000","potato-pirates-2-enter-the-spudnet","true","false","successful","1581854480","0.74278919","Potato Pirates 2: Enter The Spudnet","https://www.kickstarter.com/projects/codomo/potato-pirates-2-enter-the-spudnet?ref=discovery_location_newest","0.71852243","200125.1455918572","domestic"
"507","A furr-rightening survival board game of cute bears and cruel betrayal. The nuclear winter has arrived, fend for your lives!","34","Tabletop Games","games/tabletop games","29837","SG","Singapore","1557390318","Thu, 09 May 2019 08:25:18 +0000","https://ksr-ugc.imgix.net/assets/025/075/196/73ef1185f0bb14f6c662c0b735e57546_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1557393194&auto=format&frame=1&q=92&s=f888670fc6611979c27482f97c4fba36","1117104998","Start Something Studios","https://www.kickstarter.com/profile/startsomething","SGD","$","true","USD","1562151600","A furr-rightening survival board game of cute bears and cruel betrayal. The nuclear winter has arrived, fend for your lives!","false","0.72167828","15000","859150749","false","1559559600","Mon, 03 Jun 2019 11:00:00 +0000","https://www.kickstarter.com/projects/startsomething/unbearable-winter-the-board-game?ref=discovery_location_newest","1062617","Singapore, Singapore","Unbearable Winter: The Board Game",,"40451","Mon, 03 Jun 2019 11:00:00 +0000","unbearable-winter-the-board-game","true","false","successful","1562151602","0.72790004","Unbearable Winter: The Board Game","https://www.kickstarter.com/projects/startsomething/unbearable-winter-the-board-game?ref=discovery_location_newest","0.73761163","29444.28451804","domestic"
"155","For 3-8 players.
Do you have what it takes to survive?
Would you strategize and manipulate to win or would you leave it all to fate?","34","Tabletop Games","games/tabletop games","11957","SG","Singapore","1537097926","Sun, 16 Sep 2018 11:38:46 +0000","https://ksr-ugc.imgix.net/assets/022/000/919/9a0eda08e0bd586a071b881e1c0c167e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1547737678&auto=format&frame=1&q=92&s=0a03650f39782c4bed40bdd37d4d84ee","1586581302","RES Design","https://www.kickstarter.com/profile/1586581302","SGD","$","true","USD","1550764841","For 3-8 players.
Do you have what it takes to survive?
Would you strategize and manipulate to win or would you leave it all to fate?","false","0.72167828","15000","1841604345","false","1547740841","Thu, 17 Jan 2019 16:00:41 +0000","https://www.kickstarter.com/projects/1586581302/insured-the-survival-based-board-game?ref=discovery_location_newest","1062617","Singapore, Singapore","INSURED: The Survival Based Board Game",,"16151","Thu, 17 Jan 2019 16:00:41 +0000","insured-the-survival-based-board-game","true","false","successful","1550764844","0.73813649","INSURED: The Survival Based Board Game","https://www.kickstarter.com/projects/1586581302/insured-the-survival-based-board-game?ref=discovery_location_newest","0.74037165","11921.64244999","domestic"
"448","Trick your opponents into buying cryptocurrency scams while you trade, mine and rumormonger to riches in this 2-4 players boardgame.","34","Tabletop Games","games/tabletop games","11055","SG","Singapore","1528109954","Mon, 04 Jun 2018 10:59:14 +0000","https://ksr-ugc.imgix.net/assets/010/511/262/d243dc4b5162de1d1a3cd67e02c7bb35_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1497442274&auto=format&frame=1&q=92&s=8b827bcd0eb214c5295ea1705698a97f","1432027673","Capital Gains Studio","https://www.kickstarter.com/profile/capitalgainsstudio","SGD","$","true","USD","1536678000","Trick your opponents into buying cryptocurrency scams while you trade, mine and rumormonger to riches in this 2-4 players boardgame.","false","0.72167828","5888","1438548452","false","1534852716","Tue, 21 Aug 2018 11:58:36 +0000","https://www.kickstarter.com/projects/capitalgainsstudio/cryptocurrency?ref=discovery_location_newest","1062617","Singapore, Singapore","Cryptocurrency - The Board Game",,"15226","Tue, 21 Aug 2018 11:58:36 +0000","cryptocurrency","true","false","successful","1536678002","0.72952923","Cryptocurrency - The Board Game","https://www.kickstarter.com/projects/capitalgainsstudio/cryptocurrency?ref=discovery_location_newest","0.7260867","11107.81205598","domestic"
"344","A board game for 1 to 5 that explores the theme where your universe may just be a complex simulation. 3 realities. 4 modes, one game.","34","Tabletop Games","games/tabletop games","17801","SG","Singapore","1529602017","Thu, 21 Jun 2018 17:26:57 +0000","https://ksr-ugc.imgix.net/assets/012/850/788/257d75c6bb390b854be737d824741ecf_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1530469260&auto=format&frame=1&q=92&s=26b76c46de6b28b9cff6f1609fc62e25","1707762186","Megacorp Games","https://www.kickstarter.com/profile/megacorp","SGD","$","true","USD","1536549774","A board game for 1 to 5 that explores the theme where your universe may just be a complex simulation. 3 realities. 4 modes, one game.","false","0.72167828","13888","1598219838","false","1533180174","Thu, 02 Aug 2018 03:22:54 +0000","https://www.kickstarter.com/projects/megacorp/simulation-theory-boardgame?ref=discovery_location_newest","1062617","Singapore, Singapore","FINAL DAY: Simulation Theory Boardgame (STG)",,"24547","Thu, 02 Aug 2018 03:22:54 +0000","simulation-theory-boardgame","true","false","successful","1536549774","0.73443008","FINAL DAY: Simulation Theory Boardgame (STG)","https://www.kickstarter.com/projects/megacorp/simulation-theory-boardgame?ref=discovery_location_newest","0.7252147","18028.05517376","domestic"
