"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"5","this band of beastmen are a great group of dynamic and detailed miniatures, they are the creatures you were missing","34","Tabletop Games","games/tabletop games","90","IT","Italy","1651157338","Thu, 28 Apr 2022 14:48:58 +0000","https://ksr-ugc.imgix.net/assets/037/125/294/896d0a3d550cfde8a56cd8409b2598eb_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1651136624&auto=format&frame=1&q=92&s=c79dfa5520d12c30309dbf3027a39ecb","1552690658","Cesky","https://www.kickstarter.com/profile/cesky","EUR","€","false","USD","1657887551","this band of beastmen are a great group of dynamic and detailed miniatures, they are the creatures you were missing","false","1.05562511","500","1065673130","true","1655295551","Wed, 15 Jun 2022 12:19:11 +0000","https://www.kickstarter.com/projects/cesky/beastmen-28mm-scale-stl-models-for-board-games?ref=discovery_location_newest","20150549","Italia, Italy","Beastmen: 28mm scale STL models for board games",,"86","Wed, 15 Jun 2022 12:19:11 +0000","beastmen-28mm-scale-stl-models-for-board-games","false","false","live","1655295554","1.04272895","Beastmen: 28mm scale STL models for board games","https://www.kickstarter.com/projects/cesky/beastmen-28mm-scale-stl-models-for-board-games?ref=discovery_location_newest","1.05562511","89.6746897","domestic"
"53","Pre-Supported, RPG Tabletop Miniatures For Roleplaying, Diorama, Board games, Wargaming, etc. D&D compatible!","34","Tabletop Games","games/tabletop games","3015","IT","Italy","1648539162","Tue, 29 Mar 2022 07:32:42 +0000","https://ksr-ugc.imgix.net/assets/029/140/315/e39a1e486602f94f2cfcf393e7863b63_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1592325597&auto=format&frame=1&q=92&s=9d2057ed1e4b7e269b61febceac5bc91","810182793","Mojibake","https://www.kickstarter.com/profile/mojibakeminiatures","EUR","€","false","USD","1651582876","Pre-Supported, RPG Tabletop Miniatures For Roleplaying, Diorama, Board games, Wargaming, etc. D&D compatible!","false","1.05562511","500","1385703723","false","1650286876","Mon, 18 Apr 2022 13:01:16 +0000","https://www.kickstarter.com/projects/mojibakeminiatures/kobolds-of-the-temple-asian-3d-printable-rpg-miniatures?ref=discovery_location_newest","711080","Bologna, Italy","Kobolds Of Yao Long Temple | Asian 3D Printable STL minis",,"2867","Mon, 18 Apr 2022 13:01:16 +0000","kobolds-of-the-temple-asian-3d-printable-rpg-miniatures","true","false","successful","1651582876","1.08118978","Kobolds Of Yao Long Temple | Asian 3D Printable STL minis","https://www.kickstarter.com/projects/mojibakeminiatures/kobolds-of-the-temple-asian-3d-printable-rpg-miniatures?ref=discovery_location_newest","1.05189968","3099.77109926","domestic"
"4","A new board game that will transport you inside Italy, making you discover what it means to be Italian.","273","Playing Cards","games/playing cards","121","IT","Italy","1615206942","Mon, 08 Mar 2021 12:35:42 +0000","https://ksr-ugc.imgix.net/assets/020/645/700/bfaf52e6d1d366f13ab7bdcc377c8945_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1632937733&auto=format&frame=1&q=92&s=01065d0005c431131c4d4788fced6650","1826148996","THE STAIN","https://www.kickstarter.com/profile/kbaam","EUR","€","false","USD","1652847398","A new board game that will transport you inside Italy, making you discover what it means to be Italian.","false","1.05562511","100","1852307900","false","1650168998","Sun, 17 Apr 2022 04:16:38 +0000","https://www.kickstarter.com/projects/kbaam/the-stain-we-love-italy?ref=discovery_location_newest","12679313","Riccione, Italy","THE STAIN - WE LOVE ITALY",,"115","Sun, 17 Apr 2022 04:16:38 +0000","the-stain-we-love-italy","true","false","successful","1652847398","1.08118978","THE STAIN - WE LOVE ITALY","https://www.kickstarter.com/projects/kbaam/the-stain-we-love-italy?ref=discovery_location_newest","1.05323913","124.3368247","domestic"
"2381","UND1C1 is the ultimate soccer board game.  Be the coach, choose the strategy and bring your team to victory!","34","Tabletop Games","games/tabletop games","249222","IT","Italy","1530269766","Fri, 29 Jun 2018 10:56:06 +0000","https://ksr-ugc.imgix.net/assets/036/293/268/5bd7a1806bf8893741b0044bee7b4868_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1644267983&auto=format&frame=1&q=92&s=a9d7131af82b8e0d731aff55e4cdf8e6","1925571466","UND1C1","https://www.kickstarter.com/profile/und1c1","EUR","€","false","USD","1649940940","UND1C1 is the ultimate soccer board game.  Be the coach, choose the strategy and bring your team to victory!","false","1.05562511","6500","2040891617","false","1647348940","Tue, 15 Mar 2022 12:55:40 +0000","https://www.kickstarter.com/projects/und1c1/the-best-soccer-boardgame-ever?ref=discovery_location_newest","725383","Udine, Italy","UND1C1 | The best soccer board game ever",,"228493","Tue, 15 Mar 2022 12:55:40 +0000","the-best-soccer-boardgame-ever","true","true","successful","1649940940","1.09046973","UND1C1 | The best soccer board game ever","https://www.kickstarter.com/projects/und1c1/the-best-soccer-boardgame-ever?ref=discovery_location_newest","1.09072069","249164.70001689","domestic"
"390","Adventure board game with monsters to tame, RPG vibe and a silly sense of humour. 
Back Kabula for a journey like no other!","34","Tabletop Games","games/tabletop games","39257","IT","Italy","1635461342","Thu, 28 Oct 2021 22:49:02 +0000","https://ksr-ugc.imgix.net/assets/033/842/239/20d83d408fdd8a82b86e005b5232e5d7_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1628451347&auto=format&frame=1&q=92&s=a4a424522eff1596ff6d3e43b7985742","1142500370","Stranger Games Studio","https://www.kickstarter.com/profile/1142500370","EUR","€","false","USD","1646064010","Adventure board game with monsters to tame, RPG vibe and a silly sense of humour. 
Back Kabula for a journey like no other!","false","1.05562511","20000","1934486060","false","1644336010","Tue, 08 Feb 2022 16:00:10 +0000","https://www.kickstarter.com/projects/1142500370/kabula-0?ref=discovery_location_newest","719846","Palermo, Italy","Kabula",,"35221","Tue, 08 Feb 2022 16:00:10 +0000","kabula-0","true","false","successful","1646064010","1.14387683","Kabula","https://www.kickstarter.com/projects/1142500370/kabula-0?ref=discovery_location_newest","1.11459235","40288.48582943","domestic"
"1287","Set in the world of the Dungeon Fighter™ board game series, a hilarious TTRPG where you don’t roll dice – you throw them.","34","Tabletop Games","games/tabletop games","130414","IT","Italy","1627035991","Fri, 23 Jul 2021 10:26:31 +0000","https://ksr-ugc.imgix.net/assets/010/069/678/00c00c53d6208a4bee84d7df782b6f10_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1573125564&auto=format&frame=1&q=92&s=8d5e214511e5ddb56918ef7ba00f7dff","1682713607","Horrible Guild","https://www.kickstarter.com/profile/horribleguild","EUR","€","false","USD","1644965940","Set in the world of the Dungeon Fighter™ board game series, a hilarious TTRPG where you don’t roll dice – you throw them.","false","1.05562511","10000","70177563","false","1643126429","Tue, 25 Jan 2022 16:00:29 +0000","https://www.kickstarter.com/projects/horribleguild/one-more-quest?ref=discovery_location_newest","718345","Milan, Italy","One More Quest - a dexterity comedy RPG",,"115215.19","Tue, 25 Jan 2022 16:00:29 +0000","one-more-quest","true","true","successful","1644965940","1.13298015","One More Quest - a dexterity comedy RPG","https://www.kickstarter.com/projects/horribleguild/one-more-quest?ref=discovery_location_newest","1.13192469","130536.5232484785","domestic"
"449","A print at home board game about merchants in the land of Hermagor.","34","Tabletop Games","games/tabletop games","1558","IT","Italy","1640676409","Tue, 28 Dec 2021 07:26:49 +0000","https://ksr-ugc.imgix.net/assets/007/666/519/1afedf4f94cd1008e982e5c6c6cab155_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1640677135&auto=format&frame=1&q=92&s=3f73e2155344c40880eb92d7aa3a5f50","1845237307","Mind The Moves","https://www.kickstarter.com/profile/emanueleornella","EUR","€","false","USD","1643626740","A print at home board game about merchants in the land of Hermagor.","false","1.05562511","9","193102124","false","1642928225","Sun, 23 Jan 2022 08:57:05 +0000","https://www.kickstarter.com/projects/emanueleornella/hermagor-market?ref=discovery_location_newest","721045","Pordenone, Italy","Hermagor Market",,"1396","Sun, 23 Jan 2022 08:57:05 +0000","hermagor-market","true","false","successful","1643626740","1.13447499","Hermagor Market","https://www.kickstarter.com/projects/emanueleornella/hermagor-market?ref=discovery_location_newest","1.11617482","1583.72708604","domestic"
"942","An epic competitive board game set in Pathfinder's world. Fight dreadful monsters in an ever-changing Arena! Day 1: November 23rd","34","Tabletop Games","games/tabletop games","130307","IT","Italy","1624265600","Mon, 21 Jun 2021 08:53:20 +0000","https://ksr-ugc.imgix.net/assets/033/956/694/92f110f44c06550bf5da9156a1a43060_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1624265294&auto=format&frame=1&q=92&s=d7640b19a51585bafafa3ee0e7571dd6","34363774","Giochi Uniti","https://www.kickstarter.com/profile/giochiuniti","EUR","€","false","USD","1639436340","An epic competitive board game set in Pathfinder's world. Fight dreadful monsters in an ever-changing Arena! Day 1: November 23rd","false","1.05562511","50000","1381951736","false","1637679304","Tue, 23 Nov 2021 14:55:04 +0000","https://www.kickstarter.com/projects/giochiuniti/pathfinder-arena?ref=discovery_location_newest","719258","Naples, Italy","Pathfinder Arena",,"115362","Tue, 23 Nov 2021 14:55:04 +0000","pathfinder-arena","true","false","successful","1639436340","1.12785601","Pathfinder Arena","https://www.kickstarter.com/projects/giochiuniti/pathfinder-arena?ref=discovery_location_newest","1.12955039","130111.72502562","domestic"
"167","A board game all to print in 3d!
In this new episode halfling with rat men!","12","Games","games","8862","IT","Italy","1633527440","Wed, 06 Oct 2021 13:37:20 +0000","https://ksr-ugc.imgix.net/assets/010/368/586/2a5f95b43b67e46f51b535f2fe5848e4_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461684750&auto=format&frame=1&q=92&s=aef213438da4b937ae7d490873a512d6","1460000621","Cross Lances","https://www.kickstarter.com/profile/crosslances","EUR","€","false","USD","1636272845","A board game all to print in 3d!
In this new episode halfling with rat men!","false","1.05562511","200","29250570","false","1634541245","Mon, 18 Oct 2021 07:14:05 +0000","https://www.kickstarter.com/projects/crosslances/rough-and-tumble-a-3d-self-printable-boardgame?ref=discovery_location_newest","12678082","Scandicci, Italy","ROUGH-AND-TUMBLE: A 3d self printable boardgame",,"7672","Mon, 18 Oct 2021 07:14:05 +0000","rough-and-tumble-a-3d-self-printable-boardgame","true","false","successful","1636272845","1.15997035","ROUGH-AND-TUMBLE: A 3d self printable boardgame","https://www.kickstarter.com/projects/crosslances/rough-and-tumble-a-3d-self-printable-boardgame?ref=discovery_location_newest","1.15515059","8899.2925252","domestic"
"595","A euro-style board game where Heroes compete to save the Outer Lands from the Void. 
Card-driven, Engine-building, Area-control.","34","Tabletop Games","games/tabletop games","36506","IT","Italy","1605032387","Tue, 10 Nov 2020 18:19:47 +0000","https://ksr-ugc.imgix.net/assets/031/360/742/2bec9f441d98429686a5a5a4f91124e1_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1605555133&auto=format&frame=1&q=92&s=a990813c02f6216601f36a1acad666cc","313447385","Twoid Games","https://www.kickstarter.com/profile/legendsvoid","EUR","€","false","USD","1620406800","A euro-style board game where Heroes compete to save the Outer Lands from the Void. 
Card-driven, Engine-building, Area-control.","false","1.05562511","29200","2115490749","false","1618297807","Tue, 13 Apr 2021 07:10:07 +0000","https://www.kickstarter.com/projects/legendsvoid/legends-of-void?ref=discovery_location_newest","719077","Morbegno, Italy","Legends of Void",,"30250.5","Tue, 13 Apr 2021 07:10:07 +0000","legends-of-void","true","false","successful","1620406800","1.18927135","Legends of Void","https://www.kickstarter.com/projects/legendsvoid/legends-of-void?ref=discovery_location_newest","1.20679231","35976.052973175","domestic"
