"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"31","Miniatures for board and tabletop games, STL 72 MM /120 MM files & 3D STL files only.","34","Tabletop Games","games/tabletop games","666","MX","Mexico","1649807158","Tue, 12 Apr 2022 23:45:58 +0000","https://ksr-ugc.imgix.net/assets/032/246/585/496237f2559b01efc68b707f8154205c_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1652838783&auto=format&frame=1&q=92&s=d638e015d084b0d5622ca77fb5982ab1","1296261098","Kuber Vázquez","https://www.kickstarter.com/profile/kuber94","MXN","$","true","USD","1654961280","Miniatures for board and tabletop games, STL 72 MM /120 MM files & 3D STL files only.","false","0.05035769","1500","1808257424","false","1652248072","Wed, 11 May 2022 05:47:52 +0000","https://www.kickstarter.com/projects/kuber94/war-on-olympus-3d-printing-only-stl-files?ref=discovery_location_newest","118385","Durango, Mexico","WAR ON OLYMPUS / 3D printing/Only STL Files",,"13318.8","Wed, 11 May 2022 05:47:52 +0000","war-on-olympus-3d-printing-only-stl-files","true","false","successful","1654961282","0.04915462","WAR ON OLYMPUS / 3D printing/Only STL Files","https://www.kickstarter.com/projects/kuber94/war-on-olympus-3d-printing-only-stl-files?ref=discovery_location_newest","0.05006027","654.680552856","international"
"144","Models for 3D printing in STL format, for board games and collectibles, SFW & NSFW Anime style models.","34","Tabletop Games","games/tabletop games","7686","MX","Mexico","1646855674","Wed, 09 Mar 2022 19:54:34 +0000","https://ksr-ugc.imgix.net/assets/026/182/442/113bf37a3bef5ba30a99f13194d261e8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1648675331&auto=format&frame=1&q=92&s=d2c6ac7b57a2f4cfb760ee39a605781b","473759960","Juan Lerma","https://www.kickstarter.com/profile/minichua","MXN","$","true","USD","1650587952","Models for 3D printing in STL format, for board games and collectibles, SFW & NSFW Anime style models.","false","0.05035769","20000","1645909030","false","1647995952","Wed, 23 Mar 2022 00:39:12 +0000","https://www.kickstarter.com/projects/minichua/sexy-fantasy-monsters-and-where-to-find-them-stl-3d?ref=discovery_location_newest","138045","Queretaro, Mexico","Sexy Fantasy Monsters and where to find them!!! STL 3D",,"153918.8","Wed, 23 Mar 2022 00:39:12 +0000","sexy-fantasy-monsters-and-where-to-find-them-stl-3d","true","false","successful","1650587953","0.0490365","Sexy Fantasy Monsters and where to find them!!! STL 3D","https://www.kickstarter.com/projects/minichua/sexy-fantasy-monsters-and-where-to-find-them-stl-3d?ref=discovery_location_newest","0.04993799","7547.6392362","international"
"31","A strategic Trading Card Game played on a board. Play 1v1, 2v2, free for all and even solo! Draft or Construct your decks!","273","Playing Cards","games/playing cards","8220","MX","Mexico","1624299097","Mon, 21 Jun 2021 18:11:37 +0000","https://ksr-ugc.imgix.net/assets/006/950/274/30c55dbd3ee22c22a7118ae2a8392a0b_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1629361635&auto=format&frame=1&q=92&s=05f8a2e4055b3359f04a6500b7c05663","112591720","Rija","https://www.kickstarter.com/profile/rija","MXN","$","true","USD","1633544847","A strategic Trading Card Game played on a board. Play 1v1, 2v2, free for all and even solo! Draft or Construct your decks!","false","0.05035769","150000","1003432050","false","1630952847","Mon, 06 Sep 2021 18:27:27 +0000","https://www.kickstarter.com/projects/rija/zeitgeist-card-game-strategic-card-game-played-on-a-board?ref=discovery_location_newest","116545","Mexico City, Mexico","Zeitgeist Trading Card Game: Strategic TCG played on a board",,"169528.8","Mon, 06 Sep 2021 18:27:27 +0000","zeitgeist-card-game-strategic-card-game-played-on-a-board","true","false","successful","1633544847","0.05019142","Zeitgeist Trading Card Game: Strategic TCG played on a board","https://www.kickstarter.com/projects/rija/zeitgeist-card-game-strategic-card-game-played-on-a-board?ref=discovery_location_newest","0.04849026","8508.891202896","international"
"22","Models for 3D printing (stl files), chibi monsters & creatures, D&D for board games STL Files. Tabletop games, 3D Print. +51 models","34","Tabletop Games","games/tabletop games","590","MX","Mexico","1628529295","Mon, 09 Aug 2021 17:14:55 +0000","https://ksr-ugc.imgix.net/assets/026/182/442/113bf37a3bef5ba30a99f13194d261e8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1648675331&auto=format&frame=1&q=92&s=d2c6ac7b57a2f4cfb760ee39a605781b","473759960","Juan Lerma","https://www.kickstarter.com/profile/minichua","MXN","$","true","USD","1629660288","Models for 3D printing (stl files), chibi monsters & creatures, D&D for board games STL Files. Tabletop games, 3D Print. +51 models","false","0.05035769","6000","295149925","false","1628796288","Thu, 12 Aug 2021 19:24:48 +0000","https://www.kickstarter.com/projects/minichua/chibi-monsters-dandd-3d-files-stl-memorama?ref=discovery_location_newest","118385","Durango, Mexico","Chibi Monsters D&D 3D Files STL + Memorama",,"12018.8","Thu, 12 Aug 2021 19:24:48 +0000","chibi-monsters-dandd-3d-files-stl-memorama","true","false","successful","1629660290","0.0497636","Chibi Monsters D&D 3D Files STL + Memorama","https://www.kickstarter.com/projects/minichua/chibi-monsters-dandd-3d-files-stl-memorama?ref=discovery_location_newest","0.04911073","598.09875568","international"
"2467","Dragonbond strategy asymmetric board game + free expansion. Raid as a dragon or general raising armies. Concepts from MtG/DnD artists.","34","Tabletop Games","games/tabletop games","229305","US","the United States","1618529973","Thu, 15 Apr 2021 23:39:33 +0000","https://ksr-ugc.imgix.net/assets/021/910/830/43d5e3adeaa38738dd4ed954abeba430_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1551297359&auto=format&frame=1&q=92&s=4caae71c5fcbff0c63b454307688ed92","799765328","Draco Studios","https://www.kickstarter.com/profile/dracostudios","USD","$","true","USD","1630004400","Dragonbond strategy asymmetric board game + free expansion. Raid as a dragon or general raising armies. Concepts from MtG/DnD artists.","false","1","40000","2035331591","false","1627909202","Mon, 02 Aug 2021 13:00:02 +0000","https://www.kickstarter.com/projects/dracostudios/lords-of-vaala?ref=discovery_location_newest","116545","Mexico City, Mexico","Dragonbond: Lords of Vaala",,"229305","Mon, 02 Aug 2021 13:00:02 +0000","lords-of-vaala","true","true","successful","1630004400","1","Dragonbond: Lords of Vaala","https://www.kickstarter.com/projects/dracostudios/lords-of-vaala?ref=discovery_location_newest","1","229305.0","international"
"39","Miniatures for board games and collectibles. stl files, 3d print.","34","Tabletop Games","games/tabletop games","1600","MX","Mexico","1620051162","Mon, 03 May 2021 14:12:42 +0000","https://ksr-ugc.imgix.net/assets/026/182/442/113bf37a3bef5ba30a99f13194d261e8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1648675331&auto=format&frame=1&q=92&s=d2c6ac7b57a2f4cfb760ee39a605781b","473759960","Juan Lerma","https://www.kickstarter.com/profile/minichua","MXN","$","true","USD","1621438307","Miniatures for board games and collectibles. stl files, 3d print.","false","0.05035769","5000","2045996266","false","1620055907","Mon, 03 May 2021 15:31:47 +0000","https://www.kickstarter.com/projects/minichua/creatures-and-more-printable-miniatures?ref=discovery_location_newest","118385","Durango, Mexico","Creatures & More Printable miniatures",,"31766.8","Mon, 03 May 2021 15:31:47 +0000","creatures-and-more-printable-miniatures","true","false","successful","1621438307","0.04940895","Creatures & More Printable miniatures","https://www.kickstarter.com/projects/minichua/creatures-and-more-printable-miniatures?ref=discovery_location_newest","0.05036888","1569.56423286","international"
"157","3d models stl files dark, monstrous and sexy zodiac signs.  board games, collectibles and decorations printable","34","Tabletop Games","games/tabletop games","5676","MX","Mexico","1616431763","Mon, 22 Mar 2021 16:49:23 +0000","https://ksr-ugc.imgix.net/assets/026/182/442/113bf37a3bef5ba30a99f13194d261e8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1648675331&auto=format&frame=1&q=92&s=d2c6ac7b57a2f4cfb760ee39a605781b","473759960","Juan Lerma","https://www.kickstarter.com/profile/minichua","MXN","$","true","USD","1619972542","3d models stl files dark, monstrous and sexy zodiac signs.  board games, collectibles and decorations printable","false","0.05035769","15000","1362433030","false","1617380542","Fri, 02 Apr 2021 16:22:22 +0000","https://www.kickstarter.com/projects/minichua/zodiac-miniatures-and-collectables-stl-files-boardgames?ref=discovery_location_newest","118385","Durango, Mexico","Zodiac miniatures & collectables stl files. boardgames ...",,"114897.8","Fri, 02 Apr 2021 16:22:22 +0000","zodiac-miniatures-and-collectables-stl-files-boardgames","true","false","successful","1619972542","0.0488436","Zodiac miniatures & collectables stl files. boardgames ...","https://www.kickstarter.com/projects/minichua/zodiac-miniatures-and-collectables-stl-files-boardgames?ref=discovery_location_newest","0.04940895","5612.02218408","international"
"5","Un juego de mesa sobre organismos raros e interesantes de todas partes del mundo, basado en zona safari de Pokémon (por ahora)","34","Tabletop Games","games/tabletop games","78","MX","Mexico","1613079809","Thu, 11 Feb 2021 21:43:29 +0000","https://ksr-ugc.imgix.net/assets/032/351/103/37336c8969fb53779a9ca741c85b67f8_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1613143796&auto=format&frame=1&q=92&s=ec8c597200c273e5da02556dde53027c","605834384","DarienGBA","https://www.kickstarter.com/profile/darienypablo","MXN","$","true","USD","1618328207","Un juego de mesa sobre organismos raros e interesantes de todas partes del mundo, basado en zona safari de Pokémon (por ahora)","false","0.05035769","1500","18698638","false","1613147807","Fri, 12 Feb 2021 16:36:47 +0000","https://www.kickstarter.com/projects/darienypablo/zona-zafari?ref=discovery_location_newest","151582","Zapopan, Mexico","Zona Safari",,"1579.8","Fri, 12 Feb 2021 16:36:47 +0000","zona-zafari","true","false","successful","1618328207","0.04996702","Zona Safari","https://www.kickstarter.com/projects/darienypablo/zona-zafari?ref=discovery_location_newest","0.04957354","78.937898196","international"
"141","3d stl models  printable  for boardgames  Wargames D&D terrain tabletop
 STL files Aztec Maya RPG ZineQuest games","34","Tabletop Games","games/tabletop games","5347","MX","Mexico","1609949673","Wed, 06 Jan 2021 16:14:33 +0000","https://ksr-ugc.imgix.net/assets/026/182/442/113bf37a3bef5ba30a99f13194d261e8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1648675331&auto=format&frame=1&q=92&s=d2c6ac7b57a2f4cfb760ee39a605781b","473759960","Juan Lerma","https://www.kickstarter.com/profile/minichua","MXN","$","true","USD","1614820431","3d stl models  printable  for boardgames  Wargames D&D terrain tabletop
 STL files Aztec Maya RPG ZineQuest games","false","0.05035769","17000","1547563584","false","1612228431","Tue, 02 Feb 2021 01:13:51 +0000","https://www.kickstarter.com/projects/minichua/prehispanic-gods-stl-and-phisical-for-board-game-52-mm?ref=discovery_location_newest","118385","Durango, Mexico","Prehispanic Gods - Stl board game Miniatures Mayan, Aztec +.",,"110253.8","Tue, 02 Feb 2021 01:13:51 +0000","prehispanic-gods-stl-and-phisical-for-board-game-52-mm","true","false","successful","1614820431","0.04856444","Prehispanic Gods - Stl board game Miniatures Mayan, Aztec +.","https://www.kickstarter.com/projects/minichua/prehispanic-gods-stl-and-phisical-for-board-game-52-mm?ref=discovery_location_newest","0.04850258","5354.414054872","international"
"167","Sexy Master Chess -  STL Files, Nsfw Chess. 6 Models + board puzzle.","34","Tabletop Games","games/tabletop games","1503","MX","Mexico","1605659269","Wed, 18 Nov 2020 00:27:49 +0000","https://ksr-ugc.imgix.net/assets/031/452/499/1465c96b3e3f84ce086b3ab5bd581ce8_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1605663138&auto=format&frame=1&q=92&s=8ddd2a0b5dbf5db767a7af3c422a3da8","989881959","Hugo Garduño","https://www.kickstarter.com/profile/eitisculptures","MXN","$","true","USD","1608318516","Sexy Master Chess -  STL Files, Nsfw Chess. 6 Models + board puzzle.","false","0.05035769","6500","208027680","false","1606158516","Mon, 23 Nov 2020 19:08:36 +0000","https://www.kickstarter.com/projects/eitisculptures/sexy-master-chess?ref=discovery_location_newest","55889096","Mexico, Mexico","Sexy Master Chess Boardgames - stl files - 3d print ready",,"29919.8","Mon, 23 Nov 2020 19:08:36 +0000","sexy-master-chess","true","false","successful","1608318516","0.04973338","Sexy Master Chess Boardgames - stl files - 3d print ready","https://www.kickstarter.com/projects/eitisculptures/sexy-master-chess?ref=discovery_location_newest","0.0502385","1488.012782924","international"
