"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"276","A game of interplanetary trade. Exploit the opportunities of space.
Buy and sell resources or turn to piracy to win.","34","Tabletop Games","games/tabletop games","19023","SE","Sweden","1634028165","Tue, 12 Oct 2021 08:42:45 +0000","https://ksr-ugc.imgix.net/assets/035/198/385/9f37d7c6f2a82695e7df45de51b3d906_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1634030276&auto=format&frame=1&q=92&s=d50986fbbe697d73ccd612848b2d4a73","2107164473","Arctic Lynx Games","https://www.kickstarter.com/profile/algslt","EUR","€","false","USD","1656428451","A game of interplanetary trade. Exploit the opportunities of space.
Buy and sell resources or turn to piracy to win.","false","1.05562511","15000","1667318378","true","1654614051","Tue, 07 Jun 2022 15:00:51 +0000","https://www.kickstarter.com/projects/algslt/space-lane-trader-board-game?ref=discovery_location_newest","906057","Stockholm, Sweden","Space Lane Trader Board Game",,"18021","Tue, 07 Jun 2022 15:00:51 +0000","space-lane-trader-board-game","false","false","live","1654614058","1.07251948","Space Lane Trader Board Game","https://www.kickstarter.com/projects/algslt/space-lane-trader-board-game?ref=discovery_location_newest","1.05562511","19327.87354908","domestic"
"133","New expansion for Betwixt and Between and a new chance to get this unique and beautiful euro-inspired adventure board game!","34","Tabletop Games","games/tabletop games","6784","SE","Sweden","1643803072","Wed, 02 Feb 2022 11:57:52 +0000","https://ksr-ugc.imgix.net/assets/006/695/201/c36e2a1cbc4962cb1d3fa739cfd13f34_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1499865154&auto=format&frame=1&q=92&s=9137772c6aa52e3b79f7983659700a2e","548651203","All Or None Games","https://www.kickstarter.com/profile/allornonegames","EUR","€","false","USD","1653319935","New expansion for Betwixt and Between and a new chance to get this unique and beautiful euro-inspired adventure board game!","false","1.05562511","4000","253696017","false","1651246335","Fri, 29 Apr 2022 15:32:15 +0000","https://www.kickstarter.com/projects/allornonegames/betwixt-and-between-forces-of-nature?ref=discovery_location_newest","908326","Tyresö, Sweden","Betwixt and Between: Forces of Nature",,"6405","Fri, 29 Apr 2022 15:32:15 +0000","betwixt-and-between-forces-of-nature","true","true","successful","1653319935","1.05092576","Betwixt and Between: Forces of Nature","https://www.kickstarter.com/projects/allornonegames/betwixt-and-between-forces-of-nature?ref=discovery_location_newest","1.05926144","6731.1794928","domestic"
"8817","Dawn breaks and the hunt begins. A team of hunters co-operates against a powerful Beast, vengeful for the unsuspecting villagers.","34","Tabletop Games","games/tabletop games","676545","SE","Sweden","1623152529","Tue, 08 Jun 2021 11:42:09 +0000","https://ksr-ugc.imgix.net/assets/032/589/200/5c00f8a9724a50769636a795cffe6a58_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1614771284&auto=format&frame=1&q=92&s=bb2a399fa76dd8f42244bdfd9ebdaaa8","327718895","Studio Midhall","https://www.kickstarter.com/profile/327718895","SEK","kr","true","USD","1635433214","Dawn breaks and the hunt begins. A team of hunters co-operates against a powerful Beast, vengeful for the unsuspecting villagers.","false","0.09873734","130000","629118667","false","1632841214","Tue, 28 Sep 2021 15:00:14 +0000","https://www.kickstarter.com/projects/327718895/beast-4?ref=discovery_location_newest","898091","Malmö, Sweden","Beast",,"5807339.81","Tue, 28 Sep 2021 15:00:14 +0000","beast-4","true","true","successful","1635433214","0.11579033","Beast","https://www.kickstarter.com/projects/327718895/beast-4?ref=discovery_location_newest","0.11649836","672433.7930220373","domestic"
"22","Miniature terrain for RPG, Wargames, Board Games and all tabletopgaming in 28/32mm","34","Tabletop Games","games/tabletop games","2556","SE","Sweden","1615305723","Tue, 09 Mar 2021 16:02:03 +0000","https://ksr-ugc.imgix.net/assets/033/368/835/29fec0f5713afb69c00e609474291871_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1620035445&auto=format&frame=1&q=92&s=32ef6028b6c357be4a9b0108b2ac6cd8","1393403494","Kevin Ringemur","https://www.kickstarter.com/profile/tabletopfigurer","SEK","kr","true","USD","1627121331","Miniature terrain for RPG, Wargames, Board Games and all tabletopgaming in 28/32mm","false","0.09873734","20000","1157528678","false","1624529331","Thu, 24 Jun 2021 10:08:51 +0000","https://www.kickstarter.com/projects/tabletopfigurer/the-graveyard-terrain-props-for-tabletopgaming-28mm-32mm?ref=discovery_location_newest","896160","Kungsbacka, Sweden","The Graveyard PHYSICAL(Plastic release)",,"22211.71","Thu, 24 Jun 2021 10:08:51 +0000","the-graveyard-terrain-props-for-tabletopgaming-28mm-32mm","true","false","successful","1627121331","0.11778674","The Graveyard PHYSICAL(Plastic release)","https://www.kickstarter.com/projects/tabletopfigurer/the-graveyard-terrain-props-for-tabletopgaming-28mm-32mm?ref=discovery_location_newest","0.11508076","2616.2449107254","domestic"
"111","A brand new expansion for Goons and a new shot to get in on this one of a kind strategy board game!","34","Tabletop Games","games/tabletop games","6501","SE","Sweden","1603182763","Tue, 20 Oct 2020 08:32:43 +0000","https://ksr-ugc.imgix.net/assets/006/695/201/c36e2a1cbc4962cb1d3fa739cfd13f34_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1499865154&auto=format&frame=1&q=92&s=9137772c6aa52e3b79f7983659700a2e","548651203","All Or None Games","https://www.kickstarter.com/profile/allornonegames","EUR","€","false","USD","1623779108","A brand new expansion for Goons and a new shot to get in on this one of a kind strategy board game!","false","1.05562511","4000","129525924","false","1621964708","Tue, 25 May 2021 17:45:08 +0000","https://www.kickstarter.com/projects/allornonegames/goons-the-junkyard-expansion?ref=discovery_location_newest","906057","Stockholm, Sweden","Goons: The Junkyard Expansion",,"5363","Tue, 25 May 2021 17:45:08 +0000","goons-the-junkyard-expansion","true","false","successful","1623779108","1.21813808","Goons: The Junkyard Expansion","https://www.kickstarter.com/projects/allornonegames/goons-the-junkyard-expansion?ref=discovery_location_newest","1.21233135","6532.87452304","domestic"
"153","Sagospelet Äventyrs fjärde reviderade utgåva!","34","Tabletop Games","games/tabletop games","10715","SE","Sweden","1604442991","Tue, 03 Nov 2020 22:36:31 +0000","https://ksr-ugc.imgix.net/assets/010/401/335/a71c56170814e894239b17f747bd3f4e_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1614210345&auto=format&frame=1&q=92&s=debbd411a96bd64d136f7b8440ed425e","1371919779","Daniel Lehto","https://www.kickstarter.com/profile/sagospeletaventyr","SEK","kr","true","USD","1615967999","Sagospelet Äventyrs fjärde reviderade utgåva!","false","0.09873734","50000","152930073","false","1614243599","Thu, 25 Feb 2021 08:59:59 +0000","https://www.kickstarter.com/projects/sagospeletaventyr/sagospelet-aventyr-40?ref=discovery_location_newest","887977","Bureå, Sweden","Sagospelet Äventyr 4.0",,"91128.71","Thu, 25 Feb 2021 08:59:59 +0000","sagospelet-aventyr-40","true","false","successful","1615967999","0.12076164","Sagospelet Äventyr 4.0","https://www.kickstarter.com/projects/sagospeletaventyr/sagospelet-aventyr-40?ref=discovery_location_newest","0.11758508","11004.8524706844","domestic"
"247","Explore the moons of Saturn. Exploit galactic resources. Expand influence in far reaches of space! A board game for the whole family.","34","Tabletop Games","games/tabletop games","12572","US","the United States","1607605439","Thu, 10 Dec 2020 13:03:59 +0000","https://ksr-ugc.imgix.net/assets/010/533/389/74763de8c1502d30b53f848fab85856e_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1607609609&auto=format&frame=1&q=92&s=ee98fd4bc00748819cfc89cff91a5fee","455725875","Ion Game Design","https://www.kickstarter.com/profile/455725875","USD","$","true","USD","1615816915","Explore the moons of Saturn. Exploit galactic resources. Expand influence in far reaches of space! A board game for the whole family.","false","1","10000","1303881706","false","1614092515","Tue, 23 Feb 2021 15:01:55 +0000","https://www.kickstarter.com/projects/455725875/dawn-on-titan?ref=discovery_location_newest","906057","Stockholm, Sweden","Dawn on Titan",,"12572","Tue, 23 Feb 2021 15:01:55 +0000","dawn-on-titan","true","false","successful","1615816915","1","Dawn on Titan","https://www.kickstarter.com/projects/455725875/dawn-on-titan?ref=discovery_location_newest","1","12572.0","domestic"
"98","Youtube videos of Board and Card games. Gameplay Runthroughs, Full Playthroughs, Unboxings, Top 10 lists, Livestreams and more.","34","Tabletop Games","games/tabletop games","3177","SE","Sweden","1606056159","Sun, 22 Nov 2020 14:42:39 +0000","https://ksr-ugc.imgix.net/assets/020/950/900/6696ee6d38516ef01210a56d747361d1_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1524187222&auto=format&frame=1&q=92&s=0cf13b2f0930f23c471af6b6d53d0328","1760957823","Boardgames with Niramas","https://www.kickstarter.com/profile/bgwniramas","SEK","kr","true","USD","1607900340","Youtube videos of Board and Card games. Gameplay Runthroughs, Full Playthroughs, Unboxings, Top 10 lists, Livestreams and more.","false","0.09873734","10000","1581475393","false","1606396950","Thu, 26 Nov 2020 13:22:30 +0000","https://www.kickstarter.com/projects/bgwniramas/boardgames-with-niramas-2020?ref=discovery_location_newest","908376","Uddevalla, Sweden","Boardgames with Niramas 2020",,"26882.71","Thu, 26 Nov 2020 13:22:30 +0000","boardgames-with-niramas-2020","true","false","successful","1607900340","0.11721995","Boardgames with Niramas 2020","https://www.kickstarter.com/projects/bgwniramas/boardgames-with-niramas-2020?ref=discovery_location_newest","0.11820191","3151.1899220645","domestic"
"277","Take your opponent down, improve your position and finally submit them in this fast-paced dice modification game.","34","Tabletop Games","games/tabletop games","13177","SE","Sweden","1585639787","Tue, 31 Mar 2020 07:29:47 +0000","https://ksr-ugc.imgix.net/assets/028/121/709/9df4483709614fb53227dfe9963d687b_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1583330220&auto=format&frame=1&q=92&s=9642e23a86e5f07d498f9afc3e5e627f","540613944","Gaard Games","https://www.kickstarter.com/profile/gaardgames","EUR","€","false","USD","1607356780","Take your opponent down, improve your position and finally submit them in this fast-paced dice modification game.","false","1.05562511","10000","1154350015","false","1605023980","Tue, 10 Nov 2020 15:59:40 +0000","https://www.kickstarter.com/projects/gaardgames/king-of-the-roll-a-brazilian-jiu-jitsu-fighting-game?ref=discovery_location_newest","906057","Stockholm, Sweden","King of the Roll - A Brazilian Jiu-Jitsu Fighting Game",,"10861","Tue, 10 Nov 2020 15:59:40 +0000","king-of-the-roll-a-brazilian-jiu-jitsu-fighting-game","true","false","successful","1607356780","1.18869598","King of the Roll - A Brazilian Jiu-Jitsu Fighting Game","https://www.kickstarter.com/projects/gaardgames/king-of-the-roll-a-brazilian-jiu-jitsu-fighting-game?ref=discovery_location_newest","1.21327713","12910.42703878","domestic"
"513","A unique adventure and strategy boardgame that lets you discover a new world each time you play.","34","Tabletop Games","games/tabletop games","22183","SE","Sweden","1573760906","Thu, 14 Nov 2019 19:48:26 +0000","https://ksr-ugc.imgix.net/assets/025/552/497/ec300b86c4a6f37f1b005e5d5f0db31a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1571040167&auto=format&frame=1&q=92&s=dbb04a04b02e699a03b4e19a6e3075e1","1609368398","Todys Design","https://www.kickstarter.com/profile/herebedragons","SEK","kr","true","USD","1605121224","A unique adventure and strategy boardgame that lets you discover a new world each time you play.","false","0.09873734","130000","1486693972","false","1603216824","Tue, 20 Oct 2020 18:00:24 +0000","https://www.kickstarter.com/projects/herebedragons/here-be-dragons-into-the-unknown-0?ref=discovery_location_newest","906057","Stockholm, Sweden","Here be Dragons - Into the Unknown",,"190956.4","Tue, 20 Oct 2020 18:00:24 +0000","here-be-dragons-into-the-unknown-0","true","false","successful","1605121226","0.11302864","Here be Dragons - Into the Unknown","https://www.kickstarter.com/projects/herebedragons/here-be-dragons-into-the-unknown-0?ref=discovery_location_newest","0.11616832","21583.542191296","domestic"
