"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"533","Play more than 10 different sports in +100 minigames with your loved ones┃2-5 players┃7-99 years old","34","Tabletop Games","games/tabletop games","27344","ES","Spain","1653036989","Fri, 20 May 2022 08:56:29 +0000","https://ksr-ugc.imgix.net/assets/023/434/581/3eabb1595cd6f9bd177fea6ebd92b1ea_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1544445226&auto=format&frame=1&q=92&s=108747f8fe7ac63f8a42e869d9cf0b07","800523555","PLAKKS","https://www.kickstarter.com/profile/plakks","EUR","€","false","USD","1658070039","Play more than 10 different sports in +100 minigames with your loved ones┃2-5 players┃7-99 years old","false","1.05562511","10000","756385045","true","1654614039","Tue, 07 Jun 2022 15:00:39 +0000","https://www.kickstarter.com/projects/plakks/olymplakksthe-all-in-one-sports-board-game?ref=discovery_location_newest","753692","Barcelona, Spain","OLYMPLAKKS┃The all in one sports board game",,"25903.92","Tue, 07 Jun 2022 15:00:39 +0000","olymplakksthe-all-in-one-sports-board-game","false","false","live","1654614045","1.07251948","OLYMPLAKKS┃The all in one sports board game","https://www.kickstarter.com/projects/plakks/olymplakksthe-all-in-one-sports-board-game?ref=discovery_location_newest","1.05562511","27782.4588083616","domestic"
"262","High Quality 3D printable models (STL Files) for 3D Printing. Miniatures for RPG, D&D,Wargames, Board Games,painters and collectors.","34","Tabletop Games","games/tabletop games","2390","ES","Spain","1653779900","Sat, 28 May 2022 23:18:20 +0000","https://ksr-ugc.imgix.net/assets/033/305/292/e5cd4138474a6058511f70240a8d124e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1619566483&auto=format&frame=1&q=92&s=b7b4e628efc3c9c0176a9701fdb5f3e2","1394403533","TOYDOY","https://www.kickstarter.com/profile/goldenheroes","EUR","€","false","USD","1657530000","High Quality 3D printable models (STL Files) for 3D Printing. Miniatures for RPG, D&D,Wargames, Board Games,painters and collectors.","false","1.05562511","60","492039123","true","1654537935","Mon, 06 Jun 2022 17:52:15 +0000","https://www.kickstarter.com/projects/goldenheroes/la-bella-mouna?ref=discovery_location_newest","29370606","España, Spain","LA BELLA MOUNA",,"2265","Mon, 06 Jun 2022 17:52:15 +0000","la-bella-mouna","false","false","live","1654537937","1.07189982","LA BELLA MOUNA","https://www.kickstarter.com/projects/goldenheroes/la-bella-mouna?ref=discovery_location_newest","1.05562511","2427.8530923","domestic"
"583","Pre supported 3D Models for 3D Printing - Miniatures for RPG & Board Games","34","Tabletop Games","games/tabletop games","26897","ES","Spain","1652052440","Sun, 08 May 2022 23:27:20 +0000","https://ksr-ugc.imgix.net/assets/005/758/481/e6ebb0bfe68bb0ad7bcdd43bda68e843_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461064788&auto=format&frame=1&q=92&s=4533ed05d39e29d7489c4cc901dd8541","1713178938","RN Estudio","https://www.kickstarter.com/profile/rnestudio","EUR","€","false","USD","1655021164","Pre supported 3D Models for 3D Printing - Miniatures for RPG & Board Games","false","1.05562511","8000","199061618","false","1653293164","Mon, 23 May 2022 08:06:04 +0000","https://www.kickstarter.com/projects/rnestudio/mythexplorers-stl-vol2?ref=discovery_location_newest","752092","Alhaurín de la Torre, Spain","Mythexplorers - STL vol.2",,"25568","Mon, 23 May 2022 08:06:04 +0000","mythexplorers-stl-vol2","true","false","successful","1655021164","1.0565698","Mythexplorers - STL vol.2","https://www.kickstarter.com/projects/rnestudio/mythexplorers-stl-vol2?ref=discovery_location_newest","1.05200038","27014.3766464","domestic"
"50","3D Models for 3D Printing, miniatures for wargames, RPG and Board Games. Dark god army Miniatures STL files.","34","Tabletop Games","games/tabletop games","1645","ES","Spain","1639655579","Thu, 16 Dec 2021 11:52:59 +0000","https://ksr-ugc.imgix.net/assets/036/280/645/3d16507193bdf11fd28138c701f7a71f_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1644147945&auto=format&frame=1&q=92&s=aa463c275ac7380427d89e09dab7d075","1079055305","Ignacio Ruiz Díaz","https://www.kickstarter.com/profile/seven-sins-stl-files","EUR","€","false","USD","1654861725","3D Models for 3D Printing, miniatures for wargames, RPG and Board Games. Dark god army Miniatures STL files.","false","1.05562511","600","1631094533","false","1652269725","Wed, 11 May 2022 11:48:45 +0000","https://www.kickstarter.com/projects/seven-sins-stl-files/7sins-demons-miniatures-by-zuria-studio-stl-wargames?ref=discovery_location_newest","769330","Pamplona, Spain","7Sins Demons miniatures by Zuria Studio-STL-Wargames",,"1547","Wed, 11 May 2022 11:48:45 +0000","7sins-demons-miniatures-by-zuria-studio-stl-wargames","true","false","successful","1654861725","1.05786523","7Sins Demons miniatures by Zuria Studio-STL-Wargames","https://www.kickstarter.com/projects/seven-sins-stl-files/7sins-demons-miniatures-by-zuria-studio-stl-wargames?ref=discovery_location_newest","1.06342365","1636.51751081","domestic"
"590","🧟‍♂️ Survive the Zombie Apocalypse ☣️","34","Tabletop Games","games/tabletop games","15280","ES","Spain","1634537575","Mon, 18 Oct 2021 06:12:55 +0000","https://ksr-ugc.imgix.net/assets/006/601/173/7288acfb995d11031e134e5ba823422d_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1562053240&auto=format&frame=1&q=92&s=be2c97da7e1ec1960d451a8c89ae654b","718541314","JanduSoft","https://www.kickstarter.com/profile/jandusoft","EUR","€","false","USD","1654185717","🧟‍♂️ Survive the Zombie Apocalypse ☣️","false","1.05562511","9483","328047994","false","1651593717","Tue, 03 May 2022 16:01:57 +0000","https://www.kickstarter.com/projects/jandusoft/cards-of-the-dead-the-board-game?ref=discovery_location_newest","753692","Barcelona, Spain","Cards of the Dead - The Board Game",,"14342","Tue, 03 May 2022 16:01:57 +0000","cards-of-the-dead-the-board-game","true","true","successful","1654185717","1.05242109","Cards of the Dead - The Board Game","https://www.kickstarter.com/projects/jandusoft/cards-of-the-dead-the-board-game?ref=discovery_location_newest","1.06543588","15093.82327278","domestic"
"697","3D models (STL) for 3D Printing. Miniatures for RPG, Wargames and Board Games. Compatible with Warhammer Reforged, The Ninth Age, etc.","34","Tabletop Games","games/tabletop games","11048","ES","Spain","1647005356","Fri, 11 Mar 2022 13:29:16 +0000","https://ksr-ugc.imgix.net/assets/033/305/292/e5cd4138474a6058511f70240a8d124e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1619566483&auto=format&frame=1&q=92&s=b7b4e628efc3c9c0176a9701fdb5f3e2","1394403533","TOYDOY","https://www.kickstarter.com/profile/goldenheroes","EUR","€","false","USD","1652114892","3D models (STL) for 3D Printing. Miniatures for RPG, Wargames and Board Games. Compatible with Warhammer Reforged, The Ninth Age, etc.","false","1.05562511","500","745497355","false","1648313292","Sat, 26 Mar 2022 16:48:12 +0000","https://www.kickstarter.com/projects/goldenheroes/fantasy-women-vol-1-stl-files?ref=discovery_location_newest","29370606","España, Spain","FANTASY WOMEN VOL 1 (STL FILES)",,"10512.27","Sat, 26 Mar 2022 16:48:12 +0000","fantasy-women-vol-1-stl-files","true","false","successful","1652114892","1.10275833","FANTASY WOMEN VOL 1 (STL FILES)","https://www.kickstarter.com/projects/goldenheroes/fantasy-women-vol-1-stl-files?ref=discovery_location_newest","1.05099645","11592.4933097091","domestic"
"204","A semi-cooperative Board Game from 2 to 10 players on Unionism, Full Automation, and Robots!","34","Tabletop Games","games/tabletop games","8891","ES","Spain","1645263087","Sat, 19 Feb 2022 09:31:27 +0000","https://ksr-ugc.imgix.net/assets/024/002/091/c3b77fd7c6029eaeffef7201954f1301_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1572443249&auto=format&frame=1&q=92&s=9dc122586f114c4b9f66b323ceb64d49","553779942","No Board Games","https://www.kickstarter.com/profile/noboardgames","EUR","€","false","USD","1650452539","A semi-cooperative Board Game from 2 to 10 players on Unionism, Full Automation, and Robots!","false","1.05562511","7000","640172738","false","1647860539","Mon, 21 Mar 2022 11:02:19 +0000","https://www.kickstarter.com/projects/noboardgames/the-fully-automated-board-game?ref=discovery_location_newest","753692","Barcelona, Spain","The Fully Automated Board Game",,"8218","Mon, 21 Mar 2022 11:02:19 +0000","the-fully-automated-board-game","true","false","successful","1650452539","1.10652028","The Fully Automated Board Game","https://www.kickstarter.com/projects/noboardgames/the-fully-automated-board-game?ref=discovery_location_newest","1.08190099","9093.38366104","domestic"
"62","[También en español] The only colaborative board game on paranormal events that involves speculative narration.","34","Tabletop Games","games/tabletop games","1540","ES","Spain","1605874073","Fri, 20 Nov 2020 12:07:53 +0000","https://ksr-ugc.imgix.net/assets/031/485/634/76c574b3037c1628817f35040d1a0816_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1632495701&auto=format&frame=1&q=92&s=2281c6cb2bd46cf7f8354b0eb914b4b3","705866137","Art Worldbuilding","https://www.kickstarter.com/profile/guilleach","EUR","€","false","USD","1637485569","[También en español] The only colaborative board game on paranormal events that involves speculative narration.","false","1.05562511","1000","1425195777","false","1634889969","Fri, 22 Oct 2021 08:06:09 +0000","https://www.kickstarter.com/projects/guilleach/outside-beyond-the-scp-facilities?ref=discovery_location_newest","754542","Bilbao, Spain","OUTSIDE: Beyond the SCP facilities.",,"1365","Fri, 22 Oct 2021 08:06:09 +0000","outside-beyond-the-scp-facilities","true","false","successful","1637485569","1.16647867","OUTSIDE: Beyond the SCP facilities.","https://www.kickstarter.com/projects/guilleach/outside-beyond-the-scp-facilities?ref=discovery_location_newest","1.12871021","1592.24338455","domestic"
"134","Miniatures for board games, Physical miniatures and STL FILES","34","Tabletop Games","games/tabletop games","4840","ES","Spain","1624714893","Sat, 26 Jun 2021 13:41:33 +0000","https://ksr-ugc.imgix.net/assets/033/141/028/1cde53730d104a4a0b5f5f25f0af9498_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1618518079&auto=format&frame=1&q=92&s=5b29e7f00e87e98cd4a85e2c9f8f12b4","737549312","Diego Martinez","https://www.kickstarter.com/profile/theoryband","EUR","€","false","USD","1633540379","Miniatures for board games, Physical miniatures and STL FILES","false","1.05562511","800","1075353591","false","1630948379","Mon, 06 Sep 2021 17:12:59 +0000","https://www.kickstarter.com/projects/theoryband/theory-band-miniatures?ref=discovery_location_newest","769112","Oviedo, Spain","Theory Band miniatures",,"4175","Mon, 06 Sep 2021 17:12:59 +0000","theory-band-miniatures","true","false","successful","1633540379","1.18790522","Theory Band miniatures","https://www.kickstarter.com/projects/theoryband/theory-band-miniatures?ref=discovery_location_newest","1.15936518","4959.5042935","domestic"
"485","Motif | Abstract Strategy Board Game - 2 Player Board Game - Simple rules, great depth","34","Tabletop Games","games/tabletop games","27191","CA","Canada","1597202176","Wed, 12 Aug 2020 03:16:16 +0000","https://ksr-ugc.imgix.net/assets/020/697/888/bddc90a307a8a89e2ec24b85f3ca5fd6_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1597202365&auto=format&frame=1&q=92&s=afe02b55b3dd549c713b9ebce4b4abd9","2123341851","Leonardo Luz","https://www.kickstarter.com/profile/motifgame","CAD","$","true","USD","1632074442","Motif | Abstract Strategy Board Game - 2 Player Board Game - Simple rules, great depth","false","0.77679496","13100","1607703487","false","1629482442","Fri, 20 Aug 2021 18:00:42 +0000","https://www.kickstarter.com/projects/motifgame/motif-board-game?ref=discovery_location_newest","753692","Barcelona, Spain","Motif Board Game",,"34697.29","Fri, 20 Aug 2021 18:00:42 +0000","motif-board-game","true","false","successful","1632074443","0.78787678","Motif Board Game","https://www.kickstarter.com/projects/motifgame/motif-board-game?ref=discovery_location_newest","0.78368678","27337.1891199262","domestic"
