"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"53","洋館を舞台に三つ巴の捜索劇が繰り広げられるボードゲームのプロジェクト/A board game project in which a three-way search drama unfolds in a western-style house.","34","Tabletop Games","games/tabletop games","2459","JP","Japan","1644804053","Mon, 14 Feb 2022 02:00:53 +0000","https://ksr-ugc.imgix.net/assets/036/352/667/e978f2429bfcf968165ecdbef17442db_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1644806385&auto=format&frame=1&q=92&s=076f078da1e1d668f922059cbe4d77d6","1880530517","トリノザッカ/torinozaca","https://www.kickstarter.com/profile/torinozaca","JPY","¥","false","USD","1656075600","洋館を舞台に三つ巴の捜索劇が繰り広げられるボードゲームのプロジェクト/A board game project in which a three-way search drama unfolds in a western-style house.","false","0.00741647","330000","1112564722","false","1653475119","Wed, 25 May 2022 10:38:39 +0000","https://www.kickstarter.com/projects/torinozaca/clockwork-house?ref=discovery_location_newest","1118370","Tokyo, Japan","時計仕掛けの館/Clockwork House",,"331289","Wed, 25 May 2022 10:38:39 +0000","clockwork-house","true","false","successful","1656075600","0.0078258","時計仕掛けの館/Clockwork House","https://www.kickstarter.com/projects/torinozaca/clockwork-house?ref=discovery_location_newest","0.00742481","2592.6014562","domestic"
"728","Create colorful hydrangeas & mountains decorated with wooden animal tokens. Two easy to play, strategic Japanese style board games.","34","Tabletop Games","games/tabletop games","46566","JP","Japan","1641453698","Thu, 06 Jan 2022 07:21:38 +0000","https://ksr-ugc.imgix.net/assets/029/693/781/cb1e4ae6a741a14c7a9d7b47ec527800_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1593788111&auto=format&frame=1&q=92&s=eb04150729adac868feebc535de0d1ea","191229443","Nanatsumu","https://www.kickstarter.com/profile/nanatsumu","JPY","¥","false","USD","1651590000","Create colorful hydrangeas & mountains decorated with wooden animal tokens. Two easy to play, strategic Japanese style board games.","false","0.00741647","100000","504869211","false","1649253615","Wed, 06 Apr 2022 14:00:15 +0000","https://www.kickstarter.com/projects/nanatsumu/fujiyama-with-ajisai?ref=discovery_location_newest","1118370","Tokyo, Japan","""Fujiyama with Ajisai"" Board game Made in Japan | 富士に紫陽花を",,"6053023","Wed, 06 Apr 2022 14:00:15 +0000","fujiyama-with-ajisai","true","true","successful","1651590000","0.00816178","""Fujiyama with Ajisai"" Board game Made in Japan | 富士に紫陽花を","https://www.kickstarter.com/projects/nanatsumu/fujiyama-with-ajisai?ref=discovery_location_newest","0.00769303","49403.44206094","domestic"
"28","A project to publish classic board games in a compact and unified format. The first games are Queen's Guard, Morris, and Pah-Tum.","34","Tabletop Games","games/tabletop games","1633","JP","Japan","1643842614","Wed, 02 Feb 2022 22:56:54 +0000","https://ksr-ugc.imgix.net/assets/036/258/444/00850b969a10a98d0d28ecd40fa7a5f3_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1643918933&auto=format&frame=1&q=92&s=692d6921c95d33682e5b95f5ff0bea26","1422049375","Kanare_Abstract","https://www.kickstarter.com/profile/kanareabstract","JPY","¥","false","USD","1647701940","A project to publish classic board games in a compact and unified format. The first games are Queen's Guard, Morris, and Pah-Tum.","false","0.00741647","50000","194728971","false","1646387792","Fri, 04 Mar 2022 09:56:32 +0000","https://www.kickstarter.com/projects/kanareabstract/new-project-for-publishing-classic-abstract-games?ref=discovery_location_newest","28411566","Nagoya, Japan","New Project for Publishing Classic Abstract Strategy Games",,"194729","Fri, 04 Mar 2022 09:56:32 +0000","new-project-for-publishing-classic-abstract-games","true","false","successful","1647701940","0.00864516","New Project for Publishing Classic Abstract Strategy Games","https://www.kickstarter.com/projects/kanareabstract/new-project-for-publishing-classic-abstract-games?ref=discovery_location_newest","0.0083882","1683.46336164","domestic"
"1599","A strategic Mancala board game by Totsuca Chuo, Inspired by Trajan. For 1-4 players.","34","Tabletop Games","games/tabletop games","224635","JP","Japan","1625670020","Wed, 07 Jul 2021 15:00:20 +0000","https://ksr-ugc.imgix.net/assets/028/562/921/cadd1814ca3ffeb7cac348dfca6d0d2c_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1588128960&auto=format&frame=1&q=92&s=94c014ed8fd66d5609a58a70faa5192c","1039201469","uchibacoya","https://www.kickstarter.com/profile/uchibacoyapiece","JPY","¥","false","USD","1645412357","A strategic Mancala board game by Totsuca Chuo, Inspired by Trajan. For 1-4 players.","false","0.00741647","1800000","907714997","false","1642820357","Sat, 22 Jan 2022 02:59:17 +0000","https://www.kickstarter.com/projects/uchibacoyapiece/ostia-develop-the-harbor-of-ancient-rome-2-4players?ref=discovery_location_newest","1111366","Kurume-shi, Japan","Ostia - Develop the Harbor of Ancient Rome",,"25829735","Sat, 22 Jan 2022 02:59:17 +0000","ostia-develop-the-harbor-of-ancient-rome-2-4players","true","true","successful","1645412357","0.00873931","Ostia - Develop the Harbor of Ancient Rome","https://www.kickstarter.com/projects/uchibacoyapiece/ostia-develop-the-harbor-of-ancient-rome-2-4players?ref=discovery_location_newest","0.00869678","225734.06138285","domestic"
"231","A battle royale-style board game that combines ""Beast"" and ""Rider"" to fight. 「ビースト」と「ライダー」を組み合わせて戦う、バトルロイヤル形式のボードゲーム『ビストライド』のプロジェクト。","34","Tabletop Games","games/tabletop games","9856","JP","Japan","1636452465","Tue, 09 Nov 2021 10:07:45 +0000","https://ksr-ugc.imgix.net/assets/035/482/898/aed63cf30936cbfdf5b8d5c2a31f1a6d_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1637538227&auto=format&frame=1&q=92&s=4b97d402da15765307767f1e7db68cf1","1952082209","i2ゲームズ","https://www.kickstarter.com/profile/i2games","JPY","¥","false","USD","1640962740","A battle royale-style board game that combines ""Beast"" and ""Rider"" to fight. 「ビースト」と「ライダー」を組み合わせて戦う、バトルロイヤル形式のボードゲーム『ビストライド』のプロジェクト。","false","0.00741647","250000","758154455","false","1638327400","Wed, 01 Dec 2021 02:56:40 +0000","https://www.kickstarter.com/projects/i2games/bestride?ref=discovery_location_newest","1118370","Tokyo, Japan","ビストライド/BESTRIDE",,"1134359","Wed, 01 Dec 2021 02:56:40 +0000","bestride","true","false","successful","1640962740","0.00880257","ビストライド/BESTRIDE","https://www.kickstarter.com/projects/i2games/bestride?ref=discovery_location_newest","0.00868863","9985.27450263","domestic"
"78","I want to bring you an international version of the zombie movie themed board game!

(ゾンビ映画がテーマのボードゲームをインターナショナル版で日本国外にもお届けしたい！)","34","Tabletop Games","games/tabletop games","3025","JP","Japan","1623844672","Wed, 16 Jun 2021 11:57:52 +0000","https://ksr-ugc.imgix.net/assets/033/892/263/446b1adb3c89cf5346266812605ebb84_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1623741009&auto=format&frame=1&q=92&s=4b45d10f993a29705e3e7d1c4df78153","1652868448","B.B.B.U. /ボボン・ボン・ボジワーイ連邦","https://www.kickstarter.com/profile/bbbuinon","JPY","¥","false","USD","1636387222","I want to bring you an international version of the zombie movie themed board game!

(ゾンビ映画がテーマのボードゲームをインターナショナル版で日本国外にもお届けしたい！)","false","0.00741647","150000","972994912","false","1633791622","Sat, 09 Oct 2021 15:00:22 +0000","https://www.kickstarter.com/projects/bbbuinon/boardgame-zandzzombie-and-zilches?ref=discovery_location_newest","1118370","Tokyo, Japan","BoardGame ”Z＆Z(Zombie & Zilches)”",,"343689","Sat, 09 Oct 2021 15:00:22 +0000","boardgame-zandzzombie-and-zilches","true","false","successful","1636387222","0.0089416","BoardGame ”Z＆Z(Zombie & Zilches)”","https://www.kickstarter.com/projects/bbbuinon/boardgame-zandzzombie-and-zilches?ref=discovery_location_newest","0.00880437","3073.1295624","domestic"
"21","Original board game
We would like to sell [III HAND'S] around the world.

The rules are simple, but the game is deep.
In about 20 minut","34","Tabletop Games","games/tabletop games","3294","JP","Japan","1624889479","Mon, 28 Jun 2021 14:11:19 +0000","https://ksr-ugc.imgix.net/assets/034/093/086/b9e0ae4decd5751598ac836199ba8cac_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1625300690&auto=format&frame=1&q=92&s=67dc0e8226f149819daf79168651e1c1","2102959868","SORADORI","https://www.kickstarter.com/profile/soradori2020","JPY","¥","false","USD","1630416507","Original board game
We would like to sell [III HAND'S] around the world.

The rules are simple, but the game is deep.
In about 20 minut","false","0.00741647","350000","1078430866","false","1627824507","Sun, 01 Aug 2021 13:28:27 +0000","https://www.kickstarter.com/projects/soradori2020/iii-handsbluff-and-counting-card-game?ref=discovery_location_newest","1118370","Tokyo, Japan","【Ⅲ HAND'S】Bluff and Counting Card Game",,"361969","Sun, 01 Aug 2021 13:28:27 +0000","iii-handsbluff-and-counting-card-game","true","false","successful","1630416507","0.00911452","【Ⅲ HAND'S】Bluff and Counting Card Game","https://www.kickstarter.com/projects/soradori2020/iii-handsbluff-and-counting-card-game?ref=discovery_location_newest","0.00910211","3299.17368988","domestic"
"561","This is the true neverending story. The looping Co-op rogue-like board game.
これは、終わりのないお伽話。この世界に光を取り戻すため、主人公たちは強力なお供を引き連れて邪悪な鬼に立ち向かう。","34","Tabletop Games","games/tabletop games","29606","JP","Japan","1624876340","Mon, 28 Jun 2021 10:32:20 +0000","https://ksr-ugc.imgix.net/assets/034/068/031/2320130630366a14fc690711e111d8aa_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1625929077&auto=format&frame=1&q=92&s=edcefd248bb1003b3794eb226aa2f783","1556716471","ボードゲームヒーローズ","https://www.kickstarter.com/profile/boardgameheroes","JPY","¥","false","USD","1630058154","This is the true neverending story. The looping Co-op rogue-like board game.
これは、終わりのないお伽話。この世界に光を取り戻すため、主人公たちは強力なお供を引き連れて邪悪な鬼に立ち向かう。","false","0.00741647","987700","414827691","false","1625738154","Thu, 08 Jul 2021 09:55:54 +0000","https://www.kickstarter.com/projects/boardgameheroes/414827691?ref=discovery_location_newest","1118370","Tokyo, Japan","HIZURU / ヒイヅル【制作プロジェクト】",,"3256009","Thu, 08 Jul 2021 09:55:54 +0000","414827691","true","true","successful","1630058154","0.00904155","HIZURU / ヒイヅル【制作プロジェクト】","https://www.kickstarter.com/projects/boardgameheroes/414827691?ref=discovery_location_newest","0.0090928","29439.36817395","domestic"
"31","This is a family game where you exchange gems and compete for the number of gems you collect.","34","Tabletop Games","games/tabletop games","751","JP","Japan","1617546960","Sun, 04 Apr 2021 14:36:00 +0000","https://ksr-ugc.imgix.net/assets/029/234/276/6a855fe922755249e038d1b9d391dc04_original.gif?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1590537087&auto=format&frame=1&q=92&s=e9239cf25f05f2740c9b2033d5610dc2","1886643127","TANAX","https://www.kickstarter.com/profile/1886643127","JPY","¥","false","USD","1626620400","This is a family game where you exchange gems and compete for the number of gems you collect.","false","0.00741647","30000","950501744","false","1624804546","Sun, 27 Jun 2021 14:35:46 +0000","https://www.kickstarter.com/projects/1886643127/five-jems-board-gemepnp?ref=discovery_location_newest","1118370","Tokyo, Japan","Five Gems Board Game〈PnP〉",,"82709","Sun, 27 Jun 2021 14:35:46 +0000","five-jems-board-gemepnp","true","true","successful","1626620400","0.00902568","Five Gems Board Game〈PnP〉","https://www.kickstarter.com/projects/1886643127/five-jems-board-gemepnp?ref=discovery_location_newest","0.00908719","746.50496712","domestic"
"1690","Play Oink Games board games on your Switch! | オインクゲームズのボードゲームをSwitchで遊ぼう","35","Video Games","games/video games","59177","JP","Japan","1613532084","Wed, 17 Feb 2021 03:21:24 +0000","https://ksr-ugc.imgix.net/assets/031/710/819/fb90882b82bd4dce5c9ba1e7929c5cd8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1607648158&auto=format&frame=1&q=92&s=842897cffb280cb68e425234af9bbb3d","2084124970","Oink Games | オインクゲームズ","https://www.kickstarter.com/profile/oinkgames","JPY","¥","false","USD","1622829600","Play Oink Games board games on your Switch! | オインクゲームズのボードゲームをSwitchで遊ぼう","false","0.00741647","3000000","1754229383","false","1620738213","Tue, 11 May 2021 13:03:33 +0000","https://www.kickstarter.com/projects/oinkgames/oink-games-plus?ref=discovery_location_newest","1118370","Tokyo, Japan","Oink Games +",,"6523297","Tue, 11 May 2021 13:03:33 +0000","oink-games-plus","true","true","successful","1622829600","0.00918367","Oink Games +","https://www.kickstarter.com/projects/oinkgames/oink-games-plus?ref=discovery_location_newest","0.00907165","59907.80695999","domestic"
