"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"181","The board game add-on you want to use.","270","Gaming Hardware","games/gaming hardware","2244","BE","Belgium","1648719445","Thu, 31 Mar 2022 09:37:25 +0000","https://ksr-ugc.imgix.net/assets/019/341/763/ca68f68cf869dac0b71f72a5f8a6cdfa_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1649250819&auto=format&frame=1&q=92&s=e2eba85ada6ee77a84f45dab74909eeb","699561970","Dimitri De Cock","https://www.kickstarter.com/profile/dragon3dprinting","EUR","€","false","USD","1653732000","The board game add-on you want to use.","false","1.05562511","500","1610060485","false","1650643210","Fri, 22 Apr 2022 16:00:10 +0000","https://www.kickstarter.com/projects/dragon3dprinting/stackers-3d-printable-board-game-organizers-stl-files?ref=discovery_location_newest","970013","Ghent, Belgium","Stackers - 3D-printable board game organizers, STL-files",,"2091","Fri, 22 Apr 2022 16:00:10 +0000","stackers-3d-printable-board-game-organizers-stl-files","true","false","successful","1653732000","1.083054","Stackers - 3D-printable board game organizers, STL-files","https://www.kickstarter.com/projects/dragon3dprinting/stackers-3d-printable-board-game-organizers-stl-files?ref=discovery_location_newest","1.07321471","2264.665914","domestic"
"158","An easy to learn, fast to play, family card game with 13 game modes – 5 competitive, team, player elimination, 4 cooperative and 2 solo","34","Tabletop Games","games/tabletop games","6957","BE","Belgium","1611929435","Fri, 29 Jan 2021 14:10:35 +0000","https://ksr-ugc.imgix.net/assets/018/853/619/01cab6ade797798fb6c50b998b882cda_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1509561914&auto=format&frame=1&q=92&s=05976c3a370da63935d1942bdb6b27ce","446077073","Board Games Yunak","https://www.kickstarter.com/profile/446077073","EUR","€","false","USD","1642190400","An easy to learn, fast to play, family card game with 13 game modes – 5 competitive, team, player elimination, 4 cooperative and 2 solo","false","1.05562511","5000","2075135819","false","1640605644","Mon, 27 Dec 2021 11:47:24 +0000","https://www.kickstarter.com/projects/446077073/master-sweets-ff?ref=discovery_location_newest","968019","Brussels, Belgium","Master Sweets FF",,"6064","Mon, 27 Dec 2021 11:47:24 +0000","master-sweets-ff","true","false","successful","1642190400","1.13225022","Master Sweets FF","https://www.kickstarter.com/projects/446077073/master-sweets-ff?ref=discovery_location_newest","1.14737057","6865.96533408","domestic"
"258","An intense, tactical racing board game based on Greek mythology.","34","Tabletop Games","games/tabletop games","16084","BE","Belgium","1574717635","Mon, 25 Nov 2019 21:33:55 +0000","https://ksr-ugc.imgix.net/assets/012/814/868/a4af890802dd49649fa193b35a56b71d_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1612207042&auto=format&frame=1&q=92&s=2d92cd3d8bb13f0f7189649071ac27b7","248490995","Tudor Dulhaz","https://www.kickstarter.com/profile/248490995","EUR","€","false","USD","1616963400","An intense, tactical racing board game based on Greek mythology.","false","1.05562511","11500","2009451094","false","1614598147","Mon, 01 Mar 2021 11:29:07 +0000","https://www.kickstarter.com/projects/248490995/olympus-races?ref=discovery_location_newest","968019","Brussels, Belgium","Olympus Races",,"13638","Mon, 01 Mar 2021 11:29:07 +0000","olympus-races","true","false","successful","1616963400","1.20721043","Olympus Races","https://www.kickstarter.com/projects/248490995/olympus-races?ref=discovery_location_newest","1.17942192","16463.93584434","domestic"
"4143","Explore Siberia with the Stroganov merchants and Cossack hunters. A new mid-weight strategic euro game by Andreas Steding.","34","Tabletop Games","games/tabletop games","275909","BE","Belgium","1611755248","Wed, 27 Jan 2021 13:47:28 +0000","https://ksr-ugc.imgix.net/assets/013/530/153/3464b5e2ef3cb2acc943f54efd30962b_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1609062726&auto=format&frame=1&q=92&s=4defff354332d08a003cb97ee94db281","241074871","Game Brewer","https://www.kickstarter.com/profile/gamebrewer","EUR","€","false","USD","1615561200","Explore Siberia with the Stroganov merchants and Cossack hunters. A new mid-weight strategic euro game by Andreas Steding.","false","1.05562511","40000","71419471","false","1613408406","Mon, 15 Feb 2021 17:00:06 +0000","https://www.kickstarter.com/projects/gamebrewer/stroganov?ref=discovery_location_newest","978020","Turnhout, Belgium","Stroganov",,"230575.5","Mon, 15 Feb 2021 17:00:06 +0000","stroganov","true","false","successful","1615561200","1.21204922","Stroganov","https://www.kickstarter.com/projects/gamebrewer/stroganov?ref=discovery_location_newest","1.19661311","279468.85492611","domestic"
"267","An easy to learn, fast to play, family card game with 12 game modes – 5 competitive, team, player elimination, 3 cooperative and 2 solo","34","Tabletop Games","games/tabletop games","9672","BE","Belgium","1608202540","Thu, 17 Dec 2020 10:55:40 +0000","https://ksr-ugc.imgix.net/assets/018/853/619/01cab6ade797798fb6c50b998b882cda_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1509561914&auto=format&frame=1&q=92&s=05976c3a370da63935d1942bdb6b27ce","446077073","Board Games Yunak","https://www.kickstarter.com/profile/446077073","EUR","€","false","USD","1610626750","An easy to learn, fast to play, family card game with 12 game modes – 5 competitive, team, player elimination, 3 cooperative and 2 solo","false","1.05562511","1000","1754948306","false","1609157950","Mon, 28 Dec 2020 12:19:10 +0000","https://www.kickstarter.com/projects/446077073/master-sweets-fe?ref=discovery_location_newest","968019","Brussels, Belgium","Master Sweets FE",,"7961","Mon, 28 Dec 2020 12:19:10 +0000","master-sweets-fe","true","true","successful","1610626750","1.21921483","Master Sweets FE","https://www.kickstarter.com/projects/446077073/master-sweets-fe?ref=discovery_location_newest","1.21497973","9706.16926163","domestic"
"758","Expansions to the succesful strategy tabletop game Valda. Explore more of the beautiful viking world.","34","Tabletop Games","games/tabletop games","80827","BE","Belgium","1597404209","Fri, 14 Aug 2020 11:23:29 +0000","https://ksr-ugc.imgix.net/assets/023/235/693/972b6653cc0010ad19bcba68f340d5b7_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1542051615&auto=format&frame=1&q=92&s=71fe4944d620bab1d4972cb20156cfac","1526963700","Nathan Vermeulen","https://www.kickstarter.com/profile/valdariseofthegiants","EUR","€","false","USD","1610610324","Expansions to the succesful strategy tabletop game Valda. Explore more of the beautiful viking world.","false","1.05562511","20000","2022760294","false","1608018324","Tue, 15 Dec 2020 07:45:24 +0000","https://www.kickstarter.com/projects/valdariseofthegiants/valda-rise-of-the-giants-and-ragnarok?ref=discovery_location_newest","966591","Antwerp, Belgium","Valda - Rise of the Giants and Ragnarok",,"66525.5","Tue, 15 Dec 2020 07:45:24 +0000","valda-rise-of-the-giants-and-ragnarok","true","true","successful","1610610325","1.21331541","Valda - Rise of the Giants and Ragnarok","https://www.kickstarter.com/projects/valdariseofthegiants/valda-rise-of-the-giants-and-ragnarok?ref=discovery_location_newest","1.21497973","80716.414307955","domestic"
"486","The Warp is a fast-paced Sci-Fi 4X (explore, expand, exploit, exterminate) board game for 1 to 6 players.","34","Tabletop Games","games/tabletop games","65514","BE","Belgium","1602014985","Tue, 06 Oct 2020 20:09:45 +0000","https://ksr-ugc.imgix.net/assets/016/818/889/a4c71146cd0da02db98a388e98eb100e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1602015277&auto=format&frame=1&q=92&s=91736a63cc5a097a48fdb5f4f60a7615","549587749","Jumping Turtle Games","https://www.kickstarter.com/profile/thewarp","EUR","€","false","USD","1606683600","The Warp is a fast-paced Sci-Fi 4X (explore, expand, exploit, exterminate) board game for 1 to 6 players.","false","1.05562511","40000","2135303323","false","1603990842","Thu, 29 Oct 2020 17:00:42 +0000","https://www.kickstarter.com/projects/thewarp/the-warp-board-game?ref=discovery_location_newest","12602450","Herselt, Belgium","The Warp Board Game",,"54761","Thu, 29 Oct 2020 17:00:42 +0000","the-warp-board-game","true","false","successful","1606683602","1.17769955","The Warp Board Game","https://www.kickstarter.com/projects/thewarp/the-warp-board-game?ref=discovery_location_newest","1.19637546","64492.00505755","domestic"
"1142","Have a crazy race through Belgium and its breweries.","34","Tabletop Games","games/tabletop games","95977","BE","Belgium","1580923727","Wed, 05 Feb 2020 17:28:47 +0000","https://ksr-ugc.imgix.net/assets/030/330/975/88d7325b52e420dd7693e73eab9514da_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1598336853&auto=format&frame=1&q=92&s=8118bb23a5e0f77f7d949b398c6cc54a","643616362","BYR Games","https://www.kickstarter.com/profile/byrgames","EUR","€","false","USD","1600362002","Have a crazy race through Belgium and its breweries.","false","1.05562511","15000","606231364","false","1598547602","Thu, 27 Aug 2020 17:00:02 +0000","https://www.kickstarter.com/projects/byrgames/the-belgian-beers-race-boardgame?ref=discovery_location_newest","968019","Brussels, Belgium","The Belgian Beers Race - Boardgame",,"81659","Thu, 27 Aug 2020 17:00:02 +0000","the-belgian-beers-race-boardgame","true","false","successful","1600362002","1.18187384","The Belgian Beers Race - Boardgame","https://www.kickstarter.com/projects/byrgames/the-belgian-beers-race-boardgame?ref=discovery_location_newest","1.1753395","96510.63590056","domestic"
"51","A letter board game to show off your language skills","34","Tabletop Games","games/tabletop games","4714","BE","Belgium","1565432934","Sat, 10 Aug 2019 10:28:54 +0000","https://ksr-ugc.imgix.net/assets/026/648/502/13850d4fe1160acbf7ccdbf9c9bc6db4_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1569754377&auto=format&frame=1&q=92&s=47aa602adb5458946855736c0b273097","508320648","Woblet Team","https://www.kickstarter.com/profile/woblet","EUR","€","false","USD","1572590739","A letter board game to show off your language skills","false","1.05562511","4000","1167649980","false","1569998739","Wed, 02 Oct 2019 06:45:39 +0000","https://www.kickstarter.com/projects/woblet/woblet-fun-guaranteed?ref=discovery_location_newest","966591","Antwerp, Belgium","Woblet: fun guaranteed!",,"4222","Wed, 02 Oct 2019 06:45:39 +0000","woblet-fun-guaranteed","true","false","successful","1572590739","1.08878853","Woblet: fun guaranteed!","https://www.kickstarter.com/projects/woblet/woblet-fun-guaranteed?ref=discovery_location_newest","1.11654995","4596.86517366","domestic"
"29","Bagan is a family board game. It is all about strategy. And temples. Lots of temples!","34","Tabletop Games","games/tabletop games","2291","BE","Belgium","1561383669","Mon, 24 Jun 2019 13:41:09 +0000","https://ksr-ugc.imgix.net/assets/026/364/843/abdc289d996b5611200c2bee16ca8a5f_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1567632401&auto=format&frame=1&q=92&s=a54e56a7037254c50919e97ed2b659bf","700931660","Eva De Leersnyder","https://www.kickstarter.com/profile/kuduboardgames","EUR","€","false","USD","1571176500","Bagan is a family board game. It is all about strategy. And temples. Lots of temples!","false","1.05562511","1500","58806829","false","1567944982","Sun, 08 Sep 2019 12:16:22 +0000","https://www.kickstarter.com/projects/kuduboardgames/bagan-the-board-game?ref=discovery_location_newest","12602367","Oudenaarde, Belgium","Bagan, the board game",,"2077","Sun, 08 Sep 2019 12:16:22 +0000","bagan-the-board-game","true","false","successful","1571176500","1.11295367","Bagan, the board game","https://www.kickstarter.com/projects/kuduboardgames/bagan-the-board-game?ref=discovery_location_newest","1.10322915","2311.60477259","domestic"
