"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"340","Discover strange new locations and recruit new crew members in an unexplored region of space!","34","Tabletop Games","games/tabletop games","21841","NL","the Netherlands","1632650209","Sun, 26 Sep 2021 09:56:49 +0000","https://ksr-ugc.imgix.net/assets/034/490/943/d4c20e200de611955a92a5adb131d35b_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1637265187&auto=format&frame=1&q=92&s=9d3a6f05d199413e3b53681c441fd5ed","897434581","Wulfhorn Games","https://www.kickstarter.com/profile/stellarexpedition","EUR","€","false","USD","1652345034","Discover strange new locations and recruit new crew members in an unexplored region of space!","false","1.05562511","19000","1553666016","false","1649753034","Tue, 12 Apr 2022 08:43:54 +0000","https://www.kickstarter.com/projects/stellarexpedition/stellar-expedition?ref=discovery_location_newest","727232","Amsterdam, Netherlands","Stellar Expedition - a space exploration board game",,"20757","Tue, 12 Apr 2022 08:43:54 +0000","stellar-expedition","true","false","successful","1652345034","1.08834416","Stellar Expedition - a space exploration board game","https://www.kickstarter.com/projects/stellarexpedition/stellar-expedition?ref=discovery_location_newest","1.05223062","22590.75972912","international"
"32","A real-time dexterity game about pirates sneakily trading treasure behind their captain's back!","34","Tabletop Games","games/tabletop games","823","NL","the Netherlands","1598023108","Fri, 21 Aug 2020 15:18:28 +0000","https://ksr-ugc.imgix.net/assets/030/289/630/3f32b72017c0daf7ad58c1e7ff4fcbd2_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1598024212&auto=format&frame=1&q=92&s=f19004d807d345f9a2a54246290277ce","2034076426","Bad Guy Board Games","https://www.kickstarter.com/profile/badguyboardgames","EUR","€","false","USD","1651766400","A real-time dexterity game about pirates sneakily trading treasure behind their captain's back!","false","1.05562511","285","1389806334","false","1649144239","Tue, 05 Apr 2022 07:37:19 +0000","https://www.kickstarter.com/projects/badguyboardgames/aye-sea-you?ref=discovery_location_newest","729833","Heerlen, Netherlands","Aye Sea You! €19 / Free Worldwide Shipping",,"776","Tue, 05 Apr 2022 07:37:19 +0000","aye-sea-you","true","false","successful","1651766400","1.10484053","Aye Sea You! €19 / Free Worldwide Shipping","https://www.kickstarter.com/projects/badguyboardgames/aye-sea-you?ref=discovery_location_newest","1.06177514","857.35625128","international"
"53","Storage Dice with Reusable Cards and a unique Marker, combined with a Collapsible Tray, make the Arsenal indispensable for RPG players","34","Tabletop Games","games/tabletop games","3159","NL","the Netherlands","1647008236","Fri, 11 Mar 2022 14:17:16 +0000","https://ksr-ugc.imgix.net/assets/035/888/115/866b86d95e0bd54d70b6f7ba815ae440_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1641902630&auto=format&frame=1&q=92&s=5468631b1d5fdc177338285700859b88","1014336927","Elena","https://www.kickstarter.com/profile/slidingnodepuzzle","EUR","€","false","USD","1651852595","Storage Dice with Reusable Cards and a unique Marker, combined with a Collapsible Tray, make the Arsenal indispensable for RPG players","false","1.05562511","1500","1493113780","false","1649001395","Sun, 03 Apr 2022 15:56:35 +0000","https://www.kickstarter.com/projects/slidingnodepuzzle/dice-tray-and-glow-dice?ref=discovery_location_newest","726874","The Hague, Netherlands","DICE TRAY & GLOW DICE-Multifunctional Set for DnD board game",,"3000","Sun, 03 Apr 2022 15:56:35 +0000","dice-tray-and-glow-dice","true","false","successful","1651852596","1.10485029","DICE TRAY & GLOW DICE-Multifunctional Set for DnD board game","https://www.kickstarter.com/projects/slidingnodepuzzle/dice-tray-and-glow-dice?ref=discovery_location_newest","1.05331124","3314.55087","international"
"196","Wakanda-inspired 3D printable gaming terrain for games like Marvel Crisis Protocol, Wargaming, Roleplaying, or Diorama building.","34","Tabletop Games","games/tabletop games","603","NL","the Netherlands","1643809852","Wed, 02 Feb 2022 13:50:52 +0000","https://ksr-ugc.imgix.net/assets/020/762/795/14d173a1113b672596e36a38af0de15a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627385374&auto=format&frame=1&q=92&s=95d441da3593ae5c327e8a279d3c33e9","609526061","Next Level Board Gaming","https://www.kickstarter.com/profile/nlbg","EUR","€","false","USD","1647498429","Wakanda-inspired 3D printable gaming terrain for games like Marvel Crisis Protocol, Wargaming, Roleplaying, or Diorama building.","false","1.05562511","50","1490788317","false","1645774029","Fri, 25 Feb 2022 07:27:09 +0000","https://www.kickstarter.com/projects/nlbg/waka-gaming-terrain-pay-what-you-want?ref=discovery_location_newest","729028","Eindhoven, Netherlands","Waka Gaming Terrain - Pay What You Want!",,"546.5","Fri, 25 Feb 2022 07:27:09 +0000","waka-gaming-terrain-pay-what-you-want","true","false","successful","1647498430","1.12460006","Waka Gaming Terrain - Pay What You Want!","https://www.kickstarter.com/projects/nlbg/waka-gaming-terrain-pay-what-you-want?ref=discovery_location_newest","1.1035189","614.59393279","international"
"114","3D printable game board add-on for Blood Rage","34","Tabletop Games","games/tabletop games","1636","NL","the Netherlands","1641766639","Sun, 09 Jan 2022 22:17:19 +0000","https://ksr-ugc.imgix.net/assets/020/762/795/14d173a1113b672596e36a38af0de15a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627385374&auto=format&frame=1&q=92&s=95d441da3593ae5c327e8a279d3c33e9","609526061","Next Level Board Gaming","https://www.kickstarter.com/profile/nlbg","EUR","€","false","USD","1644404406","3D printable game board add-on for Blood Rage","false","1.05562511","50","1098626679","false","1642071606","Thu, 13 Jan 2022 11:00:06 +0000","https://www.kickstarter.com/projects/nlbg/3d-printable-blood-rage-3d-board-pay-what-you-want?ref=discovery_location_newest","729028","Eindhoven, Netherlands","3D Printable Blood Rage 3D Board - Pay What You Want",,"1432","Thu, 13 Jan 2022 11:00:06 +0000","3d-printable-blood-rage-3d-board-pay-what-you-want","true","false","successful","1644404407","1.13727216","3D Printable Blood Rage 3D Board - Pay What You Want","https://www.kickstarter.com/projects/nlbg/3d-printable-blood-rage-3d-board-pay-what-you-want?ref=discovery_location_newest","1.14269521","1628.57373312","international"
"709","3D printable terrain set for Wargaming or Roleplay","34","Tabletop Games","games/tabletop games","2991","NL","the Netherlands","1637746333","Wed, 24 Nov 2021 09:32:13 +0000","https://ksr-ugc.imgix.net/assets/020/762/795/14d173a1113b672596e36a38af0de15a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627385374&auto=format&frame=1&q=92&s=95d441da3593ae5c327e8a279d3c33e9","609526061","Next Level Board Gaming","https://www.kickstarter.com/profile/nlbg","EUR","€","false","USD","1640347200","3D printable terrain set for Wargaming or Roleplay","false","1.05562511","50","191258345","false","1638557154","Fri, 03 Dec 2021 18:45:54 +0000","https://www.kickstarter.com/projects/nlbg/3d-printable-roman-ruins-pay-what-you-want?ref=discovery_location_newest","729028","Eindhoven, Netherlands","3D printable Roman Ruins - Pay What You Want!",,"2639.43","Fri, 03 Dec 2021 18:45:54 +0000","3d-printable-roman-ruins-pay-what-you-want","true","false","successful","1640347200","1.13226432","3D printable Roman Ruins - Pay What You Want!","https://www.kickstarter.com/projects/nlbg/3d-printable-roman-ruins-pay-what-you-want?ref=discovery_location_newest","1.13344245","2988.5324141376","international"
"67","A board game disguised as a Christmas card: a personal and original way to wish your friends and family a merry Christmas.","34","Tabletop Games","games/tabletop games","1833","NL","the Netherlands","1635892346","Tue, 02 Nov 2021 22:32:26 +0000","https://ksr-ugc.imgix.net/assets/024/956/391/9387c8d7ab1bde4776b762bffa4ec08d_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1594153903&auto=format&frame=1&q=92&s=db27a0a764eae56b66a5f28c12be5785","102833196","Michiel de Wit","https://www.kickstarter.com/profile/michieldewit","EUR","€","false","USD","1637353465","A board game disguised as a Christmas card: a personal and original way to wish your friends and family a merry Christmas.","false","1.05562511","500","739554268","false","1636489465","Tue, 09 Nov 2021 20:24:25 +0000","https://www.kickstarter.com/projects/michieldewit/tree-toppers?ref=discovery_location_newest","732073","Nijmegen, Netherlands","Tree Toppers - A Christmas Card Game",,"1615","Tue, 09 Nov 2021 20:24:25 +0000","tree-toppers","true","false","successful","1637353465","1.15613218","Tree Toppers - A Christmas Card Game","https://www.kickstarter.com/projects/michieldewit/tree-toppers?ref=discovery_location_newest","1.13525161","1867.1534707","international"
"382","Based on the classic video game Snake, slowed down! A remarkable fast-paced strategy board game with unique game mechanics.","34","Tabletop Games","games/tabletop games","19190","NL","the Netherlands","1632812003","Tue, 28 Sep 2021 06:53:23 +0000","https://ksr-ugc.imgix.net/assets/034/677/660/a8c7fc192e3ecf79e82291e99c60af48_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1630477783&auto=format&frame=1&q=92&s=9c1f35504f3aeb1716f9db12d61fc87b","1073713637","Maarten Krijgsman","https://www.kickstarter.com/profile/1073713637","EUR","€","false","USD","1638140340","Based on the classic video game Snake, slowed down! A remarkable fast-paced strategy board game with unique game mechanics.","false","1.05562511","4500","777197946","false","1635703200","Sun, 31 Oct 2021 18:00:00 +0000","https://www.kickstarter.com/projects/1073713637/snake-the-board-game-0?ref=discovery_location_newest","733075","Rotterdam, Netherlands","Snake - The Board Game",,"16953","Sun, 31 Oct 2021 18:00:00 +0000","snake-the-board-game-0","true","false","successful","1638140340","1.15610946","Snake - The Board Game","https://www.kickstarter.com/projects/1073713637/snake-the-board-game-0?ref=discovery_location_newest","1.13200029","19599.52367538","international"
"216","Experience a nerve-wracking naval battle between two cold-blooded captains in this tactical game that requires wit and wind to win.","34","Tabletop Games","games/tabletop games","13202","NL","the Netherlands","1561724261","Fri, 28 Jun 2019 12:17:41 +0000","https://ksr-ugc.imgix.net/assets/025/640/634/74cbd08423e07cfdc458cf6523852a1c_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1633465004&auto=format&frame=1&q=92&s=ef37ab53f0260616ccd85a0b80e38878","757364561","Never be Boardgames","https://www.kickstarter.com/profile/turningtides","EUR","€","false","USD","1636632217","Experience a nerve-wracking naval battle between two cold-blooded captains in this tactical game that requires wit and wind to win.","false","1.05562511","10000","1132996454","false","1634036617","Tue, 12 Oct 2021 11:03:37 +0000","https://www.kickstarter.com/projects/turningtides/turning-tides-a-bold-strategic-2-player-board-game?ref=discovery_location_newest","731208","Leiden, Netherlands","Turning Tides: A bold strategic 2-player board game",,"11500","Tue, 12 Oct 2021 11:03:37 +0000","turning-tides-a-bold-strategic-2-player-board-game","true","false","successful","1636632217","1.15722257","Turning Tides: A bold strategic 2-player board game","https://www.kickstarter.com/projects/turningtides/turning-tides-a-bold-strategic-2-player-board-game?ref=discovery_location_newest","1.14803972","13308.059555","international"
"1082","A 3-9 player civilization board game. Combined with Western Empires (2019) forms Mega Empires, an 18 player experience.","34","Tabletop Games","games/tabletop games","176138","NL","the Netherlands","1616413242","Mon, 22 Mar 2021 11:40:42 +0000","https://ksr-ugc.imgix.net/assets/033/659/747/594ad3c0511062c58f8382e3de9e7e61_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1622034252&auto=format&frame=1&q=92&s=75e556963f7d292ca89ed0c715d94e4a","629568375","999 Games","https://www.kickstarter.com/profile/999games","EUR","€","false","USD","1633870760","A 3-9 player civilization board game. Combined with Western Empires (2019) forms Mega Empires, an 18 player experience.","false","1.05562511","30000","1869662660","false","1632315560","Wed, 22 Sep 2021 12:59:20 +0000","https://www.kickstarter.com/projects/999games/eastern-empires?ref=discovery_location_newest","727151","Almere, Netherlands","Eastern Empires",,"152234","Wed, 22 Sep 2021 12:59:20 +0000","eastern-empires","true","false","successful","1633870760","1.17319943","Eastern Empires","https://www.kickstarter.com/projects/999games/eastern-empires?ref=discovery_location_newest","1.15702441","178600.84202662","international"
"218","Pre supported 3D models (STL's) for 3D Printing. Miniatures for RPG, Wargames and Board Games.

tags: 32mm Resin printable 40k tabletop","34","Tabletop Games","games/tabletop games","6512","NL","the Netherlands","1624887316","Mon, 28 Jun 2021 13:35:16 +0000","https://ksr-ugc.imgix.net/assets/034/426/847/3d7b8565966c4e93b16feffe99c26306_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1628157248&auto=format&frame=1&q=92&s=043f7aaf22286e36cde9742aa14536b2","52437779","Gijs","https://www.kickstarter.com/profile/coldresistantforce","EUR","€","false","USD","1632237082","Pre supported 3D models (STL's) for 3D Printing. Miniatures for RPG, Wargames and Board Games.

tags: 32mm Resin printable 40k tabletop","false","1.05562511","2500","1080984005","false","1628349082","Sat, 07 Aug 2021 15:11:22 +0000","https://www.kickstarter.com/projects/coldresistantforce/cold-resistant-forces?ref=discovery_location_newest","727232","Amsterdam, Netherlands","Cold resistance Forces",,"5551","Sat, 07 Aug 2021 15:11:22 +0000","cold-resistant-forces","true","false","successful","1632237082","1.18228884","Cold resistance Forces","https://www.kickstarter.com/projects/coldresistantforce/cold-resistant-forces?ref=discovery_location_newest","1.17319943","6562.88535084","international"
"107","Ice Floes & Foes is a game for 2-6 players of age 6+. Push the hunters and fishing boats off the board, but not the animals!","34","Tabletop Games","games/tabletop games","7336","NL","the Netherlands","1620652823","Mon, 10 May 2021 13:20:23 +0000","https://ksr-ugc.imgix.net/assets/008/113/138/ee8b6d6b957ac6fe24c1e65205c3174f_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1615200726&auto=format&frame=1&q=92&s=73361844e6a33a7764cfd338cbabbff8","186529911","Martin Looij","https://www.kickstarter.com/profile/martinlooij","EUR","€","false","USD","1627578000","Ice Floes & Foes is a game for 2-6 players of age 6+. Push the hunters and fishing boats off the board, but not the animals!","false","1.05562511","5000","1878012946","false","1625500800","Mon, 05 Jul 2021 16:00:00 +0000","https://www.kickstarter.com/projects/martinlooij/ice-floes-and-foes?ref=discovery_location_newest","729963","Hellevoetsluis, Netherlands","Ice Floes & Foes",,"6189","Mon, 05 Jul 2021 16:00:00 +0000","ice-floes-and-foes","true","false","successful","1627578000","1.18648452","Ice Floes & Foes","https://www.kickstarter.com/projects/martinlooij/ice-floes-and-foes?ref=discovery_location_newest","1.18540997","7343.15269428","international"
