"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"746","3D printable 28mm - 32mm STL scifi terrain for tabletop games, wargames, RPGs and board games","34","Tabletop Games","games/tabletop games","54486","IE","Ireland","1642593456","Wed, 19 Jan 2022 11:57:36 +0000","https://ksr-ugc.imgix.net/assets/025/649/801/a9be04363d676e0e4ec58aeaeb25ba82_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1561807253&auto=format&frame=1&q=92&s=ce18171bb9e855f0f3831eee8d71de5b","1656945424","Corvus Games Terrain","https://www.kickstarter.com/profile/corvusgamesterrain","EUR","€","false","USD","1651748681","3D printable 28mm - 32mm STL scifi terrain for tabletop games, wargames, RPGs and board games","false","1.05562511","1000","1169340056","false","1649156681","Tue, 05 Apr 2022 11:04:41 +0000","https://www.kickstarter.com/projects/corvusgamesterrain/tycho-starport?ref=discovery_location_newest","562477","Waterford, Ireland","Tycho Starport: 3D Printable Sci-fi Terrain STLs",,"51316","Tue, 05 Apr 2022 11:04:41 +0000","tycho-starport","true","false","successful","1651748681","1.10484053","Tycho Starport: 3D Printable Sci-fi Terrain STLs","https://www.kickstarter.com/projects/corvusgamesterrain/tycho-starport?ref=discovery_location_newest","1.06177514","56695.99663748","domestic"
"518","Cool Dice Towers, Classy Coasters and Dice Cases for your DnD and miniature Board game sessions, all in one big 3D print .stl pack!","34","Tabletop Games","games/tabletop games","56923","IE","Ireland","1633550282","Wed, 06 Oct 2021 19:58:02 +0000","https://ksr-ugc.imgix.net/assets/030/614/029/4929e02e39e0db4993a4f714ca1306b5_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600786570&auto=format&frame=1&q=92&s=5d5a74b001ea003720a574d851c14c35","1576476836","Black Blossom Games","https://www.kickstarter.com/profile/black-blossom-games","EUR","€","false","USD","1638042291","Cool Dice Towers, Classy Coasters and Dice Cases for your DnD and miniature Board game sessions, all in one big 3D print .stl pack!","false","1.05562511","3000","1638919274","false","1635187491","Mon, 25 Oct 2021 18:44:51 +0000","https://www.kickstarter.com/projects/black-blossom-games/possibly-cool-dice-towers-ii?ref=discovery_location_newest","560743","Dublin, Ireland","Possibly Cool Dice Towers II",,"50286","Mon, 25 Oct 2021 18:44:51 +0000","possibly-cool-dice-towers-ii","true","false","successful","1638042291","1.16419992","Possibly Cool Dice Towers II","https://www.kickstarter.com/projects/black-blossom-games/possibly-cool-dice-towers-ii?ref=discovery_location_newest","1.13200029","58542.95717712","domestic"
"194","Build your way towards the best factory in town.  A Tetris style tile laying and worker placement game for 1 - 4 players.","34","Tabletop Games","games/tabletop games","7477","IE","Ireland","1604856773","Sun, 08 Nov 2020 17:32:53 +0000","https://ksr-ugc.imgix.net/assets/008/664/650/92e5755d6ba86a73fc8fe83caba38621_original.PNG?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1604596579&auto=format&frame=1&q=92&s=400e59f674fad9daabec06e1d2cc627b","587521106","Tommithy Hughes","https://www.kickstarter.com/profile/tommyhughes","EUR","€","false","USD","1615924800","Build your way towards the best factory in town.  A Tetris style tile laying and worker placement game for 1 - 4 players.","false","1.05562511","4064","846922577","false","1613480442","Tue, 16 Feb 2021 13:00:42 +0000","https://www.kickstarter.com/projects/tommyhughes/factory-floor?ref=discovery_location_newest","560743","Dublin, Ireland","Factory Floor",,"6266","Tue, 16 Feb 2021 13:00:42 +0000","factory-floor","true","false","successful","1615924800","1.21320501","Factory Floor","https://www.kickstarter.com/projects/tommyhughes/factory-floor?ref=discovery_location_newest","1.19338293","7601.94259266","domestic"
"370","Handcrafted, Sharp Edged Dice for RPG and D&D Board Games","34","Tabletop Games","games/tabletop games","23091","IE","Ireland","1610463397","Tue, 12 Jan 2021 14:56:37 +0000","https://ksr-ugc.imgix.net/assets/030/614/029/4929e02e39e0db4993a4f714ca1306b5_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600786570&auto=format&frame=1&q=92&s=5d5a74b001ea003720a574d851c14c35","1576476836","Black Blossom Games","https://www.kickstarter.com/profile/black-blossom-games","EUR","€","false","USD","1613907039","Handcrafted, Sharp Edged Dice for RPG and D&D Board Games","false","1.05562511","17000","739960588","false","1611055839","Tue, 19 Jan 2021 11:30:39 +0000","https://www.kickstarter.com/projects/black-blossom-games/majik-dice-the-jewels-of-arabia?ref=discovery_location_newest","560743","Dublin, Ireland","MAJIK DICE",,"19055","Tue, 19 Jan 2021 11:30:39 +0000","majik-dice-the-jewels-of-arabia","true","false","successful","1613907040","1.20701954","MAJIK DICE","https://www.kickstarter.com/projects/black-blossom-games/majik-dice-the-jewels-of-arabia?ref=discovery_location_newest","1.2118245","22999.7573347","domestic"
"379","Step onto the island of Luzon in this tabletop game for budding rail entrepreneurs.","34","Tabletop Games","games/tabletop games","10956","IE","Ireland","1593420210","Mon, 29 Jun 2020 08:43:30 +0000","https://ksr-ugc.imgix.net/assets/007/017/627/4d5091ad05c1346f56ab4233cb743fbc_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461428559&auto=format&frame=1&q=92&s=7150f144d5824091c2feb6d8b28960a3","2046854704","Robin David","https://www.kickstarter.com/profile/robindavid","EUR","€","false","USD","1599047171","Step onto the island of Luzon in this tabletop game for budding rail entrepreneurs.","false","1.05562511","1600","114796835","false","1597232771","Wed, 12 Aug 2020 11:46:11 +0000","https://www.kickstarter.com/projects/robindavid/luzon-rails?ref=discovery_location_newest","561232","Kildare, Ireland","Luzon Rails",,"9205","Wed, 12 Aug 2020 11:46:11 +0000","luzon-rails","true","false","successful","1599047171","1.17489071","Luzon Rails","https://www.kickstarter.com/projects/robindavid/luzon-rails?ref=discovery_location_newest","1.19032457","10814.86898555","domestic"
"10565","Divinity Original Sin the Board Game is a cooperative, storytelling adventure game set in the Chronicle System.","34","Tabletop Games","games/tabletop games","1845411","US","the United States","1565971135","Fri, 16 Aug 2019 15:58:55 +0000","https://ksr-ugc.imgix.net/assets/007/311/629/4d698ae66ff3cb2e844525d12718caf8_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461449473&auto=format&frame=1&q=92&s=f9ec063a3c0a659cd0a087e45e5d32af","150470843","Larian Studios LLC","https://www.kickstarter.com/profile/larianstudios","USD","$","true","USD","1576849033","Divinity Original Sin the Board Game is a cooperative, storytelling adventure game set in the Chronicle System.","false","1","160000","1965775883","false","1574257033","Wed, 20 Nov 2019 13:37:13 +0000","https://www.kickstarter.com/projects/larianstudios/divinity-original-sin-the-board-game?ref=discovery_location_newest","560743","Dublin, Ireland","Divinity Original Sin the Board Game",,"1845411.97","Wed, 20 Nov 2019 13:37:13 +0000","divinity-original-sin-the-board-game","true","true","successful","1576849033","1","Divinity Original Sin the Board Game","https://www.kickstarter.com/projects/larianstudios/divinity-original-sin-the-board-game?ref=discovery_location_newest","1","1845411.97","domestic"
"146","We are working to open Ireland's first late night board game café, and we want you to be part of it right from the start.","34","Tabletop Games","games/tabletop games","6541","IE","Ireland","1480932698","Mon, 05 Dec 2016 10:11:38 +0000","https://ksr-ugc.imgix.net/assets/013/836/195/7665fd0a0a99b44e2c6113488036e074_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1474572934&auto=format&frame=1&q=92&s=f441c1787c4ea6a3dcad928d44c9a7ac","959443804","tabletopCork","https://www.kickstarter.com/profile/959443804","EUR","€","false","USD","1483898237","We are working to open Ireland's first late night board game café, and we want you to be part of it right from the start.","false","1.05562511","5000","2015952833","false","1481306237","Fri, 09 Dec 2016 17:57:17 +0000","https://www.kickstarter.com/projects/959443804/tabletopcork-irelands-first-late-night-board-game?ref=discovery_location_newest","560472","Cork, Ireland","TabletopCork - Ireland's first late night board game café",,"6210","Fri, 09 Dec 2016 17:57:17 +0000","tabletopcork-irelands-first-late-night-board-game","true","true","successful","1483898237","1.07776041","TabletopCork - Ireland's first late night board game café","https://www.kickstarter.com/projects/959443804/tabletopcork-irelands-first-late-night-board-game?ref=discovery_location_newest","1.05340001","6692.8921461","domestic"
"341","Stitch together monstrous creations from whatever bits of classic horror and fantasy creatures your minions scrounge up!","34","Tabletop Games","games/tabletop games","20832","IE","Ireland","1467633891","Mon, 04 Jul 2016 12:04:51 +0000","https://ksr-ugc.imgix.net/assets/012/950/157/43a278da3e61fdfea2326ecc108ec010_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1468853453&auto=format&frame=1&q=92&s=c287f852771946a5e2ae45b7b88d508f","840343842","Turtle Dream Games, LTD","https://www.kickstarter.com/profile/turtledreamgames","EUR","€","false","USD","1472986744","Stitch together monstrous creations from whatever bits of classic horror and fantasy creatures your minions scrounge up!","false","1.05562511","8000","149238247","false","1470308344","Thu, 04 Aug 2016 10:59:04 +0000","https://www.kickstarter.com/projects/turtledreamgames/exquisite-beast?ref=discovery_location_newest","560743","Dublin, Ireland","Exquisite Beast - A Board Game of Monstrous Mad Science",,"18672","Thu, 04 Aug 2016 10:59:04 +0000","exquisite-beast","true","true","successful","1472986745","1.12120193","Exquisite Beast - A Board Game of Monstrous Mad Science","https://www.kickstarter.com/projects/turtledreamgames/exquisite-beast?ref=discovery_location_newest","1.11569787","20935.08243696","domestic"
"150","Strategy, fun, excitement, all of the ""beautiful game"" in a box!
Board gamers will love football, football fans will love board games!","34","Tabletop Games","games/tabletop games","28066","IE","Ireland","1430471505","Fri, 01 May 2015 09:11:45 +0000","https://ksr-ugc.imgix.net/assets/009/849/220/bc3f6a9b631a47068a08fcaed8b1fe76_original.PNG?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461638710&auto=format&frame=1&q=92&s=3431fb946ee76d74a85c3c0ef3f0cfa3","1366867488","Thinking of a Number","https://www.kickstarter.com/profile/thinkingofanumber","EUR","€","false","USD","1435896000","Strategy, fun, excitement, all of the ""beautiful game"" in a box!
Board gamers will love football, football fans will love board games!","false","1.05562511","25000","356063900","false","1433289584","Tue, 02 Jun 2015 23:59:44 +0000","https://www.kickstarter.com/projects/thinkingofanumber/masters-of-football?ref=discovery_location_newest","560743","Dublin, Ireland","Masters of Football",,"25371","Tue, 02 Jun 2015 23:59:44 +0000","masters-of-football","true","false","successful","1435896012","1.09491848","Masters of Football","https://www.kickstarter.com/projects/thinkingofanumber/masters-of-football?ref=discovery_location_newest","1.10623752","27779.17675608","domestic"
"3","Board Game","12","Games","games","306","IE","Ireland","1601661490","Fri, 02 Oct 2020 17:58:10 +0000","https://ksr-ugc.imgix.net/assets/030/973/234/76a73e4c715552f15f7738e37de656ac_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1602521480&auto=format&frame=1&q=92&s=8876088dea47d3e6edb3342c6d5f8815","964372738","Joseph Mifsud","https://www.kickstarter.com/profile/964372738","EUR","€","false","USD","1610221006","Board Game","false","1.05562511","34500","1956253080","false","1605037006","Tue, 10 Nov 2020 19:36:46 +0000","https://www.kickstarter.com/projects/964372738/starship-smashers?ref=discovery_location_newest","562488","Wexford, Ireland","Starship Smashers",,"251","Tue, 10 Nov 2020 19:36:46 +0000","starship-smashers","false","false","failed","1610221007","1.18869598","Starship Smashers","https://www.kickstarter.com/projects/964372738/starship-smashers?ref=discovery_location_newest","1.22249987","298.36269098","domestic"
