"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"19889","1-4 player co-op action cavecrawler based on the popular video game Deep Rock Galactic.","34","Tabletop Games","games/tabletop games","2788266","DK","Denmark","1623324191","Thu, 10 Jun 2021 11:23:11 +0000","https://ksr-ugc.imgix.net/assets/009/219/353/c34aa593e930a70c234f3b4602a33aeb_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1537876352&auto=format&frame=1&q=92&s=3e24cf74fe5ccd29f3700150e6492899","120302834","MOOD","https://www.kickstarter.com/profile/120302834","EUR","€","false","USD","1646330400","1-4 player co-op action cavecrawler based on the popular video game Deep Rock Galactic.","false","1.05562511","200000","1117825969","false","1644516001","Thu, 10 Feb 2022 18:00:01 +0000","https://www.kickstarter.com/projects/120302834/deep-rock-galactic-the-board-game?ref=discovery_location_newest","554890","Copenhagen, Denmark","DEEP ROCK GALACTIC - THE BOARD GAME",,"2512409.62","Thu, 10 Feb 2022 18:00:01 +0000","deep-rock-galactic-the-board-game","true","true","successful","1646330403","1.14269521","DEEP ROCK GALACTIC - THE BOARD GAME","https://www.kickstarter.com/projects/120302834/deep-rock-galactic-the-board-game?ref=discovery_location_newest","1.10979785","2870918.4383319202","domestic"
"2176","From the publisher of Eclipse, a fully co-operative board game with challenging moral choices, set in an epic campaign for 1-4 players!","34","Tabletop Games","games/tabletop games","282261","DK","Denmark","1598966144","Tue, 01 Sep 2020 13:15:44 +0000","https://ksr-ugc.imgix.net/assets/030/430/564/b2cc96a176b2fb390de0685faa5c0681_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1605165596&auto=format&frame=1&q=92&s=ff1fe85a2861489fb9e2f85fd88d26d2","21800652","Lautapelit.fi","https://www.kickstarter.com/profile/lautapelitfi","EUR","€","false","USD","1632837644","From the publisher of Eclipse, a fully co-operative board game with challenging moral choices, set in an epic campaign for 1-4 players!","false","1.05562511","100000","618562862","false","1631023244","Tue, 07 Sep 2021 14:00:44 +0000","https://www.kickstarter.com/projects/lautapelitfi/agemonia?ref=discovery_location_newest","554890","Copenhagen, Denmark","Agemonia",,"241383","Tue, 07 Sep 2021 14:00:44 +0000","agemonia","true","false","successful","1632837644","1.18680134","Agemonia","https://www.kickstarter.com/projects/lautapelitfi/agemonia?ref=discovery_location_newest","1.16934993","286473.66785322","domestic"
"114","An economic board game from Denmark, where players find the right work-life balance to become the happiest.","34","Tabletop Games","games/tabletop games","7287","DK","Denmark","1607260072","Sun, 06 Dec 2020 13:07:52 +0000","https://ksr-ugc.imgix.net/assets/030/651/759/4600d89b2dccf235c65a4adaedf051f3_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600422603&auto=format&frame=1&q=92&s=6df0ba7446b49bd85b37a9f1a39ae9bc","1240187691","Daniel Grest","https://www.kickstarter.com/profile/happy-nation","EUR","€","false","USD","1610913600","An economic board game from Denmark, where players find the right work-life balance to become the happiest.","false","1.05562511","5000","2036215380","false","1607610842","Thu, 10 Dec 2020 14:34:02 +0000","https://www.kickstarter.com/projects/happy-nation/happy-nation-0?ref=discovery_location_newest","554890","Copenhagen, Denmark","Happy Nation",,"6033","Thu, 10 Dec 2020 14:34:02 +0000","happy-nation-0","true","true","successful","1610913600","1.21287981","Happy Nation","https://www.kickstarter.com/projects/happy-nation/happy-nation-0?ref=discovery_location_newest","1.20794976","7317.30389373","domestic"
"264","A board game where 2-4 players gather a party of heroes, collect gold and XP on their journey towards an X on a legendary treasure map.","34","Tabletop Games","games/tabletop games","28795","DK","Denmark","1594023556","Mon, 06 Jul 2020 08:19:16 +0000","https://ksr-ugc.imgix.net/assets/007/260/969/c522b595e932d913b7b9724cb0fd6fa6_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1550288679&auto=format&frame=1&q=92&s=cb5ebb41d4d84d0f98182554b220e584","1862188728","Mikkel Mainz","https://www.kickstarter.com/profile/alethrionboardgame","DKK","kr","true","USD","1608073140","A board game where 2-4 players gather a party of heroes, collect gold and XP on their journey towards an X on a legendary treasure map.","false","0.14185075","80000","440860798","false","1605380447","Sat, 14 Nov 2020 19:00:47 +0000","https://www.kickstarter.com/projects/alethrionboardgame/tales-of-alethrion-an-adventure-board-game?ref=discovery_location_newest","554890","Copenhagen, Denmark","Tales of Alethrion - An Adventure Board Game !",,"176429.57","Sat, 14 Nov 2020 19:00:47 +0000","tales-of-alethrion-an-adventure-board-game","true","false","successful","1608073140","0.15852378","Tales of Alethrion - An Adventure Board Game !","https://www.kickstarter.com/projects/alethrionboardgame/tales-of-alethrion-an-adventure-board-game?ref=discovery_location_newest","0.16321151","27968.2823401746","domestic"
"30","A board game about tactics, memory & deceit","34","Tabletop Games","games/tabletop games","1899","DK","Denmark","1595879505","Mon, 27 Jul 2020 19:51:45 +0000","https://ksr-ugc.imgix.net/assets/029/964/541/cf034526405ca8bc55652cdabcec3343_original.PNG?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1595855669&auto=format&frame=1&q=92&s=26ffd991cc0e848f80e0bc7173022e3d","382937783","Xotjil","https://www.kickstarter.com/profile/xotjil","EUR","€","false","USD","1600955916","A board game about tactics, memory & deceit","false","1.05562511","1400","18969909","false","1598363916","Tue, 25 Aug 2020 13:58:36 +0000","https://www.kickstarter.com/projects/xotjil/remember-3?ref=discovery_location_newest","554890","Copenhagen, Denmark","Remember 3",,"1630","Tue, 25 Aug 2020 13:58:36 +0000","remember-3","true","false","successful","1600955916","1.17878934","Remember 3","https://www.kickstarter.com/projects/xotjil/remember-3?ref=discovery_location_newest","1.16560985","1921.4266242","domestic"
"841","Epic narrative adventure board game for 1-4 players. Explore the map, find weapons, slay monsters and save the day!","34","Tabletop Games","games/tabletop games","57215","DK","Denmark","1591530835","Sun, 07 Jun 2020 11:53:55 +0000","https://ksr-ugc.imgix.net/assets/028/912/537/4c9daa26ea586ab091155064fe9f160e_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1611510395&auto=format&frame=1&q=92&s=636e18904adbcafdd137f3502f380063","1542243433","Anecdote Games","https://www.kickstarter.com/profile/anecdote-games","DKK","kr","true","USD","1595529714","Epic narrative adventure board game for 1-4 players. Explore the map, find weapons, slay monsters and save the day!","false","0.14185075","10000","1280175848","false","1592937714","Tue, 23 Jun 2020 18:41:54 +0000","https://www.kickstarter.com/projects/anecdote-games/unlikely-heroes-vikings-cowboys-and-pharaohs?ref=discovery_location_newest","554890","Copenhagen, Denmark","Unlikely Heroes: Vikings, Cowboys & Pharaohs",,"367793.78","Tue, 23 Jun 2020 18:41:54 +0000","unlikely-heroes-vikings-cowboys-and-pharaohs","true","false","successful","1595529714","0.15010787","Unlikely Heroes: Vikings, Cowboys & Pharaohs","https://www.kickstarter.com/projects/anecdote-games/unlikely-heroes-vikings-cowboys-and-pharaohs?ref=discovery_location_newest","0.15556285","55208.7409150486","domestic"
"187","A Fun and Quick Board Game with Gnomes, Elves and Trolls in the Garden of Magic","34","Tabletop Games","games/tabletop games","11773","DK","Denmark","1588626277","Mon, 04 May 2020 21:04:37 +0000","https://ksr-ugc.imgix.net/assets/029/019/964/ae52df8b6a73ff898bb98bb873dec82a_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1589018072&auto=format&frame=1&q=92&s=3860b617b45eeb0e61a0ffa4920f1c22","1792893502","Not The Box","https://www.kickstarter.com/profile/notthebox","DKK","kr","true","USD","1592646303","A Fun and Quick Board Game with Gnomes, Elves and Trolls in the Garden of Magic","false","0.14185075","65000","1869090445","false","1590054303","Thu, 21 May 2020 09:45:03 +0000","https://www.kickstarter.com/projects/notthebox/gnome-elf-troll?ref=discovery_location_newest","554890","Copenhagen, Denmark","Gnome Elf Troll",,"78539.17","Thu, 21 May 2020 09:45:03 +0000","gnome-elf-troll","true","false","successful","1592646303","0.14675392","Gnome Elf Troll","https://www.kickstarter.com/projects/notthebox/gnome-elf-troll?ref=discovery_location_newest","0.14990256","11525.9310710464","domestic"
"217","An easy to learn, fast to play, family card game with 10 game modes – 4 competitive, team, player elimination, 3 cooperative and solo.","34","Tabletop Games","games/tabletop games","6750","DK","Denmark","1576012920","Tue, 10 Dec 2019 21:22:00 +0000","https://ksr-ugc.imgix.net/assets/018/853/619/01cab6ade797798fb6c50b998b882cda_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1509561914&auto=format&frame=1&q=92&s=05976c3a370da63935d1942bdb6b27ce","446077073","Board Games Yunak","https://www.kickstarter.com/profile/446077073","DKK","kr","true","USD","1578686700","An easy to learn, fast to play, family card game with 10 game modes – 4 competitive, team, player elimination, 3 cooperative and solo.","false","0.14185075","5000","1555722001","false","1577707589","Mon, 30 Dec 2019 12:06:29 +0000","https://www.kickstarter.com/projects/446077073/master-sweets-te?ref=discovery_location_newest","554890","Copenhagen, Denmark","Master Sweets TE",,"45416.17","Mon, 30 Dec 2019 12:06:29 +0000","master-sweets-te","true","false","successful","1578686700","0.14967114","Master Sweets TE","https://www.kickstarter.com/projects/446077073/master-sweets-te?ref=discovery_location_newest","0.14863362","6797.4899383338","domestic"
"1452","The Epic 2D Fantasy Webseries on YouTube is Back!","29","Animation","film & video/animation","86480","DK","Denmark","1553519174","Mon, 25 Mar 2019 13:06:14 +0000","https://ksr-ugc.imgix.net/assets/007/260/969/c522b595e932d913b7b9724cb0fd6fa6_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1550288679&auto=format&frame=1&q=92&s=cb5ebb41d4d84d0f98182554b220e584","1862188728","Mikkel Mainz","https://www.kickstarter.com/profile/alethrionboardgame","DKK","kr","true","USD","1559943000","The Epic 2D Fantasy Webseries on YouTube is Back!","false","0.14185075","500000","1976421152","false","1557243595","Tue, 07 May 2019 15:39:55 +0000","https://www.kickstarter.com/projects/alethrionboardgame/tales-of-alethrion-season-two?ref=discovery_location_newest","554890","Copenhagen, Denmark","Tales of Alethrion - Season Two!",,"573175.51","Tue, 07 May 2019 15:39:55 +0000","tales-of-alethrion-season-two","true","true","successful","1559943000","0.14993293","Tales of Alethrion - Season Two!","https://www.kickstarter.com/projects/alethrionboardgame/tales-of-alethrion-season-two?ref=discovery_location_newest","0.15087999","85937.8836185443","domestic"
"3625","Romantic comedy with a twist. A 2-player game. Can you make the relationship work or do you break up? Strategic. Intuitive. Surprising.","34","Tabletop Games","games/tabletop games","162908","US","the United States","1443617921","Wed, 30 Sep 2015 12:58:41 +0000","https://ksr-ugc.imgix.net/assets/010/391/859/ab58d4562156dcbaaae963616544c50c_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461686605&auto=format&frame=1&q=92&s=9bed5a602a62781e2157abe979272f78","1345275374","Hush Hush Projects","https://www.kickstarter.com/profile/1345275374","USD","$","true","USD","1459717200","Romantic comedy with a twist. A 2-player game. Can you make the relationship work or do you break up? Strategic. Intuitive. Surprising.","false","1","25000","1170427434","false","1455456898","Sun, 14 Feb 2016 13:34:58 +0000","https://www.kickstarter.com/projects/1345275374/fog-of-love-romantic-comedy-as-a-board-game?ref=discovery_location_newest","554890","Copenhagen, Denmark","Fog of Love - romantic comedy as a board game",,"162908.52","Sun, 14 Feb 2016 13:34:58 +0000","fog-of-love-romantic-comedy-as-a-board-game","true","true","successful","1459717200","1","Fog of Love - romantic comedy as a board game","https://www.kickstarter.com/projects/1345275374/fog-of-love-romantic-comedy-as-a-board-game?ref=discovery_location_newest","1","162908.52","domestic"
