"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"57","A series of 3D printable blocks to assemble customized spaceships for board games or roleplaying games.","34","Tabletop Games","games/tabletop games","1350","NO","Norway","1620142501","Tue, 04 May 2021 15:35:01 +0000","https://ksr-ugc.imgix.net/assets/033/384/517/afef0d7897ced587ef614d49304fe078_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1620236673&auto=format&frame=1&q=92&s=a45c081acf9dd36285835e4821180695","44653261","Apastron Gaming","https://www.kickstarter.com/profile/44653261","NOK","kr","true","USD","1622556723","A series of 3D printable blocks to assemble customized spaceships for board games or roleplaying games.","false","0.10146301","2000","1338710124","false","1620742323","Tue, 11 May 2021 14:12:03 +0000","https://www.kickstarter.com/projects/44653261/3d-printable-modular-spaceships?ref=discovery_location_newest","857105","Bergen, Norway","3D printable modular spaceships",,"11195","Tue, 11 May 2021 14:12:03 +0000","3d-printable-modular-spaceships","true","false","successful","1622556723","0.12177079","3D printable modular spaceships","https://www.kickstarter.com/projects/44653261/3d-printable-modular-spaceships?ref=discovery_location_newest","0.12065979","1363.22399405","international"
"1262","Two brand new expansions for TOKYO TSUKIJI MARKET & TOKYO METRO!","34","Tabletop Games","games/tabletop games","99265","US","the United States","1591308701","Thu, 04 Jun 2020 22:11:41 +0000","https://ksr-ugc.imgix.net/assets/007/223/221/c3510506512a2d3a3d1a7aa285c46241_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1562614951&auto=format&frame=1&q=92&s=4508943fae76ecc6ba00dc4937d0c28b","946325720","Jordan Draper","https://www.kickstarter.com/profile/jordandraper","USD","$","true","USD","1596027543","Two brand new expansions for TOKYO TSUKIJI MARKET & TOKYO METRO!","false","1","15000","512103872","false","1594126743","Tue, 07 Jul 2020 12:59:03 +0000","https://www.kickstarter.com/projects/jordandraper/tokyo-series-expansions?ref=discovery_location_newest","862592","Oslo, Norway","TOKYO SERIES: Expansions!",,"99265","Tue, 07 Jul 2020 12:59:03 +0000","tokyo-series-expansions","true","false","successful","1596027543","1","TOKYO SERIES: Expansions!","https://www.kickstarter.com/projects/jordandraper/tokyo-series-expansions?ref=discovery_location_newest","1","99265.0","international"
"807","An action-packed 2–6 player strategy game for friends, families and other great rivals.","34","Tabletop Games","games/tabletop games","67142","NO","Norway","1559765508","Wed, 05 Jun 2019 20:11:48 +0000","https://ksr-ugc.imgix.net/assets/025/390/390/672b36fa141d1af59957a0dd926f8eb0_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1641755194&auto=format&frame=1&q=92&s=34b865cd0a66930a8f00ec724e206225","1690824331","SUPERCLUB","https://www.kickstarter.com/profile/superclub","NOK","kr","true","USD","1575154740","An action-packed 2–6 player strategy game for friends, families and other great rivals.","false","0.10146301","150000","385566313","false","1572602357","Fri, 01 Nov 2019 09:59:17 +0000","https://www.kickstarter.com/projects/superclub/superclub-the-football-manager-board-game?ref=discovery_location_newest","859485","Haugesund, Norway","Superclub: The Football Manager Board Game",,"619013.43","Fri, 01 Nov 2019 09:59:17 +0000","superclub-the-football-manager-board-game","true","false","successful","1575154740","0.10913236","Superclub: The Football Manager Board Game","https://www.kickstarter.com/projects/superclub/superclub-the-football-manager-board-game?ref=discovery_location_newest","0.10846752","67554.3964875948","international"
"208","Experience Lean Startup with a board game","34","Tabletop Games","games/tabletop games","62835","NO","Norway","1519674519","Mon, 26 Feb 2018 19:48:39 +0000","https://ksr-ugc.imgix.net/assets/009/280/431/a886f2ba083d326d3d57019065fe0151_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461572299&auto=format&frame=1&q=92&s=1b92f5aa5fbc20e716df527a5038542d","44846941","Simen Fure Jørgensen","https://www.kickstarter.com/profile/simenfur","NOK","kr","true","USD","1523001197","Experience Lean Startup with a board game","false","0.10146301","105000","1928828630","false","1520412797","Wed, 07 Mar 2018 08:53:17 +0000","https://www.kickstarter.com/projects/simenfur/playing-lean-2-the-next-release?ref=discovery_location_newest","862592","Oslo, Norway","Playing Lean 2: The Next Release",,"492900","Wed, 07 Mar 2018 08:53:17 +0000","playing-lean-2-the-next-release","true","false","successful","1523001199","0.12804919","Playing Lean 2: The Next Release","https://www.kickstarter.com/projects/simenfur/playing-lean-2-the-next-release?ref=discovery_location_newest","0.12748157","63115.445751","international"
"192","The Green Box is like a deck of cards for board games: A standard set of components you can use to play many different games.","34","Tabletop Games","games/tabletop games","6582","NO","Norway","1495098741","Thu, 18 May 2017 09:12:21 +0000","https://ksr-ugc.imgix.net/assets/017/062/438/4cc630e4f66f0a1b5ded7306944788ec_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1497258319&auto=format&frame=1&q=92&s=38c86d7a6094778a0538eaace291fafe","787460250","Jørgen Brunborg-Næss","https://www.kickstarter.com/profile/787460250","NOK","kr","true","USD","1499983140","The Green Box is like a deck of cards for board games: A standard set of components you can use to play many different games.","false","0.10146301","10000","1678349735","false","1497861050","Mon, 19 Jun 2017 08:30:50 +0000","https://www.kickstarter.com/projects/787460250/green-box-of-games-game-system-in-a-box?ref=discovery_location_newest","865686","Vestby, Norway","Green Box of Games - Game system in-a-box",,"54422","Mon, 19 Jun 2017 08:30:50 +0000","green-box-of-games-game-system-in-a-box","true","false","successful","1499983140","0.11823965","Green Box of Games - Game system in-a-box","https://www.kickstarter.com/projects/787460250/green-box-of-games-game-system-in-a-box?ref=discovery_location_newest","0.12095043","6434.8382323","international"
"317","Kill the king is a strategic board game where two armies fight each other on the battlefield and on the castle walls.","34","Tabletop Games","games/tabletop games","11354","NO","Norway","1460148199","Fri, 08 Apr 2016 20:43:19 +0000","https://ksr-ugc.imgix.net/assets/010/834/725/63daa260105e9704471648fefaa54a41_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1655497316&auto=format&frame=1&q=92&s=b3768c5b4bd923f88f44e768cc6c70dc","332396604","Petter Schanke Olsen","https://www.kickstarter.com/profile/tompet","NOK","kr","true","USD","1475787600","Kill the king is a strategic board game where two armies fight each other on the battlefield and on the castle walls.","false","0.10146301","30000","712004098","false","1473177247","Tue, 06 Sep 2016 15:54:07 +0000","https://www.kickstarter.com/projects/tompet/kill-the-king?ref=discovery_location_newest","865157","Trondheim, Norway","Kill the King",,"91135","Tue, 06 Sep 2016 15:54:07 +0000","kill-the-king","true","true","successful","1475787601","0.12039097","Kill the King","https://www.kickstarter.com/projects/tompet/kill-the-king?ref=discovery_location_newest","0.12459193","10971.83105095","international"
"357","Playing Lean is the board game that teaches Lean Startup in a fun and engaging way - and in only 90 minutes.","34","Tabletop Games","games/tabletop games","49221","NO","Norway","1430335889","Wed, 29 Apr 2015 19:31:29 +0000","https://ksr-ugc.imgix.net/assets/009/280/431/a886f2ba083d326d3d57019065fe0151_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461572299&auto=format&frame=1&q=92&s=1b92f5aa5fbc20e716df527a5038542d","44846941","Simen Fure Jørgensen","https://www.kickstarter.com/profile/simenfur","NOK","kr","true","USD","1433314889","Playing Lean is the board game that teaches Lean Startup in a fun and engaging way - and in only 90 minutes.","false","0.10146301","75000","905332510","false","1430722889","Mon, 04 May 2015 07:01:29 +0000","https://www.kickstarter.com/projects/simenfur/playing-lean-relaunch-play-leaner?ref=discovery_location_newest","862592","Oslo, Norway","Playing Lean relaunch: Play Leaner",,"385711.24","Mon, 04 May 2015 07:01:29 +0000","playing-lean-relaunch-play-leaner","true","false","successful","1433314890","0.13154085","Playing Lean relaunch: Play Leaner","https://www.kickstarter.com/projects/simenfur/playing-lean-relaunch-play-leaner?ref=discovery_location_newest","0.12761113","50736.784364154","international"
"201","What type of car do YOU want to design? Build your own factory in this unique & elegant board game.","34","Tabletop Games","games/tabletop games","12179","NO","Norway","1427200012","Tue, 24 Mar 2015 12:26:52 +0000","https://ksr-ugc.imgix.net/assets/006/473/176/a9bf3afbbbd9f27aa485a96e8e86600c_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1539331004&auto=format&frame=1&q=92&s=7e7c3f7d05ff5cf52dc97e0e21e22436","331541893","Kristian Amundsen Østby","https://www.kickstarter.com/profile/331541893","NOK","kr","true","USD","1433627940","What type of car do YOU want to design? Build your own factory in this unique & elegant board game.","false","0.10146301","70000","2095802871","false","1430382733","Thu, 30 Apr 2015 08:32:13 +0000","https://www.kickstarter.com/projects/331541893/automania-board-game?ref=discovery_location_newest","862592","Oslo, Norway","Automania - Board game",,"96600","Thu, 30 Apr 2015 08:32:13 +0000","automania-board-game","true","false","successful","1433627941","0.13059966","Automania - Board game","https://www.kickstarter.com/projects/331541893/automania-board-game?ref=discovery_location_newest","0.12607668","12615.927156","international"
"182","A board game about escaping a dangerous house filled with monsters.","34","Tabletop Games","games/tabletop games","8584","NO","Norway","1571485806","Sat, 19 Oct 2019 11:50:06 +0000","https://ksr-ugc.imgix.net/assets/020/246/864/14246c87e1b7da761a313bf236fc6081_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1571485016&auto=format&frame=1&q=92&s=6509aeab3efe59865abc0d303dc0845f","554457867","Bad Goblin Entertainment","https://www.kickstarter.com/profile/554457867","NOK","kr","true","USD","1574169991","A board game about escaping a dangerous house filled with monsters.","false","0.10146301","210000","1715684072","false","1572351991","Tue, 29 Oct 2019 12:26:31 +0000","https://www.kickstarter.com/projects/554457867/the-murder-house?ref=discovery_location_newest","862592","Oslo, Norway","THE MURDER HOUSE",,"78261","Tue, 29 Oct 2019 12:26:31 +0000","the-murder-house","false","false","failed","1574169991","0.10876542","THE MURDER HOUSE","https://www.kickstarter.com/projects/554457867/the-murder-house?ref=discovery_location_newest","0.10968923","8512.09053462","international"
"6","City Maze - London is a family board game for all ages and from two players. It will be more fun the more players are involved.","34","Tabletop Games","games/tabletop games","95","NO","Norway","1569491395","Thu, 26 Sep 2019 09:49:55 +0000","https://ksr-ugc.imgix.net/assets/026/658/098/041cdf8343733ccf1353f3e4a78a2141_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1569828268&auto=format&frame=1&q=92&s=ff6c9d630c3bd430a46b2a54a6f09a20","956129070","Finn Valgermo","https://www.kickstarter.com/profile/fortellerforlaget","NOK","kr","true","USD","1573120941","City Maze - London is a family board game for all ages and from two players. It will be more fun the more players are involved.","false","0.10146301","100000","1430182920","false","1570525341","Tue, 08 Oct 2019 09:02:21 +0000","https://www.kickstarter.com/projects/fortellerforlaget/city-maze-london?ref=discovery_location_newest","862592","Oslo, Norway","City Maze - London",,"881","Tue, 08 Oct 2019 09:02:21 +0000","city-maze-london","false","false","failed","1573120944","0.10998731","City Maze - London","https://www.kickstarter.com/projects/fortellerforlaget/city-maze-london?ref=discovery_location_newest","0.10889687","96.89882011","international"
