"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"246","Three games from the designer of Sushi Go!","34","Tabletop Games","games/tabletop games","19348","AU","Australia","1652063068","Mon, 09 May 2022 02:24:28 +0000","https://ksr-ugc.imgix.net/assets/037/239/487/6f6a99c49bbfa2f790b820c0020d3966_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1655274994&auto=format&frame=1&q=92&s=4c399413f23d52c1e5a555c812bbc829","581620656","Joey Games","https://www.kickstarter.com/profile/joeygamesau","AUD","$","true","USD","1657674006","Three games from the designer of Sushi Go!","false","0.69194096","50000","594919529","true","1655946006","Thu, 23 Jun 2022 01:00:06 +0000","https://www.kickstarter.com/projects/joeygamesau/joey-games-a-new-australian-board-game-publisher?ref=discovery_location_newest","1105779","Sydney, AU","Joey Games - A new Australian board game publisher",,"27962.32","Thu, 23 Jun 2022 01:00:06 +0000","joey-games-a-new-australian-board-game-publisher","false","true","live","1655946012","0.69248673","Joey Games - A new Australian board game publisher","https://www.kickstarter.com/projects/joeygamesau/joey-games-a-new-australian-board-game-publisher?ref=discovery_location_newest","0.69194096","19363.5355400136","domestic"
"3","2-8 players draft a hero to fight free for all or in teams to dominate the Battle Arena for RPG Champion Supremecy. 45 -120 minute","34","Tabletop Games","games/tabletop games","209","AU","Australia","1655442502","Fri, 17 Jun 2022 05:08:22 +0000","https://ksr-ugc.imgix.net/assets/037/678/074/8636b8ad398b972819b5367f2d76c6c4_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1655472100&auto=format&frame=1&q=92&s=5d8bcb5b66f41333736203d4540addd5","1800835387","Justin Emerson Fisher","https://www.kickstarter.com/profile/wobbzilla","AUD","$","true","USD","1658371361","2-8 players draft a hero to fight free for all or in teams to dominate the Battle Arena for RPG Champion Supremecy. 45 -120 minute","false","0.69194096","50000","561965460","true","1655779361","Tue, 21 Jun 2022 02:42:41 +0000","https://www.kickstarter.com/projects/wobbzilla/fantasy-rumbletm-a-true-arena-pvp-and-moba-board-game?ref=discovery_location_newest","1098081","Perth, AU","Fantasy Rumble™ ""A true Arena, PvP, TCG Board Game.""",,"302.32","Tue, 21 Jun 2022 02:42:41 +0000","fantasy-rumbletm-a-true-arena-pvp-and-moba-board-game","false","false","live","1655779364","0.69310012","Fantasy Rumble™ ""A true Arena, PvP, TCG Board Game.""","https://www.kickstarter.com/projects/wobbzilla/fantasy-rumbletm-a-true-arena-pvp-and-moba-board-game?ref=discovery_location_newest","0.69194096","209.5380282784","domestic"
"1","Hahoe mask character exhibition. Look forward to the characters that will be reborn as card board game. It's up to you to win or lose.","34","Tabletop Games","games/tabletop games","0","AU","Australia","1631718772","Wed, 15 Sep 2021 15:12:52 +0000","https://ksr-ugc.imgix.net/assets/034/713/250/b88626ece09bef380b25e7fb68c2838a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1654775565&auto=format&frame=1&q=92&s=38047bc6f6456aec8a07db853dc295c8","1514922064","CULTURE PROJECT MIN SOOK","https://www.kickstarter.com/profile/minsook","AUD","$","true","USD","1657641540","Hahoe mask character exhibition. Look forward to the characters that will be reborn as card board game. It's up to you to win or lose.","false","0.69194096","3000","1845347654","true","1655134059","Mon, 13 Jun 2022 15:27:39 +0000","https://www.kickstarter.com/projects/minsook/at-first-glance-ugly-masked-character-right?ref=discovery_location_newest","1100968","Canberra, AU","AT FIRST GLANCE, UGLY MASKED CHARACTER, RIGHT?",,"1.32","Mon, 13 Jun 2022 15:27:39 +0000","at-first-glance-ugly-masked-character-right","false","false","live","1655134061","0.70519972","AT FIRST GLANCE, UGLY MASKED CHARACTER, RIGHT?","https://www.kickstarter.com/projects/minsook/at-first-glance-ugly-masked-character-right?ref=discovery_location_newest","0.69194096","0.9308636304","domestic"
"1090","A competitive 1 to 5 player game set in a cyberpunk fortress ruled by three-dimensional floating cities.","34","Tabletop Games","games/tabletop games","77617","AU","Australia","1636086878","Fri, 05 Nov 2021 04:34:38 +0000","https://ksr-ugc.imgix.net/assets/026/874/161/0f08a988131aa4e2d233d4bf37cf61e0_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1650446781&auto=format&frame=1&q=92&s=cc03b3c484b0e9471d3a13c9d1147b06","533709781","Sean Lee","https://www.kickstarter.com/profile/cytress","AUD","$","true","USD","1653433200","A competitive 1 to 5 player game set in a cyberpunk fortress ruled by three-dimensional floating cities.","false","0.69194096","16000","1976508900","false","1650988811","Tue, 26 Apr 2022 16:00:11 +0000","https://www.kickstarter.com/projects/cytress/cytress-an-emersive-cyberpunk-world?ref=discovery_location_newest","1103816","Melbourne, AU","Cytress - An Immersive Cyberpunk Game",,"109505.98","Tue, 26 Apr 2022 16:00:11 +0000","cytress-an-emersive-cyberpunk-world","true","true","successful","1653433200","0.71859007","Cytress - An Immersive Cyberpunk Game","https://www.kickstarter.com/projects/cytress/cytress-an-emersive-cyberpunk-world?ref=discovery_location_newest","0.70879257","78689.9098336186","domestic"
"1179","Can you work together with your tribe to keep the fire alive? For 1-4 Players. 🪓Hunt. 🌾Gather. ⚒️Craft. 🦴Hit Thing With Bone.","34","Tabletop Games","games/tabletop games","53572","AU","Australia","1642575065","Wed, 19 Jan 2022 06:51:05 +0000","https://ksr-ugc.imgix.net/assets/009/001/839/ed0af8e0e6e9d44a9b8f19828b4a6dd8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1653520456&auto=format&frame=1&q=92&s=5360e1ba9a81bfd7820b01bcc3ff7274","709546261","Sam Milham","https://www.kickstarter.com/profile/samuelmilham","AUD","$","true","USD","1651669200","Can you work together with your tribe to keep the fire alive? For 1-4 Players. 🪓Hunt. 🌾Gather. ⚒️Craft. 🦴Hit Thing With Bone.","false","0.69194096","8000","1782117692","false","1649768400","Tue, 12 Apr 2022 13:00:00 +0000","https://www.kickstarter.com/projects/samuelmilham/dont-let-it-die-a-co-op-asymmetric-survival-board-game?ref=discovery_location_newest","1100661","Brisbane, AU","Don't Let It Die 🔥 A Co-Op Asymmetric Survival Board Game",,"75332.82","Tue, 12 Apr 2022 13:00:00 +0000","dont-let-it-die-a-co-op-asymmetric-survival-board-game","true","false","successful","1651669200","0.74365974","Don't Let It Die 🔥 A Co-Op Asymmetric Survival Board Game","https://www.kickstarter.com/projects/samuelmilham/dont-let-it-die-a-co-op-asymmetric-survival-board-game?ref=discovery_location_newest","0.71114853","56021.9853346668","domestic"
"218","Rack Em' Up, and Give Those Tired, Old Board Games a BREAK!","34","Tabletop Games","games/tabletop games","10684","AU","Australia","1641598298","Fri, 07 Jan 2022 23:31:38 +0000","https://ksr-ugc.imgix.net/assets/036/012/419/57a4f761a39726780c058282d737a277_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1641606151&auto=format&frame=1&q=92&s=e33968184483c2d4beac7dabfb4ff9c0","1741275765","Picture Lock Studio","https://www.kickstarter.com/profile/8ballboardgame","AUD","$","true","USD","1651300204","Rack Em' Up, and Give Those Tired, Old Board Games a BREAK!","false","0.69194096","10000","1295478021","false","1646119804","Tue, 01 Mar 2022 07:30:04 +0000","https://www.kickstarter.com/projects/8ballboardgame/8-ball-pool-the-board-game?ref=discovery_location_newest","1100661","Brisbane, AU","8 Ball Pool - The Board Game",,"15119.32","Tue, 01 Mar 2022 07:30:04 +0000","8-ball-pool-the-board-game","true","false","successful","1651300204","0.71804726","8 Ball Pool - The Board Game","https://www.kickstarter.com/projects/8ballboardgame/8-ball-pool-the-board-game?ref=discovery_location_newest","0.70668931","10856.3862990632","domestic"
"19","Hoard the Most Toilet Paper! Be the Ultimate Pandemic Shopper!

A Print at Home Board Game for the whole family.","34","Tabletop Games","games/tabletop games","158","AU","Australia","1590749416","Fri, 29 May 2020 10:50:16 +0000","https://ksr-ugc.imgix.net/assets/007/651/226/a4b43d936ead04546dbdbf003ceb27d4_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1641711853&auto=format&frame=1&q=92&s=510052b9f40d1a20299f7ef7fdd37572","411272301","Paul Adams","https://www.kickstarter.com/profile/smallcrown","AUD","$","true","USD","1648733450","Hoard the Most Toilet Paper! Be the Ultimate Pandemic Shopper!

A Print at Home Board Game for the whole family.","false","0.69194096","100","1482455330","false","1646058650","Mon, 28 Feb 2022 14:30:50 +0000","https://www.kickstarter.com/projects/smallcrown/paper-pandemic?ref=discovery_location_newest","1100661","Brisbane, AU","Paper Pandemic - The Toilet Paper Hoarding Board Game",,"211.32","Mon, 28 Feb 2022 14:30:50 +0000","paper-pandemic","true","false","successful","1648733450","0.72340004","Paper Pandemic - The Toilet Paper Hoarding Board Game","https://www.kickstarter.com/projects/smallcrown/paper-pandemic?ref=discovery_location_newest","0.74861338","152.8688964528","domestic"
"81","A modern board game of skill, patience and strategy.","34","Tabletop Games","games/tabletop games","3124","AU","Australia","1636947377","Mon, 15 Nov 2021 03:36:17 +0000","https://ksr-ugc.imgix.net/assets/035/583/068/fdf54795a6609504c8b41a4ace2c92b2_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1636944850&auto=format&frame=1&q=92&s=313c443deaa4ca77587816c3524551b8","537437788","Hugh","https://www.kickstarter.com/profile/roadways","AUD","$","true","USD","1639313940","A modern board game of skill, patience and strategy.","false","0.69194096","2700","338179211","false","1637274821","Thu, 18 Nov 2021 22:33:41 +0000","https://www.kickstarter.com/projects/roadways/roadways-board-game?ref=discovery_location_newest","1102170","Geelong, AU","Roadways Board Game",,"4355.32","Thu, 18 Nov 2021 22:33:41 +0000","roadways-board-game","true","false","successful","1639313940","0.72828809","Roadways Board Game","https://www.kickstarter.com/projects/roadways/roadways-board-game?ref=discovery_location_newest","0.71729991","3171.9276841388","domestic"
"3884","Thirty years on, The Gatekeeper can still make you laugh, scream and jump out of your skin.","34","Tabletop Games","games/tabletop games","353447","AU","Australia","1624931074","Tue, 29 Jun 2021 01:44:34 +0000","https://ksr-ugc.imgix.net/assets/035/010/256/49460fa91472518ebbcb033b8c9768de_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1632624506&auto=format&frame=1&q=92&s=b1d9cd5f2a444aadca7c6e7d291e533f","183490383","The Gatekeeper","https://www.kickstarter.com/profile/183490383","AUD","$","true","USD","1639432960","Thirty years on, The Gatekeeper can still make you laugh, scream and jump out of your skin.","false","0.69194096","90000","901396015","false","1636754560","Fri, 12 Nov 2021 22:02:40 +0000","https://www.kickstarter.com/projects/183490383/atmosfear-video-board-game-30th-anniversary-edition?ref=discovery_location_newest","1105779","Sydney, AU","Atmosfear video board game - 30th Anniversary edition",,"492581.98","Fri, 12 Nov 2021 22:02:40 +0000","atmosfear-video-board-game-30th-anniversary-edition","true","false","successful","1639432960","0.73037003","Atmosfear video board game - 30th Anniversary edition","https://www.kickstarter.com/projects/183490383/atmosfear-video-board-game-30th-anniversary-edition?ref=discovery_location_newest","0.71754079","359767.1155100594","domestic"
"95","Made with 100% recycled materials! Challenge your friends and family to a frog race! A simple strategy game with cute frogs.","34","Tabletop Games","games/tabletop games","4904","AU","Australia","1632971684","Thu, 30 Sep 2021 03:14:44 +0000","https://ksr-ugc.imgix.net/assets/029/171/430/ffa0e144de181b36c1a9dbf1e54815d1_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1623472679&auto=format&frame=1&q=92&s=345de585fcf6832b5f25166720a0fbf7","258184787","Dapper Cranium Studios","https://www.kickstarter.com/profile/dappercranium","AUD","$","true","USD","1637337600","Made with 100% recycled materials! Challenge your friends and family to a frog race! A simple strategy game with cute frogs.","false","0.69194096","6191","1600779843","false","1636245339","Sun, 07 Nov 2021 00:35:39 +0000","https://www.kickstarter.com/projects/dappercranium/frodge-environmentally-sustainable-board-game-for-all-ages?ref=discovery_location_newest","1098081","Perth, AU","Frodge - Environmentally Sustainable Board Game for All Ages",,"6744.32","Sun, 07 Nov 2021 00:35:39 +0000","frodge-environmentally-sustainable-board-game-for-all-ages","true","false","successful","1637337600","0.73963841","Frodge - Environmentally Sustainable Board Game for All Ages","https://www.kickstarter.com/projects/dappercranium/frodge-environmentally-sustainable-board-game-for-all-ages?ref=discovery_location_newest","0.72720133","4988.3581213312","domestic"
