"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"4","We created an ""all ages"" board game and have a prototype board and pieces; but we need your help getting it over the finish line!","34","Tabletop Games","games/tabletop games","266","US","the United States","1647553475","Thu, 17 Mar 2022 21:44:35 +0000","https://ksr-ugc.imgix.net/assets/037/672/467/24ffe53490cdb53bbd73e87220c6d97c_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1655425788&auto=format&frame=1&q=92&s=5caad208c85cc20ffdb81735e04cc51e","714809836","Jeremy Foot","https://www.kickstarter.com/profile/sammichtime","USD","$","true","USD","1660247876","We created an ""all ages"" board game and have a prototype board and pieces; but we need your help getting it over the finish line!","false","1","8000","809375311","true","1656359876","Mon, 27 Jun 2022 19:57:56 +0000","https://www.kickstarter.com/projects/sammichtime/sammich-time-board-game?ref=discovery_location_newest","2353019","Alexandria, VA","Sammich Time Board Game",,"266","Mon, 27 Jun 2022 19:57:56 +0000","sammich-time-board-game","false","false","live","1656359882","1","Sammich Time Board Game","https://www.kickstarter.com/projects/sammichtime/sammich-time-board-game?ref=discovery_location_newest","1","266.0","international"
"1","By the end of the game, you and 3 other players will have lived a possible future scenario and learned how to slow the progress.","34","Tabletop Games","games/tabletop games","1","US","the United States","1656083930","Fri, 24 Jun 2022 15:18:50 +0000","https://ksr-ugc.imgix.net/assets/037/765/827/00cc0d7316611f71e9d77b9e965d75cc_original.gif?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1656271891&auto=format&frame=1&q=92&s=33969a956f882e3f0ba7b9837ce1d72e","252131203","April Zrelak","https://www.kickstarter.com/profile/aoz","USD","$","true","USD","1658937182","By the end of the game, you and 3 other players will have lived a possible future scenario and learned how to slow the progress.","false","1","16000","1300127036","true","1656345182","Mon, 27 Jun 2022 15:53:02 +0000","https://www.kickstarter.com/projects/aoz/climate-change-the-board-game?ref=discovery_location_newest","2426697","Independence, CA","Climate Change the Board Game",,"1","Mon, 27 Jun 2022 15:53:02 +0000","climate-change-the-board-game","false","false","live","1656345185","1","Climate Change the Board Game","https://www.kickstarter.com/projects/aoz/climate-change-the-board-game?ref=discovery_location_newest","1","1.0","international"
"4630","Take control of ruthless gangs vying for dominance over the criminal underworld in the glittering hellhole that is Night City.","34","Tabletop Games","games/tabletop games","405917","US","the United States","1652717588","Mon, 16 May 2022 16:13:08 +0000","https://ksr-ugc.imgix.net/assets/006/470/572/890f84acadd13167f932e00571d57683_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1484066534&auto=format&frame=1&q=92&s=1e4bbdafa91dc24e3a1db0bcd627c340","1134494596","CMON","https://www.kickstarter.com/profile/cmon","USD","$","true","USD","1657155600","Take control of ruthless gangs vying for dominance over the criminal underworld in the glittering hellhole that is Night City.","false","1","100000","320434029","true","1655838007","Tue, 21 Jun 2022 19:00:07 +0000","https://www.kickstarter.com/projects/cmon/cyberpunk-2077-gangs-of-night-city?ref=discovery_location_newest","2357024","Atlanta, GA","Cyberpunk 2077: Gangs of Night City - The Board Game",,"405917.05","Tue, 21 Jun 2022 19:00:07 +0000","cyberpunk-2077-gangs-of-night-city","false","true","live","1655838013","1","Cyberpunk 2077: Gangs of Night City - The Board Game","https://www.kickstarter.com/projects/cmon/cyberpunk-2077-gangs-of-night-city?ref=discovery_location_newest","1","405917.05","international"
"581","The Peer Reviewed Edition of the classic chemistry board game Compounded AND the brand-new chem lab roll-and-write game: Lab Notes!","34","Tabletop Games","games/tabletop games","29625","US","the United States","1651783359","Thu, 05 May 2022 20:42:39 +0000","https://ksr-ugc.imgix.net/assets/005/831/833/7b1a535825f4c4d7acd0cffb843540b1_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1539697824&auto=format&frame=1&q=92&s=179b0693670b5f928614c82a53e9cec4","1787899968","GreaterThanGames","https://www.kickstarter.com/profile/gtgames","USD","$","true","USD","1657224000","The Peer Reviewed Edition of the classic chemistry board game Compounded AND the brand-new chem lab roll-and-write game: Lab Notes!","false","1","20000","765601837","true","1655218802","Tue, 14 Jun 2022 15:00:02 +0000","https://www.kickstarter.com/projects/gtgames/compounded-peer-reviewed-and-lab-notes-roll-and-write?ref=discovery_location_newest","2486982","St. Louis, MO","Compounded: Peer Reviewed AND Lab Notes: Roll-and-Write!",,"29625","Tue, 14 Jun 2022 15:00:02 +0000","compounded-peer-reviewed-and-lab-notes-roll-and-write","false","true","live","1655218807","1","Compounded: Peer Reviewed AND Lab Notes: Roll-and-Write!","https://www.kickstarter.com/projects/gtgames/compounded-peer-reviewed-and-lab-notes-roll-and-write?ref=discovery_location_newest","1","29625.0","international"
"55","2-8 player strategy board game where players become dictators, rebels, & greedy foreign powers.","34","Tabletop Games","games/tabletop games","347","US","the United States","1650036192","Fri, 15 Apr 2022 15:23:12 +0000","https://ksr-ugc.imgix.net/assets/032/726/743/dff192cc453474db558dca2cbfa2c0e1_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1615669836&auto=format&frame=1&q=92&s=6d621836cdaf714cb26f8db63f23b510","300823032","Vinton Omaleki","https://www.kickstarter.com/profile/vomaleki","USD","$","true","USD","1658238208","2-8 player strategy board game where players become dictators, rebels, & greedy foreign powers.","false","1","100","68818627","true","1655214208","Tue, 14 Jun 2022 13:43:28 +0000","https://www.kickstarter.com/projects/vomaleki/proxy-war-the-indie-strategy-game-of-modern-wars?ref=discovery_location_newest","2487889","San Diego, CA","Proxy War Print & Play Edition: An Indie Strategy Board Game",,"347","Tue, 14 Jun 2022 13:43:28 +0000","proxy-war-the-indie-strategy-game-of-modern-wars","false","false","live","1655214213","1","Proxy War Print & Play Edition: An Indie Strategy Board Game","https://www.kickstarter.com/projects/vomaleki/proxy-war-the-indie-strategy-game-of-modern-wars?ref=discovery_location_newest","1","347.0","international"
"68","+ of 412 files distributed in 14 campaigns, STL files for 3D printing, board games, maps, terrain and sexy warriors.","34","Tabletop Games","games/tabletop games","5341","MX","Mexico","1654698132","Wed, 08 Jun 2022 14:22:12 +0000","https://ksr-ugc.imgix.net/assets/026/182/442/113bf37a3bef5ba30a99f13194d261e8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1648675331&auto=format&frame=1&q=92&s=d2c6ac7b57a2f4cfb760ee39a605781b","473759960","Juan Lerma","https://www.kickstarter.com/profile/minichua","MXN","$","true","USD","1657760799","+ of 412 files distributed in 14 campaigns, STL files for 3D printing, board games, maps, terrain and sexy warriors.","false","0.05024522","40000","629417547","true","1655168799","Tue, 14 Jun 2022 01:06:39 +0000","https://www.kickstarter.com/projects/minichua/now-3rd-anniversary-mefedet-3d-412-stl-in-14-campaigns?ref=discovery_location_newest","2379574","Chicago, IL","Now 3rd Anniversary + 412 STL in 14 campaigns",,"106308.8","Tue, 14 Jun 2022 01:06:39 +0000","now-3rd-anniversary-mefedet-3d-412-stl-in-14-campaigns","false","false","live","1655168802","0.05005802","Now 3rd Anniversary + 412 STL in 14 campaigns","https://www.kickstarter.com/projects/minichua/now-3rd-anniversary-mefedet-3d-412-stl-in-14-campaigns?ref=discovery_location_newest","0.05024522","5321.608036576","international"
"495","A set of 3D printable thematic terrain STL files for wargame, tabletop rpg and board games. Over 180 files after stretch goals.","34","Tabletop Games","games/tabletop games","13756","US","the United States","1654308863","Sat, 04 Jun 2022 02:14:23 +0000","https://ksr-ugc.imgix.net/assets/033/973/323/e0f3d1c08f7b69d5f2f26bd61e44bb2a_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1645056279&auto=format&frame=1&q=92&s=301253c70cba96af17dc42626262983c","1408692525","Sync Ratio Systems","https://www.kickstarter.com/profile/where-legends-stand","USD","$","true","USD","1657722846","A set of 3D printable thematic terrain STL files for wargame, tabletop rpg and board games. Over 180 files after stretch goals.","false","1","500","1246739464","true","1655130846","Mon, 13 Jun 2022 14:34:06 +0000","https://www.kickstarter.com/projects/where-legends-stand/where-legends-fight-volume-2?ref=discovery_location_newest","2424766","Houston, TX","Where Legends Fight Volume 2",,"13756","Mon, 13 Jun 2022 14:34:06 +0000","where-legends-fight-volume-2","false","false","live","1655130849","1","Where Legends Fight Volume 2","https://www.kickstarter.com/projects/where-legends-stand/where-legends-fight-volume-2?ref=discovery_location_newest","1","13756.0","international"
"1","Escape from Planet X is a semi cooperative board game where players are forced to work together, while they plot their betrayal.","34","Tabletop Games","games/tabletop games","1","US","the United States","1654693472","Wed, 08 Jun 2022 13:04:32 +0000","https://ksr-ugc.imgix.net/assets/037/581/795/912478af7c97798814f7feb20be8b3c2_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1654698325&auto=format&frame=1&q=92&s=952ed892aa43cc6f848a046bac480933","679833166","Bull Dog Games","https://www.kickstarter.com/profile/bulldog-games","USD","$","true","USD","1659884508","Escape from Planet X is a semi cooperative board game where players are forced to work together, while they plot their betrayal.","false","1","15000","1873885636","true","1654700508","Wed, 08 Jun 2022 15:01:48 +0000","https://www.kickstarter.com/projects/bulldog-games/escape-from-planet-x?ref=discovery_location_newest","2482949","Rochester, NY","Escape From Planet X",,"1","Wed, 08 Jun 2022 15:01:48 +0000","escape-from-planet-x","false","false","live","1654700511","1","Escape From Planet X","https://www.kickstarter.com/projects/bulldog-games/escape-from-planet-x?ref=discovery_location_newest","1","1.0","international"
"1694","A push-your-luck, deck-building game set in the race for early aviation. By Ben Rosset & Matthew O'Malley.","34","Tabletop Games","games/tabletop games","82631","US","the United States","1653595268","Thu, 26 May 2022 20:01:08 +0000","https://ksr-ugc.imgix.net/assets/009/599/685/fca6ceed29957095cdc77a2206502c53_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461605799&auto=format&frame=1&q=92&s=32c7c5b46af2fa22540986ccad0fb0e8","1292080109","Artana LLC","https://www.kickstarter.com/profile/artana","USD","$","true","USD","1656640800","A push-your-luck, deck-building game set in the race for early aviation. By Ben Rosset & Matthew O'Malley.","false","1","20000","1704167649","true","1654614186","Tue, 07 Jun 2022 15:03:06 +0000","https://www.kickstarter.com/projects/artana/first-in-flight?ref=discovery_location_newest","2486982","St. Louis, MO","First in Flight — A Historical Aviation Board Game",,"82631","Tue, 07 Jun 2022 15:03:06 +0000","first-in-flight","false","false","live","1654614191","1","First in Flight — A Historical Aviation Board Game","https://www.kickstarter.com/projects/artana/first-in-flight?ref=discovery_location_newest","1","82631.0","international"
"805","The classic board game elevated to the centerpiece of your collection, with carved wood, metal miniatures, & sculpted stone tiles.","34","Tabletop Games","games/tabletop games","277317","US","the United States","1642694012","Thu, 20 Jan 2022 15:53:32 +0000","https://ksr-ugc.imgix.net/assets/006/529/777/358e90591b3987c97072765ead599b74_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1532369935&auto=format&frame=1&q=92&s=29ac5c18f2ff6c017cb0722abf7e4bd0","781219801","Ray Wehrs","https://www.kickstarter.com/profile/calliopegamenight","USD","$","true","USD","1656720000","The classic board game elevated to the centerpiece of your collection, with carved wood, metal miniatures, & sculpted stone tiles.","false","1","80000","1240952885","true","1654610431","Tue, 07 Jun 2022 14:00:31 +0000","https://www.kickstarter.com/projects/calliopegamenight/tsuro-luxury-limited-edition?ref=discovery_location_newest","2356566","Asheville, NC","Tsuro: Luxury Limited Edition",,"277317","Tue, 07 Jun 2022 14:00:31 +0000","tsuro-luxury-limited-edition","false","true","live","1654610436","1","Tsuro: Luxury Limited Edition","https://www.kickstarter.com/projects/calliopegamenight/tsuro-luxury-limited-edition?ref=discovery_location_newest","1","277317.0","international"
