,id,cat_id,cat_name,year,placement
108,638,12960,International Gamers Award - General Strategy: Two-players,2001,Winner
408,1234,12636,Fall Lucca Games Best Translated Game,1996,Winner
418,1261,12528,Lucca Games Best Translated Game,2001,Winner
445,1353,13374,Australian Games Association Game of the Year,2000,Winner
455,1362,13373,Australian Games Association Game of the Year,2001,Winner
659,16395,12965,International Gamers Award - General Strategy: Two-players,2006,Winner
706,25613,12713,International Gamers Awards - General Strategy; Multi-player,2007,Winner
854,253664,75366,Palme d'Or for Best Party Game,2021,Winner
1106,30057,12969,International Gamers Award - General Strategy: Two-players,2010,Winner
1214,1519,12624,Spring Lucca Games Best Translated Game,1998,Winner
1297,16496,12964,International Gamers Award - General Strategy: Two-players,2005,Winner
1352,22123,13369,Australian Games Association Puzzle of the Year,2004,Winner
1571,14017,12964,International Gamers Award - General Strategy: Two-players,2005,Winner
1575,14035,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Winner
1579,14038,12512,Lucca Games Best Translated Game,2005,Winner
1581,14039,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Winner
1764,32466,13365,Australian Games Association Game of the Year,2008,Winner
1949,3411,12735,International Gamers Awards - Historical Simulation,2001,Winner
1960,3421,12962,International Gamers Award - General Strategy: Two-players,2003,Winner
1966,3491,12623,Spring Lucca Games Best Original Game,1998,Winner
1985,81640,12458,Lucca Games Best Publishing Project,2010,Winner
2190,244150,75385,Palme de Bronze for Best Game Designed in Québec,2019,3rd place
2311,30549,13364,Australian Games Association Game of the Year,2010,Winner
2395,22479,12499,Lucca Games Best Collectible Game,2006,Winner
2397,22532,12490,Lucca Game Best Card Game,2007,Winner
2507,1041,12718,International Gamers Awards - General Strategy; Multi-player,2002,Winner
2593,15818,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Winner
2764,864,12533,Lucca Games Best Translated Game,2000,Winner
2772,891,13372,Australian Games Association Game of the Year,2002,Winner
2787,915,12517,Lucca Games Best Translated Game,2004,Winner
2800,939,12960,International Gamers Award - General Strategy: Two-players,2001,Winner
2805,986,12960,International Gamers Award - General Strategy: Two-players,2001,Winner
2927,30367,12967,International Gamers Award - General Strategy: Two-players,2008,Winner
2981,246297,75376,Palme de Bronze for Best Illustrations,2019,3rd place
3050,31999,12967,International Gamers Award - General Strategy: Two-players,2008,Winner
3188,27708,12668,International Gamers Awards - General Strategy; Two-players,2008,Winner
3250,19999,12965,International Gamers Award - General Strategy: Two-players,2006,Winner
3292,262341,75363,Palme d'Or for Best Party Game,2020,Winner
3303,3201,12725,International Gamers Awards - General Strategy; Two-players,2003,Winner
3344,3377,13370,Australian Games Association Game of the Year,2004,Winner
3519,12002,12964,International Gamers Award - General Strategy: Two-players,2005,Winner
3571,26507,12632,Spring Lucca Games Best Original Game,1997,Winner
3617,264055,75357,Palme d'Or for Best Family Game,2019,Winner
3905,274533,75365,Palme d'Argent for Best Party Game,2021,2nd place
3953,24181,13381,Jogo do Ano,2006,Winner
4059,7480,12731,International Gamers Awards - Historical Simulation,2005,Winner
4068,7581,12638,Spring Lucca Games Best Original Game,1996,Winner
4069,7596,12641,Spring Lucca Games Best Original Game,1995,Winner
4090,266524,75381,Palme d'Or for Best Illustrations,2021,Winner
4094,73439,13385,Jogo do Ano,2010,Winner
4107,118247,75351,Palme d'Argent for Best Family Game,2021,2nd place
4451,40692,13196,Guldbrikken Special Jury Prize,2010,Winner
4656,34245,12477,Lucca Games Best Collectible Game,2008,Winner
4657,34245,12484,Lucca Games Best Collectible Game,2008,Winner
4658,34245,12483,Lucca Games Best Publishing Project,2008,Winner
4736,2651,12478,Lucca Games Best Boardgame,2008,Winner
4737,2651,12481,Lucca Games Best Game Mechanics,2008,Winner
4749,2655,12962,International Gamers Award - General Strategy: Two-players,2003,Winner
4769,2750,13375,Australian Games Association Game of the Year,1998,Winner
4795,295458,75362,Palme d'Argent for Best Party Game,2020,2nd place
4796,295458,75387,Palme d'Or for Best Game Designed in Québec,2020,Winner
4855,275817,75371,Palme d'Or for Best Educational Game,2020,Winner
4902,233312,75375,Palme d'Or for Best Illustrations,2019,Winner
4979,19622,12729,International Gamers Awards - Historical Simulation,2007,Winner
4983,19643,12489,Lucca Game Best Collectible Game,2007,Winner
4997,19764,12965,International Gamers Award - General Strategy: Two-players,2006,Winner
5061,11971,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Winner
5159,218804,75374,Palme d'Argent for Best Illustrations,2019,2nd place
5219,21763,12721,International Gamers Awards - General Strategy; Two-players,2007,Winner
5250,21798,12502,Lucca Games Best Family Game,2006,Winner
5337,9203,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Winner
5376,9217,12716,International Gamers Awards - General Strategy; Multi-player,2004,Winner
5436,299028,75379,Palme de Bronze for Best Illustrations,2020,3rd place
5527,37904,12480,Lucca Games Best Family Game,2008,Winner
5573,12333,12722,International Gamers Awards - General Strategy; Two-players,2006,Winner
5574,12333,12730,International Gamers Awards - Historical Simulation,2006,Winner
5575,12333,14613,Lucca Games Best Boardgame for Experts,2011,Winner
5617,25951,12454,Lucca Games Best Card Game,2010,Winner
5858,302734,75367,Palme de Bronze for Best Party Game,2021,Winner
5885,36218,13203,Guldbrikken Special Jury Prize,2009,Winner
5927,36381,75352,Palme de Bronze for Best Family Game,2021,Winner
5928,36381,75391,Palme de Bronze for Best Game Designed in Québec,2021,Winner
6164,7164,12529,Lucca Games Best Translated Game,2001,Winner
6182,266155,75356,Palme de Bronze for Best Family Game,2019,3rd place
6237,73070,12445,Lucca Games Best Boardgame,2010,Winner
6408,5481,12522,Lucca Games Best Original Game,2003,Winner
6575,95756,75388,Palme de Bronze for Best Game Designed in Québec,2020,3rd place
6576,95756,75364,Palme de Bronze for Best Party Game,2020,3rd place
6654,9446,12963,International Gamers Award - General Strategy: Two-players,2004,Winner
6957,2162,12621,Fall Lucca Games Best Translated Game,1999,Winner
6959,2165,12532,Lucca Games Best Translated Game,2000,Winner
6960,2165,27222,Origins Awards Best Collectible Card Game,2014,Winner
7189,310448,75350,Palme d'Or for Best Family Game,2021,Winner
