id: 1 ---> ('Art', 'Art', 'art')
id: 3 ---> ('Comics', 'Comics', 'comics')
id: 6 ---> ('Dance', 'Dance', 'dance')
id: 7 ---> ('Design', 'Design', 'design')
id: 9 ---> ('Fashion', 'Fashion', 'fashion')
id: 10 ---> ('Food', 'Food', 'food')
id: 11 ---> ('Film & Video', 'Film & Video', 'film & video')
id: 12 ---> ('Games', 'Games', 'games')
id: 13 ---> ('Journalism', 'Journalism', 'journalism')
id: 14 ---> ('Music', 'Music', 'music')
id: 15 ---> ('Photography', 'Photography', 'photography')
id: 16 ---> ('Technology', 'Technology', 'technology')
id: 17 ---> ('Theater', 'Theater', 'theater')
id: 18 ---> ('Publishing', 'Publishing', 'publishing')
id: 20 ---> ('Conceptual Art', 'Conceptual Art', 'art/conceptual art')
id: 21 ---> ('Digital Art', 'Digital Art', 'art/digital art')
id: 22 ---> ('Illustration', 'Illustration', 'art/illustration')
id: 23 ---> ('Painting', 'Painting', 'art/painting')
id: 24 ---> ('Performance Art', 'Performance Art', 'art/performance art')
id: 25 ---> ('Sculpture', 'Sculpture', 'art/sculpture')
id: 26 ---> ('Crafts', 'Crafts', 'crafts')
id: 27 ---> ('Graphic Design', 'Graphic Design', 'design/graphic design')
id: 28 ---> ('Product Design', 'Product Design', 'design/product design')
id: 29 ---> ('Animation', 'Animation', 'film & video/animation')
id: 30 ---> ('Documentary', 'Documentary', 'film & video/documentary')
id: 31 ---> ('Narrative Film', 'Narrative Film', 'film & video/narrative film')
id: 32 ---> ('Shorts', 'Shorts', 'film & video/shorts')
id: 33 ---> ('Webseries', 'Webseries', 'film & video/webseries')
id: 34 ---> ('Tabletop Games', 'Tabletop Games', 'games/tabletop games')
id: 35 ---> ('Video Games', 'Video Games', 'games/video games')
id: 36 ---> ('Classical Music', 'Classical Music', 'music/classical music')
id: 37 ---> ('Country & Folk', 'Country & Folk', 'music/country & folk')
id: 38 ---> ('Electronic Music', 'Electronic Music', 'music/electronic music')
id: 39 ---> ('Hip-Hop', 'Hip-Hop', 'music/hip-hop')
id: 40 ---> ('Indie Rock', 'Indie Rock', 'music/indie rock')
id: 41 ---> ('Jazz', 'Jazz', 'music/jazz')
id: 42 ---> ('Pop', 'Pop', 'music/pop')
id: 43 ---> ('Rock', 'Rock', 'music/rock')
id: 44 ---> ('World Music', 'World Music', 'music/world music')
id: 45 ---> ('Art Books', 'Art Books', 'publishing/art books')
id: 46 ---> ("Children's Books", "Children's Books", "publishing/children's books")
id: 47 ---> ('Fiction', 'Fiction', 'publishing/fiction')
id: 48 ---> ('Nonfiction', 'Nonfiction', 'publishing/nonfiction')
id: 49 ---> ('Periodicals', 'Periodicals', 'publishing/periodicals')
id: 50 ---> ('Poetry', 'Poetry', 'publishing/poetry')
id: 51 ---> ('Software', 'Software', 'technology/software')
